"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Cambiemos","Javier Milei por los liberales","Nicolás del Caño por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.459,0.352,0.46,0.377,0.448
"P04","Realizo changas o trabajos de vez en cuando",0.184,0.184,0.228,0.252,0.192
"P04","No tengo trabajo",0.155,0.171,0.216,0.127,0.164
"P04","Soy jubilado o pensionado",0.202,0.293,0.096,0.244,0.196
"P05","Derecha",0.105,0.256,0.317,0.111,0.164
"P05","Centro derecha",0.064,0.294,0.199,0.074,0.16
"P05","Centro izquierda",0.354,0.08,0.047,0.211,0.147
"P05","Izquierda",0.175,0.068,0.073,0.403,0.072
"P05","No sabe",0.302,0.302,0.364,0.201,0.457
"P06","Muy importante",0.838,0.556,0.473,0.713,0.625
"P06","Algo importante",0.082,0.247,0.172,0.193,0.21
"P06","Nada importante",0.029,0.162,0.295,0.048,0.074
"P06","No sabe",0.051,0.035,0.06,0.046,0.091
"P07","Estoy de acuerdo",0.701,0.27,0.279,0.579,0.346
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.179,0.514,0.47,0.29,0.434
"P07","No estoy de acuerdo",0.076,0.178,0.199,0.065,0.167
"P07","No sabe",0.044,0.038,0.052,0.066,0.053
"P08","Frente de Todos y el peronismo",0.86,0.026,0.041,0.131,0.219
"P08","Cambiemos",0.048,0.872,0.069,0.115,0.272
"P08","Liberales y Javier Milei",0.014,0.065,0.86,0.045,0.111
"P08","Izquierda",0.034,0.003,0.002,0.642,0.038
"P08","No sabe",0.044,0.034,0.028,0.067,0.36
"P10","Lo votaría",0.282,0.093,0.056,0.497,0.282
"P10","Puede que lo vote",0.397,0.063,0.031,0.387,0.323
"P10","Nunca lo votaría",0.212,0.814,0.913,0.116,0.348
"P10","No sabe",0.109,0.03,0,0,0.047
"P11","Lo votaría",0.431,0.033,0.194,0.693,0.366
"P11","Puede que lo vote",0.341,0.334,0.065,0.146,0.288
"P11","Nunca lo votaría",0.148,0.603,0.741,0.161,0.279
"P11","No sabe",0.08,0.03,0,0,0.067
"P12","Lo votaría",0.255,0.445,0.344,0.215,0.476
"P12","Puede que lo vote",0.081,0.42,0.363,0.714,0.428
"P12","Nunca lo votaría",0.507,0.071,0.272,0.071,0.059
