"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","opciones"
"Muy buena",0.022,0.023,0.022,0.038,0.015,0.02,0.027,0.034,0.022,0.011,0.024,0.02,6
"Buena",0.069,0.064,0.074,0.069,0.062,0.067,0.087,0.073,0.067,0.066,0.067,0.073,6
"Ni buena ni mala",0.176,0.155,0.197,0.211,0.138,0.181,0.22,0.175,0.167,0.191,0.173,0.181,6
"Mala",0.262,0.271,0.252,0.167,0.291,0.266,0.282,0.279,0.25,0.261,0.268,0.249,6
"Muy mala",0.428,0.448,0.408,0.424,0.448,0.448,0.36,0.38,0.449,0.45,0.433,0.418,6
"No sabe",0.043,0.039,0.047,0.091,0.046,0.018,0.024,0.059,0.045,0.021,0.035,0.059,6
"Positiva",0.091,0.087,0.096,0.107,0.077,0.087,0.114,0.107,0.089,0.077,0.091,0.093,4
"Neutra",0.176,0.155,0.197,0.211,0.138,0.181,0.22,0.175,0.167,0.191,0.173,0.181,4
"Negativa",0.69,0.719,0.66,0.591,0.739,0.714,0.642,0.659,0.699,0.711,0.701,0.667,4
"No sabe",0.043,0.039,0.047,0.091,0.046,0.018,0.024,0.059,0.045,0.021,0.035,0.059,4
