"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P04","Tengo trabajo estable",0.501,0.36,0.741,0.594,0.549,0.402,0.387,0.285,0.277
"P04","Realizo changas o trabajos de vez en cuando",0.072,0.042,0.058,0.093,0.124,0.239,0.2,0.29,0.125
"P04","No tengo trabajo",0.313,0.249,0.088,0.117,0.108,0.194,0.202,0.231,0.057
"P04","Soy jubilado o pensionado",0.114,0.349,0.113,0.196,0.219,0.165,0.211,0.194,0.541
"P05","Derecha",0.113,0.147,0.288,0.178,0.181,0.252,0.188,0.165,0.21
"P05","Centro derecha",0.219,0.106,0.168,0.215,0.194,0.14,0.173,0.136,0.195
"P05","Centro izquierda",0.19,0.153,0.273,0.301,0.275,0.113,0.155,0.126,0.222
"P05","Izquierda",0.082,0.027,0.093,0.138,0.127,0.066,0.131,0.105,0.184
"P05","No sabe",0.396,0.567,0.178,0.168,0.223,0.429,0.353,0.468,0.189
"P06","Muy importante",0.65,0.567,0.661,0.663,0.67,0.618,0.626,0.668,0.583
"P06","Algo importante",0.28,0.205,0.234,0.231,0.203,0.21,0.142,0.1,0.092
"P06","Nada importante",0.035,0.042,0.1,0.068,0.088,0.104,0.16,0.156,0.102
"P06","No sabe",0.035,0.186,0.005,0.038,0.039,0.068,0.072,0.076,0.223
"P07","Estoy de acuerdo",0.711,0.419,0.577,0.632,0.558,0.327,0.422,0.359,0.391
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.171,0.25,0.285,0.246,0.264,0.443,0.397,0.403,0.393
"P07","No estoy de acuerdo",0.118,0.127,0.073,0.07,0.113,0.181,0.142,0.195,0.097
"P07","No sabe",0,0.204,0.065,0.052,0.065,0.049,0.039,0.043,0.119
"P08","Frente de Todos y el peronismo",0.257,0.882,0.457,0.393,0.437,0.307,0.327,0.286,0.444
"P08","Cambiemos",0.323,0.064,0.22,0.352,0.251,0.299,0.276,0.311,0.314
"P08","Liberales y Javier Milei",0.148,0.023,0.258,0.174,0.183,0.257,0.258,0.244,0.116
"P08","Izquierda",0,0.015,0.021,0.018,0.029,0.026,0.041,0.042,0.053
"P08","No sabe",0.272,0.016,0.044,0.063,0.1,0.111,0.098,0.117,0.073
"P10","Lo votaría",0.314,0.332,0.341,0.252,0.168,0.338,0.3,0.27,0.214
"P10","Puede que lo vote",0.686,0.277,0.379,0.526,0.461,0.275,0.39,0.283,0.05
"P10","Nunca lo votaría",0,0.348,0.231,0.124,0.273,0.289,0.168,0.404,0.067
"P10","No sabe",0,0.043,0.049,0.098,0.098,0.098,0.142,0.043,0.669
"P11","Lo votaría",0.496,0.828,0.356,0.339,0.294,0.429,0.415,0.497,0.73
"P11","Puede que lo vote",0.311,0.12,0.342,0.41,0.416,0.253,0.347,0.271,0.069
"P11","Nunca lo votaría",0,0.052,0.215,0.184,0.2,0.225,0.158,0.195,0
"P11","No sabe",0.193,0,0.087,0.067,0.09,0.093,0.08,0.037,0.201
"P12","Lo votaría",0.566,0,0.288,0.496,0.388,0.44,0.386,0.498,0.575
"P12","Puede que lo vote",0.434,0.23,0.527,0.371,0.415,0.391,0.428,0.353,0.249
"P12","Nunca lo votaría",0,0,0.141,0.099,0.185,0.108,0.099,0.074,0.176
"P12","No sabe",0,0.77,0.044,0.034,0.012,0.061,0.087,0.075,0
"P13","Lo votaría",0.202,0,0.329,0.21,0.164,0.27,0.231,0.291,0.077
"P13","Puede que lo vote",0.049,0,0.371,0.386,0.383,0.315,0.378,0.356,0.195
"P13","Nunca lo votaría",0.749,0,0.246,0.328,0.361,0.344,0.293,0.283,0.532
"P13","No sabe",0,1,0.054,0.076,0.092,0.071,0.098,0.07,0.196
"P14","La votaría",0.503,0,0.591,0.393,0.54,0.599,0.551,0.647,0.399
"P14","Puede que la vote",0.434,0.23,0.258,0.289,0.297,0.243,0.283,0.206,0.364
"P14","Nunca la votaría",0.063,0,0.092,0.255,0.145,0.108,0.116,0.13,0.117
"P14","No sabe",0,0.77,0.059,0.063,0.018,0.05,0.05,0.017,0.12
"P15","Lo votaría",0.188,0,0.224,0.203,0.225,0.188,0.154,0.155,0.076
"P15","Puede que lo vote",0.063,0,0.374,0.214,0.279,0.215,0.276,0.26,0.146
"P15","Nunca lo votaría",0.749,0,0.37,0.509,0.473,0.544,0.544,0.541,0.602
"P15","No sabe",0,1,0.032,0.074,0.023,0.053,0.026,0.044,0.176
"P16","Sí, lo votaría",0.298,0.13,0.303,0.294,0.264,0.319,0.318,0.355,0.262
"P16","Puede que lo vote",0.052,0,0.078,0.08,0.083,0.172,0.155,0.124,0.207
"P16","Nunca lo votaría",0.374,0.854,0.578,0.607,0.606,0.46,0.469,0.455,0.492
"P16","No sabe",0.276,0.016,0.041,0.019,0.047,0.049,0.058,0.066,0.039
"P17","Sí, la votaría",0.171,0.682,0.361,0.419,0.415,0.239,0.305,0.287,0.482
"P17","Puede que la vote",0.052,0.016,0.097,0.071,0.074,0.095,0.079,0.083,0.039
"P17","Nunca la votaría",0.502,0.302,0.51,0.494,0.479,0.647,0.58,0.592,0.442
"P17","No sabe",0.275,0,0.032,0.016,0.032,0.019,0.036,0.038,0.037
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.35,0.784,0.412,0.365,0.463,0.265,0.315,0.29,0.471
"P18","Mauricio Macri por Cambiemos",0.28,0.068,0.156,0.253,0.213,0.225,0.246,0.289,0.299
"P18","Javier Milei por los liberales",0.244,0.069,0.238,0.2,0.182,0.241,0.259,0.233,0.101
"P18","Nicolás del Caño por la izquierda",0,0,0.011,0.007,0.02,0.023,0.026,0.018,0.027
"P18","Otro candidato",0.126,0.079,0.183,0.175,0.122,0.246,0.154,0.17,0.102
"P19","Horacio Rodríguez Larreta por Cambiemos",0.627,0.197,0.234,0.252,0.236,0.275,0.277,0.292,0.302
"P19","Alberto Fernández por el Frente de Todos",0.171,0.583,0.296,0.335,0.331,0.219,0.267,0.253,0.414
"P19","Javier Milei por los liberales",0.202,0.117,0.246,0.198,0.179,0.241,0.251,0.217,0.124
"P19","Nicolás del Caño por la izquierda",0,0,0.019,0.035,0.039,0.032,0.023,0.039,0.027
"P19","Otro candidato",0,0.103,0.205,0.18,0.215,0.233,0.182,0.199,0.133
"P20","Mauricio Macri presidente Javier Milei vice",0.366,0.071,0.252,0.327,0.292,0.371,0.429,0.398,0.35
"P20","Sergio Massa presidente Gerardo Morales vice",0.093,0.478,0.255,0.195,0.185,0.121,0.152,0.137,0.19
"P20","Nicolas del Caño presidente Myriam Bregman vice",0,0.107,0.111,0.085,0.094,0.065,0.053,0.058,0.027
"P20","No sabe",0.541,0.344,0.382,0.393,0.429,0.443,0.366,0.407,0.433
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.33,0.095,0.187,0.269,0.226,0.302,0.296,0.35,0.301
"P21","Alberto Fernández presidente Sergio Massa vice",0.169,0.546,0.127,0.182,0.16,0.152,0.174,0.158,0.192
"P21","Javier Milei presidente José Luis Espert vice",0.2,0.046,0.168,0.162,0.146,0.157,0.214,0.172,0.091
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.112,0,0.149,0.167,0.135,0.13,0.093,0.095,0.193
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.189,0.296,0.307,0.153,0.261,0.16,0.134,0.128,0.167
"P21","Otros candidatos",0,0.017,0.062,0.067,0.072,0.099,0.089,0.097,0.056
"P22","Muy buena",0.17,0.392,0.045,0.054,0.068,0.05,0.079,0.104,0.038
"P22","Buena",0.237,0.106,0.223,0.235,0.24,0.135,0.15,0.111,0.374
"P22","Ni buena ni mala",0,0.301,0.13,0.13,0.174,0.155,0.107,0.123,0.129
"P22","Mala",0.072,0,0.186,0.112,0.136,0.174,0.157,0.179,0.111
"P22","Muy mala",0.521,0.201,0.393,0.444,0.374,0.483,0.492,0.477,0.331
"P22","No sabe",0,0,0.023,0.025,0.008,0.003,0.015,0.006,0.017
"P23","Si",0.916,0.798,0.797,0.74,0.741,0.607,0.643,0.605,0.594
"P23","No",0,0.045,0.112,0.135,0.14,0.157,0.197,0.222,0.125
"P23","No sabe",0.084,0.157,0.091,0.125,0.119,0.236,0.16,0.173,0.281
"P24","El kirchnerismo",0.595,0.375,0.421,0.437,0.424,0.466,0.455,0.504,0.202
"P24","Cambiemos",0.31,0.238,0.225,0.189,0.218,0.206,0.158,0.152,0.236
"P24","Los medios de comunicación",0.049,0.327,0.238,0.236,0.229,0.155,0.185,0.107,0.16
"P24","Otros",0,0,0.061,0.041,0.057,0.093,0.077,0.116,0.09
"P24","No sabe",0.046,0.06,0.055,0.097,0.072,0.08,0.125,0.121,0.312
"P25","Sin deuda",0.646,0.463,0.523,0.485,0.411,0.156,0.257,0.238,0.511
"P25","Menos de 10%",0.051,0,0.11,0.208,0.203,0.075,0.253,0.124,0.112
"P25","Entre 10 y 20%",0,0,0.071,0.12,0.135,0.211,0.143,0.143,0.036
"P25","Entre 20 y 30%",0,0.027,0.092,0.059,0.094,0.165,0.093,0.108,0.035
"P25","Entre 30 y 40%",0,0,0.009,0.089,0.075,0.123,0.065,0.126,0.06
"P25","Mas del 40%",0.303,0.167,0.166,0.027,0.048,0.243,0.153,0.235,0
"P25","No sabe",0,0.343,0.029,0.012,0.034,0.027,0.036,0.026,0.246
"P27","Muy buena",0.543,0.11,0.12,0.014,0.033,0.005,0.003,0.08,0.023
"P27","Buena",0.124,0.346,0.444,0.357,0.252,0.042,0.111,0.057,0.299
"P27","Ni buena ni mala",0,0.227,0.246,0.463,0.558,0.442,0.488,0.216,0.277
"P27","Mala",0.035,0.071,0.057,0.11,0.134,0.39,0.325,0.412,0.11
"P27","Muy mala",0.298,0.19,0.051,0.053,0.021,0.117,0.065,0.223,0.145
"P27","No sabe",0,0.056,0.082,0.003,0.002,0.004,0.008,0.012,0.146
"P28","Mejor",0.21,0.387,0.172,0.17,0.161,0.095,0.101,0.054,0.168
"P28","Igual",0.705,0.392,0.434,0.343,0.411,0.219,0.286,0.184,0.218
"P28","Peor",0.085,0.15,0.334,0.451,0.402,0.64,0.581,0.73,0.447
"P28","No sabe",0,0.071,0.06,0.036,0.026,0.046,0.032,0.032,0.167
"P29","Mejor",0.245,0.34,0.224,0.184,0.22,0.092,0.121,0.085,0.199
"P29","Igual",0.264,0.076,0.322,0.289,0.286,0.205,0.251,0.183,0.087
"P29","Peor",0.334,0.321,0.371,0.402,0.391,0.586,0.55,0.665,0.348
"P29","No sabe",0.157,0.263,0.083,0.125,0.103,0.117,0.078,0.067,0.366
"P30","Muy buena",0.129,0.284,0.067,0.054,0.039,0.02,0.035,0.064,0.039
"P30","Buena",0.033,0,0.1,0.074,0.097,0.04,0.06,0.07,0.121
"P30","Ni buena ni mala",0.058,0.076,0.168,0.175,0.187,0.156,0.164,0.112,0.174
"P30","Mala",0.397,0.347,0.284,0.318,0.254,0.284,0.282,0.278,0.331
