"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Muy importante",0.645,0.595,0.696,0.533,0.692,0.672,0.615,0.632,0.661,0.636,0.653,0.629
"Algo importante",0.163,0.193,0.133,0.167,0.147,0.175,0.181,0.128,0.163,0.206,0.168,0.153
"Nada importante",0.128,0.17,0.086,0.205,0.109,0.097,0.136,0.133,0.128,0.122,0.12,0.146
"No sabe",0.064,0.042,0.085,0.095,0.052,0.056,0.068,0.107,0.048,0.036,0.059,0.072
