"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Horacio Rodríguez Larreta por Cambiemos",0.271,0.233,0.309,0.212,0.259,0.296,0.323,0.271,0.244,0.314,0.257,0.299
"Alberto Fernández por el Frente de Todos",0.276,0.252,0.302,0.241,0.273,0.291,0.298,0.318,0.265,0.247,0.297,0.235
"Javier Milei por los liberales",0.223,0.281,0.164,0.396,0.223,0.182,0.106,0.195,0.257,0.2,0.227,0.215
"Nicolás del Caño por la izquierda",0.031,0.036,0.026,0.029,0.033,0.018,0.046,0.025,0.031,0.038,0.027,0.038
"Otro candidato",0.199,0.198,0.199,0.122,0.212,0.213,0.227,0.191,0.203,0.201,0.192,0.213
