"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Derecha",0.196,0.246,0.146,0.172,0.23,0.196,0.142,0.227,0.189,0.172,0.211,0.165
"Centro derecha",0.163,0.19,0.135,0.148,0.14,0.184,0.2,0.109,0.159,0.233,0.15,0.189
"Centro izquierda",0.177,0.183,0.17,0.145,0.178,0.19,0.186,0.109,0.178,0.255,0.177,0.177
"Izquierda",0.11,0.111,0.11,0.116,0.09,0.081,0.194,0.134,0.103,0.094,0.109,0.113
"No sabe",0.354,0.27,0.439,0.419,0.362,0.349,0.278,0.421,0.371,0.246,0.353,0.356
