"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Mauricio Macri presidente Patricia Bullrich vice",0.289,0.265,0.314,0.245,0.255,0.311,0.38,0.301,0.281,0.289,0.281,0.306
"Alberto Fernández presidente Sergio Massa vice",0.164,0.144,0.185,0.17,0.172,0.145,0.166,0.203,0.152,0.138,0.171,0.151
"Javier Milei presidente José Luis Espert vice",0.175,0.227,0.122,0.315,0.184,0.141,0.07,0.161,0.19,0.169,0.178,0.17
"Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.114,0.118,0.11,0.058,0.112,0.137,0.14,0.112,0.114,0.115,0.104,0.134
"Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.172,0.158,0.185,0.141,0.189,0.175,0.155,0.134,0.19,0.186,0.188,0.138
"Otros candidatos",0.086,0.088,0.084,0.071,0.088,0.091,0.089,0.089,0.073,0.103,0.078,0.101
