"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Mejor",0.135,0.138,0.133,0.174,0.131,0.111,0.139,0.129,0.146,0.125,0.131,0.143
"Igual",0.235,0.213,0.256,0.219,0.258,0.227,0.21,0.231,0.224,0.257,0.237,0.229
"Peor",0.537,0.566,0.508,0.513,0.511,0.58,0.562,0.54,0.525,0.553,0.543,0.526
"No sabe",0.093,0.083,0.103,0.094,0.1,0.082,0.089,0.1,0.105,0.065,0.089,0.102
