"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Cristina Fernández de Kirchner por el Frente de Todos",0.339,0.305,0.373,0.341,0.356,0.328,0.314,0.345,0.34,0.329,0.354,0.307
"Mauricio Macri por Cambiemos",0.243,0.21,0.277,0.142,0.197,0.289,0.379,0.245,0.226,0.268,0.235,0.26
"Javier Milei por los liberales",0.228,0.28,0.175,0.389,0.24,0.186,0.104,0.221,0.248,0.204,0.228,0.227
"Nicolás del Caño por la izquierda",0.02,0.024,0.016,0.006,0.024,0.019,0.025,0.018,0.02,0.024,0.021,0.019
"Otro candidato",0.17,0.181,0.159,0.122,0.183,0.178,0.178,0.171,0.166,0.175,0.162,0.187
