"var","categoria","El kirchnerismo","Cambiemos","Los medios de comunicación","Otros","No sabe"
"P04","Tengo trabajo estable",0.43,0.46,0.473,0.352,0.336
"P04","Realizo changas o trabajos de vez en cuando",0.206,0.17,0.175,0.212,0.258
"P04","No tengo trabajo",0.165,0.154,0.166,0.292,0.185
"P04","Soy jubilado o pensionado",0.199,0.216,0.186,0.144,0.221
"P05","Derecha",0.261,0.169,0.116,0.165,0.145
"P05","Centro derecha",0.261,0.084,0.075,0.129,0.117
"P05","Centro izquierda",0.105,0.335,0.337,0.052,0.081
"P05","Izquierda",0.063,0.142,0.2,0.146,0.117
"P05","No sabe",0.31,0.27,0.272,0.508,0.54
"P06","Muy importante",0.564,0.755,0.829,0.65,0.555
"P06","Algo importante",0.23,0.118,0.111,0.131,0.091
"P06","Nada importante",0.179,0.096,0.034,0.135,0.141
"P06","No sabe",0.027,0.031,0.026,0.084,0.213
"P07","Estoy de acuerdo",0.348,0.608,0.666,0.351,0.231
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.453,0.245,0.217,0.414,0.474
"P07","No estoy de acuerdo",0.159,0.115,0.066,0.211,0.21
"P07","No sabe",0.04,0.032,0.051,0.024,0.085
"P08","Frente de Todos y el peronismo",0.11,0.675,0.725,0.257,0.295
"P08","Cambiemos",0.463,0.107,0.105,0.251,0.219
"P08","Liberales y Javier Milei",0.33,0.115,0.046,0.319,0.277
"P08","Izquierda",0.021,0.05,0.048,0.026,0.021
"P08","No sabe",0.076,0.053,0.076,0.147,0.188
"P10","Lo votaría",0.314,0.328,0.222,0.217,0.179
"P10","Puede que lo vote",0.302,0.423,0.402,0.268,0.275
"P10","Nunca lo votaría",0.335,0.191,0.247,0.437,0.355
"P10","No sabe",0.049,0.058,0.129,0.078,0.191
"P11","Lo votaría",0.504,0.434,0.346,0.344,0.42
"P11","Puede que lo vote",0.196,0.307,0.421,0.305,0.28
"P11","Nunca lo votaría",0.264,0.183,0.149,0.23,0.238
"P11","No sabe",0.036,0.076,0.084,0.121,0.062
"P12","Lo votaría",0.418,0.373,0.38,0.532,0.558
"P12","Puede que lo vote",0.448,0.243,0.276,0.342,0.262
"P12","Nunca lo votaría",0.071,0.26,0.313,0.081,0.137
"P12","No sabe",0.063,0.124,0.031,0.045,0.043
"P13","Lo votaría",0.252,0.309,0.089,0.236,0.271
"P13","Puede que lo vote",0.369,0.241,0.281,0.454,0.398
"P13","Nunca lo votaría",0.297,0.344,0.527,0.296,0.192
"P13","No sabe",0.082,0.106,0.103,0.014,0.139
"P14","La votaría",0.604,0.432,0.327,0.6,0.59
"P14","Puede que la vote",0.266,0.185,0.18,0.334,0.268
"P14","Nunca la votaría",0.094,0.278,0.396,0.061,0.127
"P14","No sabe",0.036,0.105,0.097,0.005,0.015
"P15","Lo votaría",0.15,0.353,0.152,0.339,0.041
"P15","Puede que lo vote",0.283,0.12,0.178,0.219,0.311
"P15","Nunca lo votaría",0.527,0.44,0.608,0.422,0.607
"P15","No sabe",0.04,0.087,0.062,0.02,0.041
"P16","Sí, lo votaría",0.508,0.112,0.069,0.379,0.23
"P16","Puede que lo vote",0.183,0.026,0.051,0.162,0.155
"P16","Nunca lo votaría",0.262,0.841,0.853,0.431,0.485
"P16","No sabe",0.047,0.021,0.027,0.028,0.13
"P17","Sí, la votaría",0.125,0.638,0.658,0.213,0.221
"P17","Puede que la vote",0.034,0.101,0.149,0.109,0.105
"P17","Nunca la votaría",0.828,0.242,0.169,0.666,0.575
"P17","No sabe",0.013,0.019,0.024,0.012,0.099
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.095,0.678,0.756,0.223,0.272
"P18","Mauricio Macri por Cambiemos",0.39,0.074,0.062,0.221,0.218
"P18","Javier Milei por los liberales",0.322,0.096,0.043,0.344,0.249
"P18","Nicolás del Caño por la izquierda",0.017,0.019,0.02,0.011,0.02
"P18","Otro candidato",0.176,0.133,0.119,0.201,0.241
"P19","Horacio Rodríguez Larreta por Cambiemos",0.391,0.14,0.128,0.232,0.252
"P19","Alberto Fernández por el Frente de Todos",0.12,0.502,0.552,0.195,0.195
"P19","Javier Milei por los liberales",0.306,0.118,0.041,0.324,0.243
"P19","Nicolás del Caño por la izquierda",0.015,0.044,0.065,0.013,0.024
"P19","Otro candidato",0.168,0.196,0.214,0.236,0.286
"P20","Mauricio Macri presidente Javier Milei vice",0.566,0.143,0.105,0.412,0.3
"P20","Sergio Massa presidente Gerardo Morales vice",0.066,0.337,0.269,0.094,0.128
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.03,0.11,0.14,0.062,0.052
"P20","No sabe",0.338,0.41,0.486,0.432,0.52
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.452,0.115,0.067,0.315,0.21
"P21","Alberto Fernández presidente Sergio Massa vice",0.067,0.351,0.281,0.088,0.128
"P21","Javier Milei presidente José Luis Espert vice",0.243,0.07,0.058,0.214,0.234
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.14,0.081,0.086,0.105,0.103
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.024,0.326,0.431,0.141,0.164
"P21","Otros candidatos",0.074,0.057,0.077,0.137,0.161
"P22","Muy buena",0.054,0.131,0.099,0.061,0.078
"P22","Buena",0.035,0.314,0.409,0.113,0.104
"P22","Ni buena ni mala",0.047,0.253,0.216,0.126,0.172
"P22","Mala",0.147,0.151,0.144,0.196,0.208
"P22","Muy mala",0.709,0.146,0.113,0.493,0.418
"P22","No sabe",0.008,0.005,0.019,0.011,0.02
"P23","Si",0.625,0.745,0.793,0.453,0.62
"P23","No",0.2,0.175,0.055,0.38,0.123
"P23","No sabe",0.175,0.08,0.152,0.167,0.257
"P25","Sin deuda",0.28,0.356,0.353,0.226,0.261
"P25","Menos de 10%",0.188,0.186,0.163,0.126,0.124
"P25","Entre 10 y 20%",0.15,0.131,0.128,0.133,0.15
"P25","Entre 20 y 30%",0.125,0.083,0.06,0.143,0.088
"P25","Entre 30 y 40%",0.091,0.081,0.122,0.13,0.063
"P25","Mas del 40%",0.138,0.151,0.128,0.219,0.24
"P25","No sabe",0.028,0.012,0.046,0.023,0.074
"P26","Gran excedente habitual",0.006,0.008,0.001,0,0.002
"P26","Gran excedente excepcional",0.007,0.011,0.015,0,0.005
"P26","Pequeño excedente habitual",0.062,0.084,0.094,0.05,0.037
"P26","Pequeño excedente excepcional",0.059,0.065,0.085,0.031,0.059
"P26","Alcanza gastos familia",0.145,0.188,0.206,0.109,0.11
"P26","No alcanza gastos familia",0.156,0.174,0.138,0.173,0.119
"P26","Solo NBFamiliares",0.268,0.236,0.289,0.253,0.33
"P26","No alcanza NBFamiliares",0.293,0.223,0.164,0.375,0.313
"P26","No sabe",0.004,0.011,0.008,0.009,0.025
"P27","Muy buena",0.047,0.056,0.047,0.014,0.013
"P27","Buena",0.129,0.199,0.213,0.121,0.089
"P27","Ni buena ni mala",0.369,0.403,0.433,0.28,0.432
"P27","Mala",0.327,0.242,0.24,0.388,0.324
"P27","Muy mala",0.117,0.082,0.057,0.191,0.131
"P27","No sabe",0.011,0.018,0.01,0.006,0.011
"P28","Mejor",0.062,0.205,0.198,0.072,0.068
"P28","Igual",0.164,0.436,0.485,0.192,0.25
"P28","Peor",0.745,0.326,0.276,0.716,0.64
"P28","No sabe",0.029,0.033,0.041,0.02,0.042
"P29","Mejor",0.044,0.293,0.278,0.09,0.131
"P29","Igual",0.172,0.309,0.324,0.163,0.193
"P29","Peor",0.723,0.296,0.267,0.631,0.523
"P29","No sabe",0.061,0.102,0.131,0.116,0.153
"P30","Muy buena",0.059,0.059,0.032,0.036,0.011
"P30","Buena",0.035,0.135,0.155,0.035,0.043
"P30","Ni buena ni mala",0.056,0.26,0.269,0.179,0.15
"P30","Mala",0.205,0.34,0.367,0.156,0.355
"P30","Muy mala",0.645,0.197,0.165,0.591,0.411
"P30","No sabe",0,0.009,0.012,0.003,0.03
"P31","Muy buena",0.049,0.549,0.522,0.102,0.162
"P31","Buena",0.04,0.096,0.191,0.099,0.058
"P31","Ni buena ni mala",0.029,0.098,0.092,0.103,0.169
"P31","Mala",0.069,0.039,0.04,0.107,0.08
"P31","Muy mala",0.812,0.213,0.15,0.587,0.525
"P31","No sabe",0.001,0.005,0.005,0.002,0.006
"P32","Muy buena",0.023,0.168,0.177,0.052,0.084
"P32","Buena",0.073,0.343,0.28,0.067,0.1
"P32","Ni buena ni mala",0.062,0.188,0.287,0.2,0.173
