"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Si",0.661,0.669,0.653,0.587,0.689,0.676,0.652,0.637,0.648,0.71,0.671,0.64
"No",0.177,0.187,0.167,0.282,0.159,0.15,0.15,0.167,0.188,0.171,0.161,0.211
"No sabe",0.162,0.144,0.18,0.131,0.152,0.174,0.198,0.196,0.164,0.119,0.168,0.149
