"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.722,0.065,0.147,0.095
"P10","Juntos por el Cambio",0.134,0.241,0.565,0.608
"P10","De los liberales libertarios",0.063,0.61,0.088,0.041
"P10","De la Izquierda",0.028,0.02,0.081,0.013
"P10","Hacemos por nuestro país",0.014,0.018,0.029,0.025
"P10","Otro",0.015,0.016,0.03,0.088
"P10","En blanco",0.009,0.004,0.047,0.025
"P10","No sabe",0.015,0.026,0.013,0.105
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.809,0.044,0.18,0.063
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.106,0.253,0.6,0.621
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.031,0.627,0.03,0.05
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.022,0.025,0.08,0.012
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.018,0.024,0.027,0.052
"P20","En blanco",0.001,0.01,0.065,0.02
"P20","No sabe",0.013,0.017,0.018,0.182
"P26","Totalmente seguro",0.808,0.746,0.758,0.543
"P26","Bastante seguro",0.077,0.127,0.081,0.095
"P26","Algo seguro",0.05,0.079,0.069,0.155
"P26","Para nada seguro",0.065,0.048,0.092,0.207
"P27","Tiene Decidido que va a ir a votar",0.952,0.889,0.903,0.852
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.077,0.071,0.141
"P27","Tiene Decidido que no va a ir a votar",0.016,0.034,0.026,0.007
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.868,0.041,0.124,0.05
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.085,0.523,0.636,0.681
"P28","En blanco",0.019,0.286,0.173,0.029
"P28","No sabe",0.028,0.15,0.067,0.24
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.311,0.221,0.571,0.596
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.693,0.109,0.094
"P29","En blanco",0.428,0.033,0.281,0.017
"P29","No sabe",0.218,0.053,0.039,0.293
"P38","Inflación",0.381,0.332,0.226,0.234
"P38","Desempleo",0.087,0.056,0.045,0.052
"P38","Corrupción",0.135,0.469,0.492,0.469
"P38","Inseguridad",0.151,0.083,0.115,0.124
"P38","Precio del dólar",0.051,0.016,0.026,0.039
"P38","Pobreza",0.078,0.005,0.054,0.032
"P38","Narcotráfico",0.023,0.001,0.012,0.015
"P38","Tarifas",0.008,0.003,0,0.006
"P38","Otro",0.063,0.033,0.027,0.028
"P38","No sabe",0.023,0.002,0.003,0.001
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.731,0.099,0.153,0.065
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.133,0.293,0.535,0.505
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.053,0.511,0.111,0.123
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.027,0.03,0.081,0.023
"GOBERNADOR","En blanco",0.043,0.05,0.102,0.098
"GOBERNADOR","No sabe",0.013,0.017,0.018,0.186
"CORTA_GOBERNADOR","Si",0.114,0.214,0.147,0.144
"CORTA_GOBERNADOR","No",0.886,0.786,0.853,0.856
"P10_imputada","Unión por la Patria",0.726,0.072,0.148,0.161
"P10_imputada","Juntos por el Cambio",0.138,0.251,0.57,0.635
"P10_imputada","De los liberales libertarios",0.063,0.618,0.094,0.046
"P10_imputada","De la Izquierda",0.029,0.02,0.081,0.013
"P10_imputada","Hacemos por nuestro país",0.018,0.018,0.03,0.025
"P10_imputada","Otro",0.016,0.017,0.03,0.094
"P10_imputada","En blanco",0.01,0.004,0.047,0.026
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.818,0.051,0.188,0.132
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.108,0.26,0.608,0.708
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.033,0.63,0.032,0.073
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.022,0.025,0.08,0.012
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.018,0.024,0.027,0.052
"P20_imputada","En blanco",0.001,0.01,0.065,0.023
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.741,0.101,0.155,0.081
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.133,0.299,0.547,0.62
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.054,0.519,0.113,0.148
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.028,0.03,0.081,0.028
"GOBERNADOR_imputada","En blanco",0.044,0.051,0.104,0.123
