"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.473,0.471,0.137,0.454,0.584,0.619,0.757,0.706,0.585,0.732
"P10","Juntos por el Cambio",0.253,0.188,0.374,0.25,0.09,0.129,0.02,0.204,0.144,0.053
"P10","De los liberales libertarios",0.188,0.196,0.349,0.176,0.11,0.076,0.055,0.09,0.211,0.192
"P10","De la Izquierda",0.029,0.011,0.032,0.04,0.039,0.071,0.061,0,0.037,0
"P10","Hacemos por nuestro país",0.028,0.003,0.026,0.015,0,0.037,0,0,0,0
"P10","Otro",0.004,0.079,0.025,0.036,0.113,0,0,0,0,0.023
"P10","En blanco",0.008,0.016,0.013,0.008,0.03,0.013,0,0,0,0
"P10","No sabe",0.017,0.036,0.044,0.021,0.034,0.055,0.107,0,0.023,0
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.514,0.554,0.168,0.532,0.645,0.653,0.718,0.711,0.585,0.677
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.228,0.103,0.421,0.205,0.099,0.128,0.095,0.25,0.141,0.28
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.199,0.198,0.31,0.166,0.047,0.048,0,0.039,0.159,0.043
"P20","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.012,0.011,0.034,0.031,0.041,0.072,0.027,0,0.1,0
"P20","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.064,0.021,0.014,0.083,0.04,0.054,0,0,0
"P20","En blanco",0.009,0,0.015,0.001,0.078,0.021,0,0,0,0
"P20","No sabe",0.027,0.07,0.031,0.051,0.007,0.038,0.106,0,0.015,0
"P26","Totalmente seguro",0.79,0.655,0.736,0.751,0.75,0.762,0.838,0.938,0.952,0.734
"P26","Bastante seguro",0.099,0.097,0.104,0.097,0.018,0.156,0,0.062,0.013,0.205
"P26","Algo seguro",0.065,0.168,0.073,0.065,0.005,0.023,0.055,0,0.012,0.061
"P26","Para nada seguro",0.046,0.08,0.087,0.087,0.227,0.059,0.107,0,0.023,0
"P27","Tiene Decidido que va a ir a votar",0.932,0.937,0.932,0.88,0.882,0.981,0.865,0.947,0.981,0.971
"P27","Tiene dudas sobre si va a ir a  votar",0.045,0.049,0.052,0.098,0.088,0.006,0.107,0.053,0.011,0
"P27","Tiene Decidido que no va a ir a votar",0.023,0.014,0.016,0.022,0.03,0.013,0.028,0,0.008,0.029
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.51,0.59,0.176,0.528,0.564,0.753,0.681,0.705,0.594,0.669
