"var","categoria","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Gobernador y vicegobernador de la izquierda","En blanco"
"P26","Totalmente seguro",0.838,0.766,0.775,0.56,0.48
"P26","Bastante seguro",0.075,0.117,0.09,0.109,0.129
"P26","Algo seguro",0.04,0.064,0.089,0.154,0.13
"P26","Para nada seguro",0.047,0.053,0.046,0.177,0.261
"P27","Tiene Decidido que va a ir a votar",0.956,0.939,0.921,0.947,0.741
"P27","Tiene dudas sobre si va a ir a  votar",0.037,0.051,0.05,0.009,0.204
"P27","Tiene Decidido que no va a ir a votar",0.007,0.01,0.029,0.044,0.055
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.867,0.186,0.147,0.252,0.287
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.06,0.74,0.356,0.287,0.271
"P28","En blanco",0.046,0.03,0.334,0.176,0.196
"P28","No sabe",0.027,0.044,0.163,0.285,0.246
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.184,0.734,0.209,0.241,0.244
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.176,0.702,0.168,0.274
"P29","En blanco",0.501,0.047,0.035,0.403,0.28
"P29","No sabe",0.238,0.043,0.054,0.188,0.202
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.866,0.236,0.128,0.39,0.357
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.318,0.74,0.252,0.248
"P30","En blanco",0.046,0.248,0.069,0.287,0.215
"P30","No sabe",0.017,0.198,0.063,0.071,0.18
"P38","Inflación",0.407,0.288,0.298,0.223,0.223
"P38","Desempleo",0.067,0.043,0.089,0.024,0.144
"P38","Corrupción",0.138,0.474,0.467,0.324,0.345
"P38","Inseguridad",0.145,0.109,0.092,0.127,0.101
"P38","Precio del dólar",0.055,0.014,0.01,0.044,0.112
"P38","Pobreza",0.071,0.024,0.002,0.108,0.057
"P38","Narcotráfico",0.024,0.008,0,0.012,0.018
"P38","Tarifas",0.009,0.005,0.001,0,0
"P38","Otro",0.065,0.02,0.038,0.138,0
"P38","No sabe",0.019,0.015,0.003,0,0
