"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.482,0.353,0.337,0.619,0.454,0.388,0.51,0.213
"P05","Bastante",0.372,0.472,0.433,0.303,0.182,0.349,0.344,0.468
"P05","Poco",0.124,0.153,0.18,0.043,0.3,0.244,0.118,0.215
"P05","Nada",0.012,0.02,0.04,0.011,0.064,0.013,0.028,0.083
"P05","No sabe",0.01,0.002,0.01,0.024,0,0.006,0,0.021
"P06","Siempre",0.297,0.256,0.173,0.297,0.166,0.152,0.449,0.205
"P06","Casi siempre",0.469,0.464,0.466,0.472,0.346,0.553,0.32,0.401
"P06","Casi nunca",0.179,0.208,0.257,0.143,0.317,0.265,0.158,0.31
"P06","Nunca, pero esta es una excepción",0.055,0.072,0.104,0.088,0.171,0.03,0.073,0.084
"P08","Unión por la Patria",0.782,0.093,0.068,0.277,0.043,0.169,0.083,0.095
"P08","Juntos por el Cambio",0.1,0.778,0.095,0.182,0.216,0.392,0.275,0.275
"P08","Liberales",0.014,0.063,0.697,0,0.135,0.072,0.03,0.036
"P08","Izquierda",0.012,0.01,0.006,0.434,0.117,0.027,0,0.044
"P08","Otro",0.033,0.016,0.048,0.028,0.255,0.267,0.128,0.069
"P08","No sabe",0.059,0.04,0.086,0.079,0.234,0.073,0.484,0.481
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.754,0.02,0.014,0.22,0.011,0.103,0.049,0.09
