"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.396,0.392,0.4,0.308,0.442,0.407,0.346,0.415,0.386,0.392,0.707,0.105,0.29,0.412,0.364
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.329,0.366,0.289,0.449,0.351,0.302,0.222,0.307,0.326,0.352,0.157,0.489,0.453,0.313,0.36
"En blanco",0.152,0.141,0.163,0.131,0.114,0.17,0.226,0.141,0.151,0.161,0.087,0.207,0.115,0.151,0.154
"No sabe",0.123,0.101,0.148,0.112,0.093,0.121,0.206,0.137,0.137,0.095,0.049,0.199,0.142,0.124,0.122
