"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Unión por la Patria",0.292,0.293,0.29,0.222,0.296,0.342,0.299,0.259,0.297,0.323,0.516,0.131,0.164,0.304,0.267
"Juntos por el Cambio",0.324,0.313,0.333,0.241,0.279,0.362,0.476,0.298,0.327,0.348,0.191,0.593,0.244,0.315,0.34
"Liberales",0.155,0.19,0.122,0.248,0.18,0.103,0.052,0.159,0.15,0.159,0.075,0.182,0.285,0.146,0.174
"Izquierda",0.035,0.035,0.035,0.057,0.032,0.028,0.024,0.028,0.03,0.05,0.036,0.008,0.019,0.037,0.029
"Otro",0.053,0.054,0.053,0.06,0.068,0.043,0.027,0.063,0.054,0.041,0.051,0.032,0.098,0.054,0.053
"No sabe",0.141,0.115,0.167,0.172,0.145,0.122,0.122,0.193,0.142,0.079,0.131,0.054,0.19,0.144,0.137
