"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.374,0.144,0.132,0.086,0.221
"P06","Casi siempre",0.394,0.527,0.223,0.188,0.291
"P06","Casi nunca",0.158,0.233,0.478,0.305,0.076
"P06","Nunca, pero esta es una excepción",0.074,0.096,0.167,0.421,0.412
"P08","Unión por la Patria",0.398,0.273,0.194,0.075,0.158
"P08","Juntos por el Cambio",0.32,0.367,0.301,0.169,0.059
"P08","Liberales",0.118,0.18,0.168,0.154,0.313
"P08","Izquierda",0.041,0.03,0.031,0.041,0
"P08","Otro",0.05,0.042,0.084,0.055,0.059
"P08","No sabe",0.073,0.108,0.222,0.506,0.411
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.341,0.249,0.223,0.15,0.177
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.112,0.06,0.053,0.079,0
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.23,0.284,0.211,0.144,0.329
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.091,0.118,0.122,0.125,0
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.134,0.196,0.224,0.157,0.254
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.014,0.014,0.036,0
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0.012,0.014,0.024,0.037
"P15","Otros",0.035,0.022,0.036,0.07,0
"P15","En blanco",0.012,0.015,0.038,0.079,0
"P15","No sabe",0.018,0.03,0.065,0.136,0.203
