"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Javier Milei",0.44,0.493,0.389,0.413,0.463,0.374,0.514,0.518,0.427,0.4,0.455,0.439,0.273,0.698,0.2,0.612,0.445,0.435
"Los gobernadores",0.459,0.424,0.493,0.451,0.444,0.533,0.387,0.371,0.477,0.501,0.446,0.461,0.674,0.215,0.723,0.276,0.432,0.486
"No sabe",0.101,0.083,0.118,0.136,0.093,0.093,0.099,0.111,0.096,0.099,0.099,0.1,0.053,0.087,0.077,0.112,0.123,0.079
