"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Victoria Villarruel","Muy buena",0.327,0.367,0.288,0.289,0.345,0.336,0.293,0.37,0.32,0.305,0.347,0.24,0.262,0.602,0.119,0.503,0.319,0.334
"Victoria Villarruel","Buena",0.154,0.157,0.151,0.236,0.129,0.105,0.234,0.15,0.179,0.126,0.138,0.282,0.107,0.097,0.075,0.234,0.128,0.179
"Victoria Villarruel","Ni buena ni mala",0.161,0.172,0.15,0.198,0.155,0.146,0.166,0.189,0.178,0.12,0.193,0.132,0.096,0.084,0.161,0.136,0.166,0.156
"Victoria Villarruel","Mala",0.112,0.104,0.121,0.012,0.13,0.148,0.106,0.08,0.137,0.106,0.143,0.127,0.097,0.033,0.187,0.057,0.105,0.12
"Victoria Villarruel","Muy mala",0.225,0.186,0.263,0.226,0.224,0.259,0.161,0.16,0.176,0.331,0.154,0.208,0.436,0.184,0.447,0.062,0.243,0.208
"Victoria Villarruel","No sabe",0.021,0.014,0.027,0.039,0.017,0.006,0.04,0.051,0.01,0.012,0.025,0.011,0.002,0,0.011,0.008,0.039,0.003
"Rolo Figueroa","Muy buena",0.19,0.207,0.174,0.216,0.194,0.188,0.152,0.305,0.176,0.125,0.269,0.164,0.095,0.084,0.233,0.173,0.163,0.217
"Rolo Figueroa","Buena",0.29,0.305,0.275,0.27,0.246,0.361,0.335,0.223,0.37,0.24,0.375,0.311,0.166,0.066,0.316,0.294,0.289,0.29
"Rolo Figueroa","Ni buena ni mala",0.327,0.348,0.306,0.313,0.344,0.289,0.352,0.333,0.288,0.37,0.218,0.411,0.456,0.46,0.302,0.323,0.337,0.317
"Rolo Figueroa","Mala",0.122,0.095,0.148,0.077,0.144,0.116,0.112,0.076,0.108,0.172,0.088,0.049,0.225,0.258,0.102,0.137,0.115,0.129
"Rolo Figueroa","Muy mala",0.053,0.036,0.069,0.06,0.066,0.038,0.022,0.015,0.05,0.083,0.03,0.061,0.058,0.132,0.037,0.059,0.063,0.042
"Rolo Figueroa","No sabe",0.018,0.009,0.028,0.064,0.006,0.008,0.027,0.048,0.008,0.01,0.02,0.004,0,0,0.01,0.014,0.033,0.005
"Javier Milei","Muy buena",0.325,0.358,0.292,0.361,0.339,0.296,0.29,0.405,0.323,0.271,0.349,0.194,0.282,0.562,0.11,0.514,0.319,0.331
"Javier Milei","Buena",0.154,0.152,0.156,0.193,0.135,0.121,0.236,0.151,0.169,0.138,0.168,0.246,0.029,0.065,0.068,0.224,0.159,0.15
"Javier Milei","Ni buena ni mala",0.113,0.133,0.094,0.104,0.122,0.094,0.126,0.154,0.099,0.101,0.121,0.086,0.091,0.086,0.126,0.087,0.105,0.12
"Javier Milei","Mala",0.145,0.14,0.15,0.137,0.13,0.172,0.159,0.157,0.156,0.123,0.16,0.167,0.145,0.142,0.26,0.059,0.137,0.153
"Javier Milei","Muy mala",0.26,0.213,0.306,0.194,0.274,0.316,0.181,0.133,0.251,0.361,0.201,0.307,0.453,0.145,0.435,0.116,0.274,0.246
"Javier Milei","No sabe",0.003,0.004,0.002,0.011,0,0.001,0.008,0,0.002,0.006,0.001,0,0,0,0.001,0,0.006,0
"Patricia Bullrich","Muy buena",0.273,0.274,0.272,0.215,0.263,0.292,0.339,0.269,0.308,0.232,0.286,0.278,0.165,0.448,0.113,0.422,0.292,0.254
"Patricia Bullrich","Buena",0.19,0.21,0.17,0.246,0.183,0.159,0.207,0.162,0.207,0.189,0.186,0.283,0.126,0.208,0.068,0.297,0.151,0.228
"Patricia Bullrich","Ni buena ni mala",0.136,0.158,0.114,0.159,0.162,0.082,0.117,0.272,0.096,0.088,0.144,0.136,0.083,0.016,0.129,0.134,0.134,0.137
"Patricia Bullrich","Mala",0.149,0.145,0.153,0.09,0.154,0.18,0.144,0.161,0.147,0.142,0.196,0.102,0.11,0.155,0.236,0.073,0.16,0.139
"Patricia Bullrich","Muy mala",0.248,0.206,0.289,0.279,0.236,0.284,0.185,0.136,0.237,0.342,0.186,0.201,0.516,0.173,0.453,0.071,0.255,0.241
"Patricia Bullrich","No sabe",0.004,0.007,0.002,0.011,0.002,0.003,0.008,0,0.005,0.007,0.002,0,0,0,0.001,0.003,0.008,0.001
"CFK","Muy buena",0.229,0.206,0.251,0.195,0.234,0.234,0.241,0.273,0.22,0.208,0.242,0.196,0.322,0.166,0.485,0.064,0.253,0.206
"CFK","Buena",0.121,0.122,0.12,0.162,0.118,0.103,0.118,0.108,0.134,0.115,0.111,0.188,0.199,0.013,0.188,0.081,0.101,0.141
"CFK","Ni buena ni mala",0.11,0.109,0.112,0.149,0.112,0.099,0.081,0.146,0.116,0.078,0.118,0.124,0.105,0.017,0.147,0.071,0.088,0.132
"CFK","Mala",0.225,0.263,0.188,0.234,0.192,0.258,0.269,0.186,0.25,0.222,0.232,0.221,0.229,0.227,0.131,0.292,0.203,0.246
"CFK","Muy mala",0.307,0.285,0.327,0.249,0.332,0.306,0.283,0.27,0.276,0.37,0.295,0.269,0.145,0.577,0.049,0.489,0.347,0.267
"CFK","No sabe",0.008,0.015,0.002,0.011,0.012,0,0.008,0.017,0.004,0.007,0.002,0.002,0,0,0,0.003,0.008,0.008
"Toto Caputo","Muy buena",0.14,0.151,0.129,0.142,0.124,0.141,0.189,0.197,0.119,0.123,0.172,0.079,0.099,0.206,0.063,0.211,0.149,0.131
"Toto Caputo","Buena",0.2,0.225,0.176,0.161,0.193,0.213,0.247,0.179,0.223,0.188,0.18,0.317,0.141,0.289,0.054,0.35,0.141,0.257
"Toto Caputo","Ni buena ni mala",0.233,0.235,0.231,0.308,0.252,0.164,0.203,0.307,0.221,0.194,0.261,0.2,0.08,0.193,0.173,0.265,0.258,0.208
"Toto Caputo","Mala",0.136,0.151,0.122,0.124,0.124,0.152,0.164,0.123,0.161,0.116,0.143,0.148,0.18,0.109,0.215,0.07,0.149,0.124
"Toto Caputo","Muy mala",0.26,0.226,0.293,0.226,0.268,0.31,0.181,0.155,0.239,0.361,0.204,0.229,0.489,0.185,0.469,0.081,0.264,0.256
"Toto Caputo","No sabe",0.031,0.012,0.049,0.039,0.039,0.02,0.016,0.039,0.037,0.018,0.04,0.027,0.011,0.018,0.026,0.023,0.039,0.024
"Mariano Gaido","Muy buena",0.115,0.136,0.094,0.2,0.102,0.093,0.102,0.154,0.123,0.077,0.127,0.192,0.045,0.004,0.168,0.091,0.154,0.078
"Mariano Gaido","Buena",0.216,0.22,0.211,0.267,0.183,0.22,0.259,0.172,0.276,0.172,0.25,0.275,0.202,0.088,0.293,0.171,0.199,0.231
"Mariano Gaido","Ni buena ni mala",0.346,0.35,0.343,0.297,0.366,0.338,0.353,0.361,0.329,0.359,0.337,0.31,0.401,0.307,0.338,0.342,0.267,0.424
"Mariano Gaido","Mala",0.177,0.158,0.196,0.104,0.2,0.195,0.15,0.124,0.178,0.213,0.168,0.107,0.227,0.27,0.116,0.239,0.201,0.154
"Mariano Gaido","Muy mala",0.106,0.119,0.094,0.068,0.121,0.111,0.088,0.126,0.064,0.143,0.089,0.044,0.118,0.321,0.054,0.118,0.142,0.071
"Mariano Gaido","No sabe",0.04,0.017,0.062,0.064,0.028,0.043,0.048,0.063,0.03,0.036,0.029,0.072,0.007,0.01,0.031,0.039,0.037,0.042
"Ramon Rioseco","Muy buena",0.14,0.159,0.121,0.049,0.172,0.127,0.155,0.2,0.15,0.085,0.144,0.112,0.334,0.011,0.216,0.084,0.092,0.186
"Ramon Rioseco","Buena",0.182,0.171,0.194,0.178,0.174,0.183,0.217,0.176,0.198,0.168,0.188,0.27,0.202,0.093,0.217,0.155,0.178,0.187
"Ramon Rioseco","Ni buena ni mala",0.32,0.311,0.328,0.394,0.286,0.333,0.325,0.327,0.305,0.333,0.344,0.304,0.181,0.258,0.348,0.3,0.307,0.332
