"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena","0.137","0.144","0.129","0.117","0.151","0.134","0.132","0.171","0.139","0.109","0.19","0.171","0.059","0.051","0.18","0.126","0.137","0","6"
"Buena","0.185","0.186","0.185","0.147","0.176","0.229","0.228","0.111","0.228","0.179","0.194","0.239","0.188","0.179","0.251","0.164","0.185","0","6"
"Ni buena ni mala","0.238","0.223","0.253","0.248","0.222","0.238","0.276","0.194","0.244","0.26","0.208","0.267","0.251","0.327","0.208","0.252","0.238","0","6"
"Mala","0.254","0.262","0.245","0.239","0.255","0.276","0.238","0.277","0.258","0.231","0.258","0.146","0.303","0.236","0.201","0.273","0.254","0","6"
"Muy mala","0.156","0.174","0.139","0.201","0.179","0.093","0.089","0.197","0.113","0.188","0.148","0.125","0.164","0.207","0.13","0.159","0.156","0","6"
"No sabe","0.03","0.011","0.049","0.048","0.017","0.03","0.037","0.05","0.018","0.033","0.002","0.052","0.035","0","0.03","0.026","0.03","0","6"
"Positiva","0.322","0.33","0.314","0.264","0.327","0.363","0.36","0.282","0.367","0.288","0.384","0.41","0.247","0.23","0.431","0.29","0.322","0","4"
"Neutra","0.238","0.223","0.253","0.248","0.222","0.238","0.276","0.194","0.244","0.26","0.208","0.267","0.251","0.327","0.208","0.252","0.238","0","4"
"Negativa","0.41","0.436","0.384","0.44","0.434","0.369","0.327","0.474","0.371","0.419","0.406","0.271","0.467","0.443","0.331","0.432","0.41","0","4"
"No sabe","0.03","0.011","0.049","0.048","0.017","0.03","0.037","0.05","0.018","0.033","0.002","0.052","0.035","0","0.03","0.026","0.03","0","4"
