"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Rolo Figueroa","Positiva",0.48,0.512,0.449,0.486,0.44,0.549,0.487,0.528,0.546,0.365,0.644,0.475,0.261,0.15,0.549,0.467,0.452,0.507
"Rolo Figueroa","Neutra",0.327,0.348,0.306,0.313,0.344,0.289,0.352,0.333,0.288,0.37,0.218,0.411,0.456,0.46,0.302,0.323,0.337,0.317
"Rolo Figueroa","Negativa",0.175,0.131,0.217,0.137,0.21,0.154,0.134,0.091,0.158,0.255,0.118,0.11,0.283,0.39,0.139,0.196,0.178,0.171
"Rolo Figueroa","No sabe",0.018,0.009,0.028,0.064,0.006,0.008,0.027,0.048,0.008,0.01,0.02,0.004,0,0,0.01,0.014,0.033,0.005
"Mariano Gaido","Positiva",0.331,0.356,0.305,0.467,0.285,0.313,0.361,0.326,0.399,0.249,0.377,0.467,0.247,0.092,0.461,0.262,0.353,0.309
"Mariano Gaido","Neutra",0.346,0.35,0.343,0.297,0.366,0.338,0.353,0.361,0.329,0.359,0.337,0.31,0.401,0.307,0.338,0.342,0.267,0.424
"Mariano Gaido","Negativa",0.283,0.277,0.29,0.172,0.321,0.306,0.238,0.25,0.242,0.356,0.257,0.151,0.345,0.591,0.17,0.357,0.343,0.225
"Mariano Gaido","No sabe",0.04,0.017,0.062,0.064,0.028,0.043,0.048,0.063,0.03,0.036,0.029,0.072,0.007,0.01,0.031,0.039,0.037,0.042
"Juan Schiaretti","Positiva",0.294,0.324,0.265,0.377,0.279,0.274,0.283,0.27,0.351,0.243,0.314,0.33,0.237,0.293,0.183,0.392,0.259,0.329
"Juan Schiaretti","Neutra",0.392,0.417,0.367,0.373,0.416,0.349,0.412,0.455,0.359,0.387,0.41,0.427,0.32,0.369,0.373,0.419,0.371,0.412
"Juan Schiaretti","Negativa",0.283,0.245,0.32,0.211,0.274,0.364,0.248,0.221,0.263,0.351,0.239,0.226,0.437,0.298,0.41,0.175,0.32,0.246
"Juan Schiaretti","No sabe",0.031,0.014,0.048,0.039,0.031,0.013,0.057,0.054,0.027,0.019,0.037,0.017,0.006,0.04,0.034,0.014,0.05,0.013
"Guillermo Francos","Positiva",0.305,0.351,0.259,0.31,0.241,0.34,0.455,0.349,0.312,0.265,0.321,0.381,0.231,0.324,0.139,0.479,0.27,0.339
"Guillermo Francos","Neutra",0.318,0.336,0.301,0.401,0.367,0.208,0.259,0.324,0.341,0.287,0.348,0.198,0.272,0.461,0.259,0.343,0.336,0.302
"Guillermo Francos","Negativa",0.299,0.267,0.331,0.222,0.317,0.363,0.209,0.206,0.276,0.394,0.27,0.298,0.435,0.178,0.54,0.105,0.322,0.276
"Guillermo Francos","No sabe",0.078,0.046,0.109,0.067,0.075,0.089,0.077,0.121,0.071,0.054,0.061,0.123,0.062,0.037,0.062,0.073,0.072,0.083
"Marcos Koopmann","Positiva",0.21,0.212,0.207,0.361,0.186,0.155,0.22,0.298,0.231,0.121,0.208,0.504,0.064,0.019,0.261,0.202,0.187,0.232
"Marcos Koopmann","Neutra",0.417,0.422,0.413,0.352,0.392,0.446,0.526,0.381,0.41,0.452,0.408,0.36,0.435,0.471,0.476,0.357,0.39,0.444
"Marcos Koopmann","Negativa",0.319,0.326,0.312,0.182,0.371,0.357,0.223,0.252,0.307,0.381,0.337,0.117,0.404,0.425,0.24,0.37,0.36,0.278
"Marcos Koopmann","No sabe",0.054,0.04,0.068,0.105,0.051,0.042,0.031,0.069,0.052,0.046,0.047,0.019,0.097,0.085,0.023,0.071,0.063,0.046
"Ramon Rioseco","Positiva",0.322,0.33,0.315,0.227,0.346,0.31,0.372,0.376,0.348,0.253,0.332,0.382,0.536,0.104,0.433,0.239,0.27,0.373
"Ramon Rioseco","Neutra",0.32,0.311,0.328,0.394,0.286,0.333,0.325,0.327,0.305,0.333,0.344,0.304,0.181,0.258,0.348,0.3,0.307,0.332
"Ramon Rioseco","Negativa",0.327,0.35,0.304,0.314,0.337,0.352,0.264,0.241,0.315,0.403,0.297,0.286,0.254,0.638,0.207,0.426,0.377,0.279
"Ramon Rioseco","No sabe",0.031,0.009,0.053,0.065,0.031,0.005,0.039,0.056,0.032,0.011,0.027,0.028,0.029,0,0.012,0.035,0.046,0.016
"Victoria Villarruel","Positiva",0.481,0.524,0.439,0.525,0.474,0.441,0.527,0.52,0.499,0.431,0.485,0.522,0.369,0.699,0.194,0.737,0.447,0.513
"Victoria Villarruel","Neutra",0.161,0.172,0.15,0.198,0.155,0.146,0.166,0.189,0.178,0.12,0.193,0.132,0.096,0.084,0.161,0.136,0.166,0.156
"Victoria Villarruel","Negativa",0.337,0.29,0.384,0.238,0.354,0.407,0.267,0.24,0.313,0.437,0.297,0.335,0.533,0.217,0.634,0.119,0.348,0.328
"Victoria Villarruel","No sabe",0.021,0.014,0.027,0.039,0.017,0.006,0.04,0.051,0.01,0.012,0.025,0.011,0.002,0,0.011,0.008,0.039,0.003
"Karina Milei","Positiva",0.321,0.324,0.318,0.31,0.347,0.275,0.331,0.393,0.338,0.249,0.339,0.325,0.234,0.458,0.129,0.497,0.284,0.357
"Karina Milei","Neutra",0.268,0.328,0.209,0.287,0.24,0.276,0.325,0.265,0.286,0.247,0.293,0.264,0.169,0.26,0.177,0.347,0.273,0.263
"Karina Milei","Negativa",0.389,0.324,0.453,0.379,0.406,0.427,0.269,0.314,0.365,0.472,0.352,0.396,0.593,0.282,0.673,0.139,0.422,0.357
"Karina Milei","No sabe",0.022,0.024,0.02,0.024,0.007,0.022,0.075,0.028,0.011,0.032,0.016,0.015,0.004,0,0.021,0.017,0.021,0.023
"Toto Caputo","Positiva",0.34,0.376,0.305,0.303,0.317,0.354,0.436,0.376,0.342,0.311,0.352,0.396,0.24,0.495,0.117,0.561,0.29,0.388
"Toto Caputo","Neutra",0.233,0.235,0.231,0.308,0.252,0.164,0.203,0.307,0.221,0.194,0.261,0.2,0.08,0.193,0.173,0.265,0.258,0.208
"Toto Caputo","Negativa",0.396,0.377,0.415,0.35,0.392,0.462,0.345,0.278,0.4,0.477,0.347,0.377,0.669,0.294,0.684,0.151,0.413,0.38
"Toto Caputo","No sabe",0.031,0.012,0.049,0.039,0.039,0.02,0.016,0.039,0.037,0.018,0.04,0.027,0.011,0.018,0.026,0.023,0.039,0.024
"Patricia Bullrich","Positiva",0.463,0.484,0.442,0.461,0.446,0.451,0.546,0.431,0.515,0.421,0.472,0.561,0.291,0.656,0.181,0.719,0.443,0.482
"Patricia Bullrich","Neutra",0.136,0.158,0.114,0.159,0.162,0.082,0.117,0.272,0.096,0.088,0.144,0.136,0.083,0.016,0.129,0.134,0.134,0.137
"Patricia Bullrich","Negativa",0.397,0.351,0.442,0.369,0.39,0.464,0.329,0.297,0.384,0.484,0.382,0.303,0.626,0.328,0.689,0.144,0.415,0.38
"Patricia Bullrich","No sabe",0.004,0.007,0.002,0.011,0.002,0.003,0.008,0,0.005,0.007,0.002,0,0,0,0.001,0.003,0.008,0.001
"Javier Milei","Positiva",0.479,0.51,0.448,0.554,0.474,0.417,0.526,0.556,0.492,0.409,0.517,0.44,0.311,0.627,0.178,0.738,0.478,0.481
"Javier Milei","Neutra",0.113,0.133,0.094,0.104,0.122,0.094,0.126,0.154,0.099,0.101,0.121,0.086,0.091,0.086,0.126,0.087,0.105,0.12
"Javier Milei","Negativa",0.405,0.353,0.456,0.331,0.404,0.488,0.34,0.29,0.407,0.484,0.361,0.474,0.598,0.287,0.695,0.175,0.411,0.399
"Javier Milei","No sabe",0.003,0.004,0.002,0.011,0,0.001,0.008,0,0.002,0.006,0.001,0,0,0,0.001,0,0.006,0
"Mauricio Macri","Positiva",0.294,0.285,0.301,0.311,0.27,0.247,0.439,0.313,0.299,0.273,0.314,0.347,0.17,0.285,0.145,0.42,0.299,0.288
"Mauricio Macri","Neutra",0.211,0.254,0.17,0.204,0.247,0.164,0.182,0.299,0.196,0.168,0.219,0.194,0.15,0.336,0.144,0.288,0.184,0.238
