"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Horacio Rodriguez Larreta","Muy buena",0.172,0.136,0.208,0.154,0.14,0.17,0.38,0.18,0.171,0.149,0.106,0.414,0.04
"Horacio Rodriguez Larreta","Buena",0.174,0.213,0.135,0.255,0.138,0.135,0.144,0.152,0.18,0.219,0.123,0.303,0.96
"Horacio Rodriguez Larreta","Ni buena ni mala",0.308,0.292,0.324,0.366,0.319,0.274,0.131,0.252,0.381,0.24,0.335,0.179,0
"Horacio Rodriguez Larreta","Mala",0.102,0.086,0.118,0.007,0.105,0.214,0.188,0.082,0.122,0.099,0.124,0.046,0
"Horacio Rodriguez Larreta","Muy mala",0.197,0.207,0.188,0.147,0.262,0.157,0.152,0.241,0.137,0.259,0.268,0.031,0
"Horacio Rodriguez Larreta","No sabe",0.047,0.066,0.027,0.071,0.036,0.05,0.005,0.093,0.009,0.034,0.044,0.027,0
"Alberto Fernandez","Muy buena",0.337,0.284,0.39,0.242,0.372,0.365,0.436,0.468,0.252,0.242,0.487,0.07,0
"Alberto Fernandez","Buena",0.184,0.188,0.18,0.268,0.139,0.132,0.211,0.186,0.2,0.13,0.257,0.066,0
"Alberto Fernandez","Ni buena ni mala",0.127,0.102,0.153,0.12,0.182,0.073,0.014,0.098,0.169,0.076,0.123,0.084,0
"Alberto Fernandez","Mala",0.099,0.113,0.083,0.143,0.066,0.101,0.092,0.084,0.078,0.203,0.042,0.219,0.626
"Alberto Fernandez","Muy mala",0.236,0.279,0.193,0.187,0.241,0.303,0.242,0.136,0.294,0.327,0.088,0.558,0.374
"Alberto Fernandez","No sabe",0.017,0.034,0.001,0.04,0,0.026,0.005,0.028,0.007,0.022,0.003,0.003,0
"CFK","Muy buena",0.362,0.328,0.397,0.299,0.403,0.328,0.46,0.409,0.335,0.318,0.539,0.063,0
"CFK","Buena",0.115,0.088,0.142,0.108,0.113,0.142,0.09,0.161,0.085,0.078,0.147,0.102,0
"CFK","Ni buena ni mala",0.134,0.115,0.152,0.188,0.147,0.079,0,0.136,0.159,0.047,0.126,0.083,0.042
"CFK","Mala",0.089,0.103,0.075,0.079,0.086,0.062,0.191,0.049,0.107,0.144,0.055,0.05,0.221
"CFK","Muy mala",0.28,0.326,0.233,0.296,0.248,0.336,0.254,0.205,0.314,0.384,0.13,0.673,0.682
"CFK","No sabe",0.02,0.04,0.001,0.03,0.003,0.053,0.005,0.04,0,0.029,0.003,0.029,0.055
"Mauricio Macri","Muy buena",0.089,0.082,0.097,0.13,0.046,0.117,0.091,0.108,0.069,0.101,0.05,0.21,0
"Mauricio Macri","Buena",0.1,0.098,0.101,0.124,0.097,0.091,0.048,0.089,0.119,0.07,0.055,0.317,0
"Mauricio Macri","Ni buena ni mala",0.196,0.2,0.193,0.227,0.17,0.165,0.278,0.234,0.17,0.176,0.124,0.264,0.9
"Mauricio Macri","Mala",0.225,0.181,0.269,0.158,0.307,0.174,0.181,0.227,0.251,0.14,0.258,0.086,0.1
"Mauricio Macri","Muy mala",0.353,0.368,0.338,0.302,0.366,0.387,0.397,0.294,0.356,0.504,0.477,0.123,0
"Mauricio Macri","No sabe",0.037,0.071,0.002,0.059,0.014,0.066,0.005,0.048,0.035,0.009,0.036,0,0
