var,categoria,Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”,Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”,Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”,Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”,A la lista de Anibal Regueiro para concejal por “Peronenses Primero”,A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”,A los candidatos de la izquierda,Otros Candidatos,En blanco o anularía,Cortaría Boleta
P08,Si,0.891,0.773,0.78,0.529,0.904,0.774,0.68,0.604,0.25,0.533
P08,Puede ser,0.063,0.208,0.197,0.199,0.096,0.097,0.177,0.268,0.302,0.189
P08,No,0.046,0.019,0.023,0.272,0,0.129,0.143,0.128,0.448,0.278
P09,Si,0.884,0.742,0.724,0.72,0.638,0.91,0.856,0.794,0.479,0.944
P09,No,0.116,0.258,0.276,0.28,0.362,0.09,0.144,0.206,0.521,0.056
P10,Muy buena,0.637,0.018,0.018,0.149,0.567,0.062,0.168,0.135,0.109,0.295
P10,Buena,0.204,0.225,0.174,0.117,0.24,0,0.13,0.23,0.146,0.063
P10,Ni buena ni mala,0.131,0.017,0.06,0.209,0.031,0,0.175,0.226,0.316,0.126
P10,Mala,0.024,0.184,0.115,0.296,0.026,0.022,0.315,0.133,0.184,0.042
P10,Muy mala,0.004,0.553,0.633,0.229,0.136,0.916,0.212,0.152,0.172,0.474
P10,No sabe,0,0.003,0,0,0,0,0,0.124,0.073,0
P11,Muy buena,0.674,0.109,0.049,0.012,0.519,0.06,0.221,0.172,0.123,0.351
P11,Buena,0.146,0.075,0.018,0.074,0.232,0,0,0.185,0.051,0.094
P11,Ni buena ni mala,0.117,0.018,0.22,0.231,0.092,0,0,0.205,0.379,0
P11,Mala,0.025,0.1,0.295,0.116,0.025,0,0.245,0.07,0.276,0.043
P11,Muy mala,0.038,0.654,0.418,0.567,0.132,0.94,0.534,0.245,0.124,0.512
P11,No sabe,0,0.044,0,0,0,0,0,0.123,0.047,0
P12,Muy buena,0.07,0.189,0.198,0,0,0.04,0,0.038,0.207,0
P12,Buena,0.042,0.282,0.231,0.062,0,0.207,0.169,0.031,0.044,0.186
P12,Ni buena ni mala,0.121,0.276,0.284,0.408,0.077,0.136,0.092,0.261,0.197,0.317
P12,Mala,0.246,0.092,0.025,0.251,0.384,0.339,0.103,0.319,0.229,0.179
P12,Muy mala,0.501,0.161,0.074,0.248,0.539,0.278,0.636,0.178,0.298,0.318
P12,No sabe,0.02,0,0.188,0.031,0,0,0,0.173,0.025,0
P13,Muy buena,0.109,0.492,0.352,0.082,0.055,0.039,0,0.007,0.146,0.241
P13,Buena,0.119,0.313,0.181,0.317,0.085,0.238,0.231,0.136,0.188,0.119
P13,Ni buena ni mala,0.231,0.129,0.295,0.258,0.5,0.528,0.299,0.559,0.438,0.366
P13,Mala,0.125,0.053,0.087,0.17,0.186,0,0.042,0.048,0,0.224
P13,Muy mala,0.384,0.013,0,0.024,0.165,0.195,0.363,0.077,0.181,0.05
P13,No sabe,0.032,0,0.085,0.149,0.009,0,0.065,0.173,0.047,0
