"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy buena",0.099,0.119,0.082,0.133,0.087,0.09,0.102,0.122,0.091,0.087,0.099,0.122,0.13,0.099,0.096,0.086,0.084,0.079,0.077,0.071
"Buena",0.169,0.182,0.156,0.149,0.15,0.188,0.207,0.164,0.158,0.186,0.171,0.148,0.181,0.175,0.324,0.152,0.173,0.142,0.188,0.155
"Ni buena ni mala",0.305,0.289,0.319,0.28,0.318,0.305,0.303,0.278,0.317,0.318,0.288,0.315,0.287,0.276,0.26,0.358,0.283,0.293,0.377,0.318
"Mala",0.253,0.231,0.273,0.252,0.252,0.272,0.231,0.235,0.271,0.248,0.244,0.238,0.22,0.3,0.21,0.236,0.276,0.294,0.207,0.264
"Muy mala",0.174,0.179,0.17,0.186,0.193,0.145,0.157,0.201,0.163,0.161,0.198,0.177,0.182,0.15,0.11,0.168,0.184,0.192,0.151,0.192
