"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy bajas",0.057,0.076,0.04,0.089,0.055,0.038,0.056,0.083,0.036,0.059,0.069,0.068,0.047,0.046,0.069,0.055,0.068,0.034,0.062,0.041
"Bajas",0.099,0.121,0.078,0.087,0.093,0.12,0.095,0.092,0.084,0.123,0.151,0.117,0.116,0.083,0.085,0.088,0.089,0.035,0.088,0.073
"Adecuadas",0.265,0.268,0.263,0.258,0.248,0.256,0.324,0.21,0.256,0.33,0.33,0.243,0.334,0.259,0.228,0.232,0.296,0.189,0.226,0.227
"Altas",0.307,0.271,0.339,0.284,0.305,0.33,0.301,0.298,0.323,0.295,0.239,0.292,0.279,0.358,0.237,0.258,0.292,0.357,0.336,0.411
"Muy altas",0.272,0.264,0.28,0.282,0.299,0.256,0.224,0.317,0.301,0.193,0.211,0.28,0.224,0.254,0.381,0.367,0.255,0.385,0.288,0.248
