"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a votar","Tiene Decidido que no va a ir a votar"
"P42","No sabe",0.039,0.084,0.124
"P43","Lo votaría",0.266,0.225,0.228
"P43","Puede que lo vote",0.202,0.297,0.21
"P43","Nunca lo votaría",0.491,0.436,0.43
"P43","No sabe",0.041,0.042,0.132
"P44","Lo votaría",0.255,0.224,0.193
"P44","Puede que lo vote",0.172,0.214,0.166
"P44","Nunca lo votaría",0.539,0.487,0.517
"P44","No sabe",0.034,0.075,0.124
"P45","Lo votaría",0.078,0.09,0.146
"P45","Puede que lo vote",0.157,0.17,0.134
"P45","Nunca lo votaría",0.714,0.655,0.613
"P45","No sabe",0.051,0.085,0.107
"P46","Lo votaría",0.063,0.057,0.075
"P46","Puede que lo vote",0.165,0.25,0.196
"P46","Nunca lo votaría",0.712,0.601,0.616
"P46","No sabe",0.06,0.092,0.113
"P57","Si",0.529,0.459,0.44
"P57","No",0.471,0.541,0.56
