"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.225,0.21,0.24,0.203,0.215,0.236,0.264,0.245,0.23,0.2,0.426,0.07,0.172,0.192,0.223,0.245,0.252
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.098,0.101,0.095,0.1,0.112,0.089,0.074,0.08,0.093,0.122,0.174,0.034,0.104,0.103,0.072,0.061,0.109
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.246,0.255,0.238,0.242,0.209,0.265,0.316,0.226,0.253,0.259,0.091,0.431,0.249,0.246,0.22,0.215,0.261
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.124,0.116,0.133,0.085,0.129,0.14,0.142,0.108,0.117,0.151,0.06,0.199,0.161,0.128,0.124,0.109,0.123
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.154,0.187,0.122,0.215,0.162,0.127,0.093,0.171,0.154,0.136,0.107,0.184,0.125,0.148,0.196,0.166,0.14
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.02,0.025,0.028,0.029,0.011,0.017,0.021,0.024,0.022,0.023,0.009,0.03,0.024,0.021,0.03,0.021
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.023,0.023,0.023,0.015,0.028,0.025,0.016,0.028,0.021,0.019,0.022,0.019,0.048,0.041,0.016,0.022,0.01
"Otros",0.032,0.034,0.029,0.036,0.039,0.026,0.016,0.032,0.035,0.027,0.037,0.014,0.024,0.037,0.034,0.048,0.024
"En blanco",0.027,0.023,0.031,0.032,0.026,0.03,0.021,0.032,0.021,0.031,0.021,0.013,0.044,0.032,0.038,0.017,0.021
"No sabe",0.048,0.031,0.064,0.044,0.051,0.051,0.041,0.057,0.052,0.033,0.039,0.027,0.043,0.049,0.056,0.087,0.039
