"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.477,0.374,0.378,0.382,0.263,0.336,0.292,0.277
"P05","Bastante",0.331,0.381,0.323,0.319,0.363,0.335,0.261,0.257
"P05","Poco",0.151,0.207,0.239,0.162,0.312,0.275,0.347,0.216
"P05","Nada",0.022,0.029,0.053,0.113,0.062,0.044,0.1,0.218
"P05","No sabe",0.019,0.009,0.007,0.024,0,0.01,0,0.032
"P06","Siempre",0.272,0.255,0.238,0.273,0.231,0.332,0.238,0.204
"P06","Casi siempre",0.44,0.451,0.377,0.372,0.397,0.379,0.293,0.328
"P06","Casi nunca",0.231,0.233,0.268,0.266,0.245,0.213,0.346,0.289
"P06","Nunca, pero esta es una excepción",0.057,0.061,0.117,0.089,0.127,0.076,0.123,0.179
"P08","Unión por la Patria",0.752,0.092,0.072,0.164,0.109,0.134,0.11,0.09
"P08","Juntos por el Cambio",0.124,0.794,0.215,0.159,0.28,0.419,0.426,0.356
"P08","Liberales",0.016,0.049,0.595,0.109,0.12,0.046,0.058,0.045
"P08","Izquierda",0.022,0.008,0.009,0.422,0.054,0.032,0.021,0.018
"P08","Otro",0.022,0.018,0.043,0.103,0.269,0.211,0.073,0.032
"P08","No sabe",0.064,0.039,0.066,0.043,0.168,0.158,0.312,0.459
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.707,0.016,0.02,0.085,0.044,0.034,0.068,0.092
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.19,0.015,0.013,0.291,0.03,0.104,0.083,0.035
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.018,0.602,0.207,0.066,0.152,0.37,0.39,0.282
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.014,0.301,0.019,0.038,0.091,0.094,0.037,0.076
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.025,0.043,0.723,0.094,0.071,0.055,0.043,0.041
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.007,0.004,0.001,0.328,0.054,0.02,0.018,0.035
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.007,0.005,0.004,0.035,0.508,0.016,0.018,0.029
"P09","Otros",0.013,0.005,0.008,0.034,0.018,0.245,0.048,0.056
"P09","En blanco",0.004,0.004,0.003,0.009,0.004,0.007,0.221,0.068
"P09","No sabe",0.015,0.005,0.002,0.02,0.028,0.055,0.074,0.286
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.605,0.056,0.056,0.1,0.096,0.083,0.098,0.055
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.214,0.041,0.047,0.209,0.092,0.059,0.037,0.034
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.042,0.46,0.343,0.044,0.138,0.321,0.312,0.251
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.049,0.313,0.055,0.071,0.079,0.099,0.085,0.068
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.035,0.093,0.436,0.125,0.112,0.077,0.062,0.045
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.006,0.014,0.314,0.029,0.048,0.037,0.015
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.012,0.007,0.01,0.042,0.356,0.004,0.05,0.013
"P18","Otros",0.014,0.007,0.013,0.042,0.026,0.251,0.022,0.05
"P18","En blanco",0.006,0.007,0.013,0.035,0.021,0.016,0.234,0.094
"P18","No sabe",0.008,0.01,0.013,0.018,0.051,0.042,0.063,0.375
"P25","Totalmente seguro",0.714,0.704,0.758,0.71,0.57,0.567,0.577,0.415
"P25","Bastante seguro",0.165,0.147,0.117,0.13,0.139,0.106,0.102,0.083
"P25","Algo seguro",0.079,0.096,0.094,0.089,0.144,0.137,0.081,0.052
"P25","Para nada seguro",0.042,0.053,0.031,0.071,0.147,0.19,0.24,0.45
"P26","Tiene Decidido que va a ir a votar",0.926,0.914,0.921,0.877,0.874,0.835,0.72,0.725
"P26","Tiene dudas sobre si va a ir a votar",0.051,0.057,0.054,0.05,0.051,0.116,0.197,0.162
"P26","Tiene Decidido que no va a ir a votar",0.023,0.029,0.025,0.073,0.075,0.049,0.083,0.113
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.936,0.024,0.014,0.081,0.037,0.039,0.04,0.078
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.017,0.804,0.206,0.071,0.185,0.356,0.416,0.306
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.009,0.047,0.752,0.073,0.043,0.048,0.041,0.028
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.009,0.007,0.677,0.036,0.031,0.013,0.014
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.005,0.019,0.003,0.025,0.681,0.022,0.019,0.053
"P27","Otros",0.013,0.052,0.008,0.038,0.014,0.459,0.048,0.02
"P27","En blanco",0.005,0.017,0.001,0.009,0.004,0.007,0.344,0.025
"P27","No sabe",0.004,0.028,0.009,0.026,0,0.038,0.079,0.476
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.914,0.088,0.049,0.378,0.157,0.139,0.108,0.146
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.021,0.818,0.634,0.128,0.35,0.47,0.581,0.374
"P33","En blanco",0.045,0.04,0.217,0.368,0.234,0.196,0.29,0.106
"P33","No sabe",0.02,0.054,0.1,0.126,0.259,0.195,0.021,0.374
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.136,0.786,0.234,0.201,0.384,0.456,0.554,0.392
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.1,0.709,0.117,0.092,0.081,0.084,0.086
"P34","En blanco",0.596,0.053,0.039,0.552,0.272,0.257,0.298,0.115
"P34","No sabe",0.206,0.061,0.018,0.13,0.252,0.206,0.064,0.407
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.921,0.072,0.058,0.355,0.182,0.166,0.104,0.108
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.023,0.844,0.421,0.163,0.244,0.272,0.121,0.221
"P35","En blanco",0.039,0.047,0.381,0.386,0.26,0.239,0.681,0.117
"P35","No sabe",0.017,0.037,0.14,0.096,0.314,0.323,0.094,0.554
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.183,0.793,0.06,0.208,0.303,0.218,0.139,0.183
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.134,0.879,0.055,0.097,0.146,0.189,0.152
"P36","En blanco",0.553,0.042,0.041,0.601,0.325,0.323,0.514,0.164
"P36","No sabe",0.199,0.031,0.02,0.136,0.275,0.313,0.158,0.501
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.912,0.095,0.036,0.44,0.216,0.244,0.167,0.162
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.027,0.377,0.9,0.089,0.141,0.141,0.212,0.131
"P37","En blanco",0.037,0.31,0.04,0.374,0.315,0.312,0.573,0.163
"P37","No sabe",0.024,0.218,0.024,0.097,0.328,0.303,0.048,0.544
"P40","Lo votaría",0.88,0.073,0.033,0.151,0.118,0.089,0.061,0.089
"P40","Puede que lo vote",0.064,0.09,0.142,0.291,0.151,0.217,0.101,0.067
"P40","Nunca lo votaría",0.038,0.808,0.793,0.488,0.617,0.569,0.759,0.577
"P40","No sabe",0.018,0.029,0.032,0.07,0.114,0.125,0.079,0.267
"P41","Lo votaría",0.536,0.022,0.029,0.335,0.053,0.171,0.043,0.07
