"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.401,0.373,0.482,0.343
"P05","Bastante",0.387,0.324,0.312,0.321
"P05","Poco",0.177,0.242,0.162,0.228
"P05","Nada",0.027,0.052,0.038,0.083
"P05","No sabe",0.008,0.009,0.006,0.025
"P06","Siempre",0.272,0.256,0.273,0.242
"P06","Casi siempre",0.446,0.377,0.422,0.417
"P06","Casi nunca",0.227,0.266,0.237,0.242
"P06","Nunca, pero esta es una excepción",0.055,0.101,0.068,0.099
"P08","Unión por la Patria",0.187,0.112,0.622,0.381
"P08","Juntos por el Cambio",0.693,0.261,0.171,0.238
"P08","Liberales",0.033,0.525,0.026,0.035
"P08","Izquierda",0.016,0.014,0.058,0.027
"P08","Otro",0.029,0.032,0.054,0.079
"P08","No sabe",0.042,0.056,0.069,0.24
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.124,0.052,0.504,0.403
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.048,0.021,0.207,0.1
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.469,0.268,0.097,0.165
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.274,0.026,0.019,0.024
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.035,0.605,0.028,0.041
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.009,0.002,0.041,0.031
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.02,0.008,0.032,0.057
"P09","Otros",0.01,0.008,0.037,0.049
"P09","En blanco",0.004,0.002,0.015,0.027
"P09","No sabe",0.007,0.008,0.02,0.103
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.12,0.067,0.461,0.367
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.073,0.05,0.202,0.128
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.375,0.348,0.075,0.138
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.293,0.072,0.049,0.043
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.075,0.397,0.042,0.053
