"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.48,0.379,0.359,0.288
"P05","Bastante",0.318,0.374,0.31,0.286
"P05","Poco",0.16,0.211,0.237,0.284
"P05","Nada",0.027,0.029,0.076,0.132
"P05","No sabe",0.015,0.007,0.018,0.01
"P06","Siempre",0.292,0.252,0.228,0.283
"P06","Casi siempre",0.431,0.436,0.354,0.382
"P06","Casi nunca",0.222,0.243,0.274,0.223
"P06","Nunca, pero esta es una excepción",0.055,0.069,0.144,0.112
"P08","Unión por la Patria",0.707,0.082,0.119,0.107
"P08","Juntos por el Cambio",0.149,0.625,0.194,0.232
"P08","Liberales",0.024,0.231,0.375,0.219
"P08","Izquierda",0.028,0.008,0.077,0.057
"P08","Otro",0.032,0.021,0.124,0.092
"P08","No sabe",0.06,0.033,0.111,0.293
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.627,0.01,0.071,0.086
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.186,0.014,0.089,0.065
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.046,0.548,0.072,0.061
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.038,0.155,0.084,0.145
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.035,0.245,0.442,0.29
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.005,0.042,0.055
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.015,0.012,0.08,0.057
"P09","Otros",0.021,0.003,0.053,0.09
"P09","En blanco",0.004,0.002,0.044,0.007
"P09","No sabe",0.013,0.006,0.023,0.144
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.536,0.042,0.096,0.087
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.213,0.036,0.088,0.078
