"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.489,0.37,0.391,0.291
"P05","Bastante",0.316,0.388,0.318,0.303
"P05","Poco",0.154,0.2,0.226,0.293
"P05","Nada",0.028,0.036,0.058,0.09
"P05","No sabe",0.013,0.006,0.007,0.023
"P06","Siempre",0.292,0.257,0.263,0.219
"P06","Casi siempre",0.425,0.451,0.349,0.388
"P06","Casi nunca",0.22,0.229,0.271,0.269
"P06","Nunca, pero esta es una excepción",0.063,0.063,0.117,0.124
"P08","Unión por la Patria",0.712,0.088,0.1,0.058
"P08","Juntos por el Cambio",0.138,0.67,0.244,0.28
"P08","Liberales",0.033,0.171,0.444,0.242
"P08","Izquierda",0.028,0.007,0.052,0.041
"P08","Otro",0.029,0.023,0.076,0.089
"P08","No sabe",0.06,0.041,0.084,0.29
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.627,0.015,0.041,0.061
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.184,0.02,0.057,0.029
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.045,0.514,0.22,0.261
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.031,0.229,0.021,0.034
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.052,0.187,0.504,0.293
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.007,0.038,0.038
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.014,0.043,0.075
"P09","Otros",0.019,0.005,0.035,0.076
"P09","En blanco",0.002,0.003,0.028,0.019
"P09","No sabe",0.015,0.006,0.013,0.114
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.544,0.044,0.081,0.071
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.215,0.04,0.067,0.057
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.053,0.429,0.294,0.28
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.057,0.265,0.048,0.04
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.055,0.17,0.319,0.199
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.01,0.044,0.022
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0.015,0.029,0.073
"P18","Otros",0.018,0.007,0.041,0.085
"P18","En blanco",0.008,0.005,0.061,0.028
"P18","No sabe",0.013,0.015,0.016,0.145
"P25","Totalmente seguro",0.728,0.7,0.781,0.55
"P25","Bastante seguro",0.157,0.145,0.088,0.12
"P25","Algo seguro",0.068,0.101,0.077,0.119
"P25","Para nada seguro",0.047,0.054,0.054,0.211
"P26","Tiene Decidido que va a ir a votar",0.926,0.92,0.873,0.851
"P26","Tiene dudas sobre si va a ir a votar",0.048,0.057,0.081,0.093
"P26","Tiene Decidido que no va a ir a votar",0.026,0.023,0.046,0.056
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.811,0.032,0.061,0.049
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.059,0.64,0.226,0.274
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.03,0.211,0.491,0.313
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.032,0.008,0.064,0.041
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.02,0.026,0.043,0.088
"P27","Otros",0.03,0.042,0.054,0.086
"P27","En blanco",0.006,0.014,0.036,0.016
"P27","No sabe",0.012,0.027,0.025,0.133
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.816,0.019,0.072,0.051
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.058,0.618,0.078,0.103
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.04,0.268,0.556,0.336
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.011,0.063,0.026
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.021,0.051,0.101
"P28","Otros",0.023,0.033,0.067,0.15
"P28","En blanco",0.006,0.007,0.085,0.019
"P28","No sabe",0.012,0.023,0.028,0.214
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.877,0.061,0.079,0.071
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.064,0.84,0.426,0.368
"P33","En blanco",0.038,0.05,0.449,0.08
"P33","No sabe",0.021,0.049,0.046,0.481
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.19,0.653,0.227,0.287
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.075,0.254,0.492,0.304
"P34","En blanco",0.556,0.041,0.259,0.072
"P34","No sabe",0.179,0.052,0.022,0.337
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.236,0.599,0.056,0.081
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.074,0.34,0.605,0.36
"P36","En blanco",0.521,0.032,0.302,0.101
"P36","No sabe",0.169,0.029,0.037,0.458
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.884,0.071,0.091,0.06
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.54,0.579,0.386
"P37","En blanco",0.039,0.228,0.291,0.104
"P37","No sabe",0.023,0.161,0.039,0.45
"P40","Lo votaría",0.811,0.058,0.068,0.048
"P40","Puede que lo vote",0.102,0.119,0.096,0.102
"P40","Nunca lo votaría",0.068,0.793,0.805,0.626
"P40","No sabe",0.019,0.03,0.031,0.224
"P41","Lo votaría",0.504,0.023,0.087,0.048
"P41","Puede que lo vote",0.232,0.041,0.08,0.054
"P41","Nunca lo votaría",0.204,0.911,0.806,0.691
"P41","No sabe",0.06,0.025,0.027,0.207
"P42","Lo votaría",0.111,0.615,0.3,0.301
"P42","Puede que lo vote",0.059,0.195,0.22,0.175
"P42","Nunca lo votaría",0.799,0.166,0.444,0.336
"P42","No sabe",0.031,0.024,0.036,0.188
"P43","Lo votaría",0.069,0.554,0.063,0.092
"P43","Puede que lo vote",0.091,0.339,0.124,0.217
"P43","Nunca lo votaría",0.805,0.09,0.783,0.476
"P43","No sabe",0.035,0.017,0.03,0.215
"P44","Lo votaría",0.06,0.292,0.499,0.312
"P44","Puede que lo vote",0.068,0.301,0.11,0.132
"P44","Nunca lo votaría",0.851,0.372,0.368,0.406
"P44","No sabe",0.021,0.035,0.023,0.15
"P45","Lo votaría",0.115,0.044,0.105,0.069
"P45","Puede que lo vote",0.311,0.079,0.075,0.088
"P45","Nunca lo votaría",0.515,0.848,0.773,0.679
"P45","No sabe",0.059,0.029,0.047,0.164
"P46","Lo votaría",0.074,0.044,0.072,0.091
"P46","Puede que lo vote",0.199,0.196,0.094,0.104
"P46","Nunca lo votaría",0.664,0.718,0.79,0.616
"P46","No sabe",0.063,0.042,0.044,0.189
"P57","Si",0.542,0.524,0.509,0.475
"P57","No",0.458,0.476,0.491,0.525
