"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.66,0.375,0.293,0.25
"P05","Bastante",0.161,0.382,0.289,0.209
"P05","Poco",0.085,0.17,0.264,0.245
"P05","Nada",0.058,0.049,0.113,0.248
"P05","No sabe",0.036,0.024,0.041,0.048
"P09","Unidos para Cambiar Santa Fe",0.358,0.39,0.333,0.266
"P09","Juntos Avancemos",0.304,0.244,0.25,0.197
"P09","De los liberales libertarios",0.133,0.125,0.188,0.183
"P09","De la Izquierda",0.043,0.068,0.052,0.074
"P09","Otro",0.077,0.078,0.06,0.134
"P09","En blanco",0.045,0.033,0.068,0.032
"P09","No sabe",0.04,0.062,0.049,0.114
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.454,0.473,0.409,0.391
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.335,0.297,0.282,0.245
"P11","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.054,0.071,0.1,0.129
"P11","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.041,0.033,0.034,0.026
"P11","Otro",0.052,0.063,0.079,0.101
"P11","En blanco",0.045,0.013,0.054,0.051
"P11","No sabe",0.019,0.05,0.042,0.057
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.42,0.366,0.404,0.531
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.194,0.204,0.222,0.156
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.209,0.214,0.206,0.094
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.067,0.091,0.054,0.081
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.052,0.072,0.034,0.054
"P13","No sabe",0.058,0.053,0.08,0.084
"P14","Totalmente seguro.",0.799,0.677,0.671,0.708
"P14","Bastante seguro",0.106,0.169,0.113,0.103
"P14","Algo seguro",0.046,0.124,0.094,0.084
"P14","Para nada seguro",0.049,0.03,0.122,0.105
"P15","Tiene Decidido que va a ir a votar.",0.891,0.927,0.881,0.862
"P15","Tiene dudas sobre si va a ir a  votar",0.045,0.059,0.086,0.038
"P15","Tiene Decidido que no va a ir a votar",0.064,0.014,0.033,0.1
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.368,0.344,0.346,0.247
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.294,0.352,0.244,0.227
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.243,0.212,0.341,0.422
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.05,0.01,0.025
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.043,0.014,0.031,0.003
"P16","En blanco",0.013,0.007,0.003,0.016
"P16","No sabe",0.019,0.021,0.025,0.06
"P19","Si",0.597,0.5,0.26,0.346
"P19","No",0.403,0.5,0.74,0.654
"P11_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.46,0.515,0.42,0.434
"P11_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.341,0.304,0.299,0.248
"P11_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.058,0.071,0.114,0.13
"P11_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.042,0.035,0.034,0.025
"P11_imputada","Otro",0.054,0.062,0.079,0.11
"P11_imputada","En blanco",0.045,0.013,0.054,0.053
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.368,0.346,0.352,0.247
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.311,0.366,0.245,0.284
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.245,0.216,0.359,0.423
"P16_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.05,0.01,0.025
"P16_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.043,0.014,0.031,0.003
"P16_imputada","En blanco",0.013,0.008,0.003,0.018
