"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.296,0.285,0.306,0.277,0.307,0.333,0.249,0.264,0.287,0.343,0.629,0.402,0.044,0.271,0.043,0.127,0.116,0.228,0.787,0.507,0.614,0.38,0.257,0.215,0.263,0.247,0.224,0.238
"Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.441,0.476,0.407,0.3,0.444,0.473,0.571,0.407,0.457,0.455,0.228,0.248,0.82,0.578,0.524,0.758,0.676,0.44,0.102,0.099,0.034,0.338,0.42,0.552,0.512,0.533,0.512,0.455
"Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.082,0.082,0.081,0.115,0.086,0.073,0.044,0.098,0.09,0.053,0.027,0.16,0.024,0.041,0.204,0.049,0.108,0.065,0.065,0.035,0,0.068,0.098,0.121,0.066,0.037,0.107,0.116
"Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.034,0.029,0.04,0.032,0.037,0.028,0.038,0.023,0.026,0.059,0.014,0.081,0.014,0.033,0.021,0.012,0.014,0.069,0.017,0.065,0.075,0.039,0.048,0.029,0.018,0.062,0.034,0.011
"Otro",0.069,0.052,0.087,0.149,0.044,0.051,0.046,0.085,0.078,0.041,0.054,0.036,0.052,0.013,0.141,0.031,0.048,0.112,0.017,0.157,0.039,0.091,0.115,0.034,0.048,0.119,0.013,0.034
"En blanco",0.037,0.042,0.031,0.043,0.045,0.025,0.026,0.076,0.014,0.024,0.025,0.012,0.009,0.017,0.046,0.019,0.015,0.028,0.004,0.08,0.013,0.052,0.008,0.022,0.048,0,0.048,0
"No sabe",0.041,0.034,0.048,0.084,0.037,0.017,0.026,0.047,0.048,0.025,0.023,0.061,0.037,0.047,0.021,0.004,0.023,0.058,0.008,0.057,0.225,0.032,0.054,0.027,0.045,0.002,0.062,0.146
