"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Juntos Avancemos",0.254,0.236,0.272,0.263,0.268,0.276,0.189,0.247,0.237,0.287,0.468,0.356,0.177,0.223,0.086,0.22,0.15,0.152,0.497,0.558,0.598,0.298,0.239,0.224,0.244,0.411,0.129,0.067
"Unidos para Cambiar Santa Fe",0.35,0.363,0.337,0.23,0.369,0.379,0.436,0.318,0.338,0.403,0.313,0.316,0.499,0.432,0.288,0.565,0.445,0.378,0.191,0.06,0.128,0.285,0.315,0.303,0.427,0.315,0.524,0.535
"De los liberales libertarios",0.151,0.176,0.128,0.232,0.145,0.111,0.104,0.157,0.178,0.106,0.07,0.114,0.168,0.016,0.319,0.093,0.208,0.088,0.127,0.248,0,0.158,0.263,0.19,0.131,0.083,0.106,0.046
"De la Izquierda",0.058,0.044,0.071,0.077,0.048,0.036,0.08,0.017,0.08,0.075,0.028,0.102,0.033,0.181,0.017,0.025,0.028,0.084,0.065,0.016,0.107,0.061,0.038,0.07,0.042,0.06,0.071,0.062
"Otro",0.081,0.086,0.077,0.091,0.06,0.101,0.089,0.076,0.103,0.057,0.027,0.069,0.065,0.052,0.217,0.061,0.078,0.213,0.043,0.112,0.086,0.065,0.104,0.123,0.074,0.082,0.089,0.056
"En blanco",0.045,0.052,0.037,0.06,0.039,0.044,0.036,0.072,0.033,0.03,0.042,0.024,0.03,0.033,0.048,0.015,0.044,0.073,0.026,0,0.081,0.055,0.001,0.04,0.046,0.014,0.039,0.094
"No sabe",0.061,0.043,0.078,0.047,0.071,0.053,0.066,0.113,0.031,0.042,0.052,0.019,0.028,0.063,0.025,0.021,0.047,0.012,0.051,0.006,0,0.078,0.04,0.05,0.036,0.035,0.042,0.14
