"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Totalmente seguro.",0.71,0.769,0.654,0.628,0.739,0.744,0.703,0.709,0.706,0.717,0.759,0.715,0.742,0.593,0.723,0.751,0.716,0.593,0.787,0.749,0.848,0.701,0.744,0.678,0.736,0.762,0.769,0.586
"Bastante seguro",0.13,0.107,0.152,0.127,0.113,0.141,0.154,0.108,0.14,0.139,0.118,0.126,0.101,0.232,0.152,0.153,0.143,0.17,0.079,0.235,0.102,0.122,0.15,0.165,0.135,0.107,0.068,0.167
"Algo seguro",0.091,0.074,0.108,0.177,0.06,0.083,0.069,0.077,0.101,0.093,0.09,0.141,0.107,0.047,0.036,0.041,0.099,0.149,0.069,0,0.019,0.11,0.053,0.089,0.083,0.123,0.053,0.065
"Para nada seguro",0.069,0.05,0.086,0.068,0.088,0.032,0.074,0.106,0.053,0.051,0.033,0.018,0.05,0.128,0.089,0.055,0.042,0.088,0.065,0.016,0.031,0.067,0.053,0.068,0.046,0.008,0.11,0.182
