"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Pullaro","Losada","Fein","Lewandowski","Cleri","Busatto","Rosario","San lorenzo o Villa Constitución","San Martín, Belgrano, Iriondo, Caseros o General López","La Capital","San Jerónimo, Las Colonias, San Justo o Garay","Castellano, San Cristóbal o Nueve de Julio","Vera, General Obligado o San Javier"
"Si",0.444,0.418,0.468,0.456,0.435,0.428,0.469,0.424,0.468,0.435,0.476,0.419,0.454,0.392,0.453,0.453,0.517,0.309,0.431,0.426,0.453,0.486,0.413,0.467,0.433,0.453,0.283,0.407
"No",0.556,0.582,0.532,0.544,0.565,0.572,0.531,0.576,0.532,0.565,0.524,0.581,0.546,0.608,0.547,0.547,0.483,0.691,0.569,0.574,0.547,0.514,0.587,0.533,0.567,0.547,0.717,0.593
