"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P05","Mucho",0.499,0.348,0.398,0.24,0.408,0.55
"P05","Bastante",0.308,0.372,0.317,0.425,0.245,0.127
"P05","Poco",0.113,0.192,0.189,0.169,0.033,0.265
"P05","Nada",0.061,0.075,0.07,0.16,0.188,0.058
"P05","No sabe",0.019,0.013,0.026,0.006,0.126,0
"P06","Siempre",0.261,0.239,0.205,0.162,0.432,0.348
"P06","Casi siempre",0.381,0.439,0.281,0.635,0.225,0.303
"P06","Casi nunca",0.256,0.194,0.308,0.084,0.323,0.073
"P06","Nunca, pero esta es una excepción",0.102,0.128,0.206,0.119,0.02,0.276
"P09","Unidos para Cambiar Santa Fe",0.241,0.561,0.297,0.091,0.282,0.23
"P09","Juntos Avancemos",0.507,0.151,0.174,0.175,0.141,0
"P09","De los liberales libertarios",0.049,0.111,0.314,0.274,0.11,0.026
"P09","De la Izquierda",0.054,0.05,0.022,0.409,0.078,0.029
"P09","Otro",0.042,0.069,0.118,0.031,0.245,0.053
"P09","En blanco",0.049,0.015,0.032,0.02,0.018,0.602
"P09","No sabe",0.058,0.043,0.043,0,0.126,0.06
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.183,0.468,0.671,0.124,0.19,0.148
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.144,0.342,0.133,0.085,0.05,0.067
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.409,0.098,0.054,0.136,0.459,0.272
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.128,0.016,0.027,0.505,0.078,0.053
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.072,0.032,0.018,0.15,0.215,0.12
"P13","No sabe",0.064,0.044,0.097,0,0.008,0.34
"P14","Totalmente seguro.",0.727,0.683,0.755,0.519,0.469,0.721
"P14","Bastante seguro",0.114,0.128,0.17,0.039,0.156,0.066
"P14","Algo seguro",0.097,0.115,0.039,0.308,0.203,0.055
"P14","Para nada seguro",0.062,0.074,0.036,0.134,0.172,0.158
"P15","Tiene Decidido que va a ir a votar.",0.917,0.908,0.908,0.803,0.858,0.825
"P15","Tiene dudas sobre si va a ir a  votar",0.038,0.068,0.044,0.145,0,0.029
"P15","Tiene Decidido que no va a ir a votar",0.045,0.024,0.048,0.052,0.142,0.146
"P19","Si",0.448,0.474,0.409,0.482,0.34,0.547
"P19","No",0.552,0.526,0.591,0.518,0.66,0.453
"P11_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.17,0.827,0.52,0.114,0.325,0.231
"P11_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.713,0.073,0.16,0.104,0.121,0.083
"P11_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.04,0.029,0.176,0.217,0.083,0.026
"P11_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.023,0.013,0.025,0.418,0.015,0.029
"P11_imputada","Otro",0.05,0.045,0.081,0.147,0.234,0.052
"P11_imputada","En blanco",0.004,0.013,0.038,0,0.222,0.579
