"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.48,0.289,0.268,0.272
"P05","Bastante",0.309,0.447,0.347,0.142
"P05","Poco",0.134,0.238,0.278,0.251
"P05","Nada",0.057,0.021,0.071,0.27
"P05","No sabe",0.02,0.005,0.036,0.065
"P06","Siempre",0.281,0.203,0.126,0.178
"P06","Casi siempre",0.345,0.469,0.49,0.161
"P06","Casi nunca",0.237,0.219,0.257,0.449
"P06","Nunca, pero esta es una excepción",0.137,0.109,0.127,0.212
"P09","Unidos para Cambiar Santa Fe",0.366,0.425,0.279,0.199
"P09","Juntos Avancemos",0.289,0.195,0.282,0.222
"P09","De los liberales libertarios",0.165,0.107,0.188,0.042
"P09","De la Izquierda",0.045,0.06,0.082,0.189
"P09","Otro",0.08,0.063,0.103,0.101
"P09","En blanco",0.025,0.099,0.01,0.118
"P09","No sabe",0.03,0.051,0.056,0.129
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.482,0.515,0.298,0.291
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.34,0.255,0.235,0.202
"P11","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.074,0.038,0.087,0.161
"P11","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.029,0.03,0.047,0.076
"P11","Otro",0.045,0.069,0.228,0.081
"P11","En blanco",0.018,0.033,0.009,0.098
"P11","No sabe",0.012,0.06,0.096,0.091
"P13","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.473,0.343,0.201,0.347
"P13","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.204,0.269,0.162,0.194
"P13","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.198,0.13,0.324,0.162
"P13","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.062,0.107,0.098,0.135
"P13","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.028,0.049,0.11,0.061
"P13","No sabe",0.035,0.102,0.105,0.101
"P15","Tiene Decidido que va a ir a votar.",0.956,0.822,0.763,0.621
"P15","Tiene dudas sobre si va a ir a  votar",0.023,0.143,0.127,0.185
"P15","Tiene Decidido que no va a ir a votar",0.021,0.035,0.11,0.194
"P16","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.345,0.29,0.326,0.325
"P16","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.302,0.283,0.335,0.205
"P16","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.306,0.365,0.107,0.094
"P16","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.009,0.097,0.063
"P16","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.023,0.045,0.056
"P16","En blanco",0.01,0.005,0.005,0.019
"P16","No sabe",0.002,0.025,0.085,0.238
"P19","Si",0.459,0.418,0.417,0.474
"P19","No",0.541,0.582,0.583,0.526
"P11_imputada","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.488,0.54,0.364,0.347
"P11_imputada","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.345,0.281,0.254,0.214
"P11_imputada","Edelvino Bodoira a gobernador y Nora Lucia Sanchez por Viva la Libertad",0.075,0.047,0.087,0.161
"P11_imputada","Carla Deiana a gobernadora y Mauricio Acosta a vicegobernador por el Frente de Izquierda",0.029,0.03,0.05,0.086
"P11_imputada","Otro",0.045,0.069,0.234,0.094
"P11_imputada","En blanco",0.018,0.033,0.011,0.098
"P16_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.345,0.29,0.346,0.33
"P16_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.303,0.303,0.387,0.366
"P16_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.307,0.37,0.12,0.162
"P16_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.008,0.097,0.062
"P16_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.024,0.045,0.056
"P16_imputada","En blanco",0.01,0.005,0.005,0.024
