"var","categoria","A Andrés Petrillo por Juntos por el Cambio","A Gabriel Katopodis por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P14","Al candidato de los liberales libertarios",0.043,0.016,0.863,0.051,0.02
"P14","Al candidato del Frente de Izquierda",0.009,0.046,0.018,0.665,0.026
"P14","No sabe",0.055,0.228,0.053,0.061,0.731
"P17","A Andrés Petrillo por Juntos por el Cambio",0.778,0.066,0.043,0.122,0.095
"P17","A Fernando Moreira por el Frente de Todos",0.123,0.786,0.026,0.176,0.125
"P17","Al candidato de los liberales libertarios",0.021,0.017,0.87,0.031,0.024
"P17","Al candidato del Frente de Izquierda",0.015,0.022,0.011,0.666,0.01
"P17","No sabe",0.063,0.109,0.05,0.005,0.746
"P18","A Andrés Petrillo por Juntos por el Cambio",0.764,0.07,0.082,0.226,0.142
"P18","A Juan Esleiman por el Frente de Todos",0.123,0.655,0.024,0.031,0.126
"P18","Al candidato de los liberales libertarios",0.034,0.021,0.83,0,0.04
"P18","Al candidato del Frente de Izquierda",0.011,0.034,0.012,0.703,0.014
"P18","No sabe",0.068,0.22,0.052,0.04,0.678
"P19","Lo votaría",0.3,0.103,0.067,0.195,0.115
"P19","Puede que lo vote",0.266,0.112,0.088,0,0.078
"P19","Nunca lo votaría",0.227,0.502,0.492,0.464,0.286
"P19","No sabe",0.207,0.283,0.353,0.341,0.521
"P20","Lo votaría",0.108,0.412,0.039,0.036,0.103
"P20","Puede que lo vote",0.151,0.234,0.048,0.255,0.063
"P20","Nunca lo votaría",0.552,0.17,0.638,0.503,0.397
"P20","No sabe",0.189,0.184,0.275,0.206,0.437
"P21","Lo votaría",0.349,0.126,0.072,0.035,0.044
"P21","Puede que lo vote",0.236,0.117,0.162,0.02,0.084
"P21","Nunca lo votaría",0.2,0.515,0.461,0.717,0.381
"P21","No sabe",0.215,0.242,0.305,0.228,0.491
"P22","Lo votaría",0.089,0.715,0.023,0.088,0.139
"P22","Puede que lo vote",0.174,0.12,0.091,0.553,0.148
"P22","Nunca lo votaría",0.633,0.108,0.745,0.278,0.378
"P22","No sabe",0.104,0.057,0.141,0.081,0.335
"P23","Lo votaría",0.274,0.124,0.118,0.042,0.095
"P23","Puede que lo vote",0.285,0.158,0.137,0.207,0.115
"P23","Nunca lo votaría",0.245,0.536,0.493,0.665,0.325
"P23","No sabe",0.196,0.182,0.252,0.086,0.465
"P24","Lo votaría",0.052,0.165,0.025,0.217,0.052
"P24","Puede que lo vote",0.2,0.265,0.111,0.103,0.102
"P24","Nunca lo votaría",0.466,0.316,0.594,0.391,0.415
"P24","No sabe",0.282,0.254,0.27,0.289,0.431
"P25","Lo votaría",0.067,0.201,0.025,0.078,0.035
"P25","Puede que lo vote",0.161,0.196,0.021,0.151,0.078
"P25","Nunca lo votaría",0.534,0.353,0.624,0.462,0.382
"P25","No sabe",0.238,0.25,0.33,0.309,0.505
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.342,0.116,0.139,0.074,0.136
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.389,0.101,0.17,0.037,0.188
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.078,0.244,0.046,0,0.189
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.085,0.45,0.097,0.441,0.187
