"var","categoria","A Santiago López Medrano por Juntos por el Cambio","A Juan Esleiman por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.328,0.046,0.048,0.051,0.08
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.236,0.09,0.079,0.019,0.116
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.097,0.017,0.1,0.051,0.033
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.162,0.531,0.072,0.46,0.351
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.05,0.158,0.051,0.03,0.076
"P06","En el frente de todos, a Leonardo Grosso",0.022,0.101,0.026,0.07,0.036
"P06","Al candidato de Javier Milei",0.039,0.012,0.547,0.129,0.069
"P06","Al Candidato de la izquierda",0,0.006,0.013,0.174,0.005
"P06","No sabe",0.066,0.039,0.064,0.016,0.234
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.371,0.105,0.049,0.058,0.093
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.222,0.038,0.09,0.013,0.087
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.09,0.043,0.064,0.062,0.042
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.163,0.461,0.068,0.418,0.264
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.058,0.149,0.028,0.032,0.076
"P08","En el Frente de Todos, a Leonardo Grosso",0.043,0.15,0.033,0.108,0.052
"P08","Al candidato de Javier Milei",0.016,0.016,0.595,0.162,0.074
"P08","Al Candidato del Frente de Izquierda",0.002,0.002,0.009,0.126,0.002
"P08","No sabe",0.035,0.036,0.064,0.021,0.31
"P10","A Santiago López Medrano por Juntos por el Cambio",0.678,0.095,0.081,0.058,0.08
"P10","A Gabriel Katopodis por el Frente de Todos",0.168,0.786,0.075,0.296,0.348
"P10","Al candidato de los liberales libertarios",0.026,0.025,0.733,0.123,0.018
"P10","Al candidato del Frente de Izquierda",0.053,0.024,0.023,0.485,0.043
"P10","No sabe",0.075,0.07,0.088,0.038,0.511
"P12","A Santiago López Medrano por Juntos por el Cambio",0.711,0.152,0.029,0.022,0.06
"P12","A Fernando Moreira por el Frente de Todos",0.215,0.725,0.044,0.256,0.227
"P12","Al candidato de los liberales libertarios",0.01,0.022,0.87,0.061,0.014
"P12","Al candidato del Frente de Izquierda",0.011,0.005,0.024,0.512,0.022
"P12","No sabe",0.053,0.096,0.033,0.149,0.677
"P16","A Andrés Petrillo por Juntos por el Cambio",0.619,0.168,0.083,0.047,0.052
"P16","A Gabriel Katopodis por el Frente de Todos",0.227,0.763,0.046,0.362,0.326
"P16","Al candidato de los liberales libertarios",0.027,0.001,0.826,0.047,0.025
"P16","Al candidato del Frente de Izquierda",0.015,0.01,0.012,0.428,0.007
"P16","No sabe",0.112,0.058,0.033,0.116,0.59
"P17","A Andrés Petrillo por Juntos por el Cambio",0.662,0.097,0.104,0.041,0.073
"P17","A Fernando Moreira por el Frente de Todos",0.191,0.796,0.057,0.32,0.296
"P17","Al candidato de los liberales libertarios",0.039,0.011,0.774,0.073,0.019
"P17","Al candidato del Frente de Izquierda",0.003,0.008,0.013,0.537,0.016
"P17","No sabe",0.105,0.088,0.052,0.029,0.596
"P18","A Andrés Petrillo por Juntos por el Cambio",0.695,0.093,0.132,0.06,0.067
"P18","A Juan Esleiman por el Frente de Todos",0.18,0.771,0.023,0.198,0.15
"P18","Al candidato de los liberales libertarios",0.034,0.024,0.794,0.066,0.02
"P18","Al candidato del Frente de Izquierda",0.014,0.007,0.012,0.62,0.016
"P18","No sabe",0.077,0.105,0.039,0.056,0.747
"P19","Lo votaría",0.34,0.076,0.1,0.126,0.054
"P19","Puede que lo vote",0.232,0.183,0.042,0.065,0.047
"P19","Nunca lo votaría",0.238,0.426,0.501,0.523,0.444
"P19","No sabe",0.19,0.315,0.357,0.286,0.455
"P20","Lo votaría",0.185,0.341,0.049,0.174,0.229
"P20","Puede que lo vote",0.17,0.237,0.049,0.25,0.098
