"var","categoria","A Santiago López Medrano por Juntos por el Cambio","A Gabriel Katopodis por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.34,0.043,0.051,0.196,0.098
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.247,0.073,0.144,0.049,0.108
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.086,0.023,0.037,0.125,0.06
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.115,0.602,0.092,0.345,0.143
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.085,0.111,0.041,0.055,0.091
"P06","En el frente de todos, a Leonardo Grosso",0.011,0.079,0.039,0.034,0.051
"P06","Al candidato de Javier Milei",0.04,0.01,0.548,0.054,0.148
"P06","Al Candidato de la izquierda",0,0.012,0.006,0.129,0.003
"P06","No sabe",0.076,0.047,0.042,0.013,0.298
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.383,0.125,0.053,0.144,0.077
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.196,0.059,0.093,0.01,0.085
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.096,0.024,0.092,0.067,0.067
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.18,0.449,0.069,0.451,0.125
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.05,0.128,0.01,0.062,0.1
"P08","En el Frente de Todos, a Leonardo Grosso",0.012,0.133,0.029,0.066,0.052
"P08","Al candidato de Javier Milei",0.013,0.018,0.609,0.066,0.129
"P08","Al Candidato del Frente de Izquierda",0.002,0.003,0,0.134,0.001
"P08","No sabe",0.068,0.061,0.045,0,0.364
"P12","A Santiago López Medrano por Juntos por el Cambio",0.715,0.145,0.036,0.106,0.085
"P12","A Fernando Moreira por el Frente de Todos",0.18,0.676,0.038,0.196,0.081
"P12","Al candidato de los liberales libertarios",0.028,0.02,0.841,0.059,0.045
"P12","Al candidato del Frente de Izquierda",0.002,0.017,0.032,0.4,0.03
"P12","No sabe",0.075,0.142,0.053,0.239,0.759
"P14","A Santiago López Medrano por Juntos por el Cambio",0.766,0.131,0.063,0.252,0.112
"P14","A Juan Esleiman por el Frente de Todos",0.097,0.55,0.054,0.106,0.094
"P14","Al candidato de los liberales libertarios",0.041,0.026,0.79,0.05,0.059
"P14","Al candidato del Frente de Izquierda",0.011,0.039,0.051,0.396,0.01
"P14","No sabe",0.085,0.254,0.042,0.196,0.725
"P16","A Andrés Petrillo por Juntos por el Cambio",0.582,0.119,0.077,0.27,0.151
"P16","A Gabriel Katopodis por el Frente de Todos",0.182,0.754,0.096,0.212,0.122
"P16","Al candidato de los liberales libertarios",0.049,0.014,0.768,0.083,0.057
"P16","Al candidato del Frente de Izquierda",0.012,0.024,0,0.235,0.024
"P16","No sabe",0.175,0.089,0.059,0.2,0.646
"P17","A Andrés Petrillo por Juntos por el Cambio",0.627,0.099,0.119,0.191,0.137
"P17","A Fernando Moreira por el Frente de Todos",0.157,0.737,0.076,0.255,0.136
"P17","Al candidato de los liberales libertarios",0.063,0.012,0.75,0.03,0.056
"P17","Al candidato del Frente de Izquierda",0.002,0.026,0.003,0.336,0.022
"P17","No sabe",0.151,0.126,0.052,0.188,0.649
"P18","A Andrés Petrillo por Juntos por el Cambio",0.689,0.095,0.12,0.085,0.147
"P18","A Juan Esleiman por el Frente de Todos",0.115,0.613,0.074,0.31,0.143
"P18","Al candidato de los liberales libertarios",0.058,0.024,0.742,0.054,0.071
"P18","Al candidato del Frente de Izquierda",0.016,0.036,0.004,0.273,0.027
"P18","No sabe",0.122,0.232,0.06,0.278,0.612
"P19","Lo votaría",0.35,0.093,0.035,0.169,0.061
"P19","Puede que lo vote",0.249,0.111,0.084,0.158,0.068
"P19","Nunca lo votaría",0.194,0.506,0.502,0.399,0.338
"P19","No sabe",0.207,0.29,0.379,0.274,0.533
"P20","Lo votaría",0.119,0.408,0.015,0.326,0.056
"P20","Puede que lo vote",0.137,0.228,0.071,0.135,0.093
"P20","Nunca lo votaría",0.564,0.156,0.63,0.437,0.395
"P20","No sabe",0.18,0.208,0.284,0.102,0.456
"P21","Lo votaría",0.321,0.107,0.087,0.109,0.099
"P21","Puede que lo vote",0.213,0.118,0.131,0.155,0.108
"P21","Nunca lo votaría",0.253,0.504,0.476,0.524,0.316
"P21","No sabe",0.213,0.271,0.306,0.212,0.477
"P22","Lo votaría",0.122,0.706,0.01,0.291,0.09
"P22","Puede que lo vote",0.13,0.153,0.099,0.317,0.135
"P22","Nunca lo votaría",0.642,0.087,0.746,0.365,0.377
"P22","No sabe",0.106,0.054,0.145,0.027,0.398
"P23","Lo votaría",0.273,0.12,0.09,0.143,0.114
"P23","Puede que lo vote",0.32,0.134,0.146,0.198,0.103
"P23","Nunca lo votaría",0.217,0.534,0.538,0.562,0.318
"P23","No sabe",0.19,0.212,0.226,0.097,0.465
"P24","Lo votaría",0.048,0.149,0.015,0.276,0.078
"P24","Puede que lo vote",0.191,0.244,0.177,0.204,0.096
"P24","Nunca lo votaría",0.491,0.326,0.589,0.34,0.356
"P24","No sabe",0.27,0.281,0.219,0.18,0.47
"P25","Lo votaría",0.013,0.193,0.093,0.175,0.062
"P25","Puede que lo vote",0.146,0.207,0.041,0.199,0.035
