"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.182,0.172,0.191,0.157,0.191,0.166,0.206,0.168,0.207,0.159,0.115,0.221,0.383
"En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.201,0.181,0.217,0.176,0.165,0.254,0.228,0.168,0.237,0.182,0.103,0.376,0.214
"En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.164,0.168,0.161,0.192,0.163,0.132,0.178,0.209,0.168,0.104,0.21,0.117,0.091
"En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.265,0.26,0.269,0.227,0.256,0.304,0.27,0.212,0.254,0.346,0.407,0.134,0.099
"Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.078,0.122,0.041,0.135,0.097,0.034,0.044,0.088,0.059,0.096,0.074,0.046,0.075
"Solo como gobernador a José Luis Espert",0.014,0.026,0.004,0.013,0.021,0.004,0.013,0.014,0.007,0.026,0.007,0.024,0
"A los candidatos a presidente y gobernador del Frente de Izquierda",0.013,0.019,0.008,0.033,0.01,0.012,0.003,0.018,0.009,0.013,0.007,0.016,0.012
"No sabe",0.083,0.052,0.109,0.067,0.097,0.094,0.058,0.123,0.059,0.074,0.077,0.066,0.126
