"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Gabriel Katopodis","Muy buena",0.276,0.268,0.284,0.234,0.26,0.296,0.314,0.253,0.258,0.328,0.426,0.145,0.076
"Gabriel Katopodis","Buena",0.125,0.128,0.123,0.186,0.13,0.133,0.066,0.1,0.127,0.149,0.167,0.073,0.113
"Gabriel Katopodis","Ni buena ni mala",0.2,0.204,0.196,0.22,0.205,0.151,0.233,0.199,0.218,0.174,0.149,0.256,0.326
"Gabriel Katopodis","Mala",0.13,0.148,0.114,0.173,0.121,0.151,0.092,0.125,0.122,0.146,0.072,0.195,0.125
"Gabriel Katopodis","Muy mala",0.19,0.193,0.187,0.187,0.186,0.217,0.168,0.194,0.194,0.18,0.119,0.247,0.288
"Gabriel Katopodis","No sabe",0.079,0.059,0.096,0,0.098,0.052,0.127,0.129,0.081,0.023,0.067,0.084,0.072
"Fernando Moreira","Muy buena",0.138,0.124,0.15,0.174,0.142,0.163,0.079,0.132,0.146,0.133,0.183,0.084,0.078
"Fernando Moreira","Buena",0.12,0.118,0.122,0.139,0.102,0.109,0.15,0.1,0.106,0.16,0.176,0.082,0.017
"Fernando Moreira","Ni buena ni mala",0.292,0.32,0.268,0.268,0.301,0.265,0.323,0.257,0.353,0.238,0.269,0.319,0.491
"Fernando Moreira","Mala",0.131,0.107,0.153,0.093,0.136,0.179,0.096,0.114,0.114,0.176,0.076,0.19,0.269
"Fernando Moreira","Muy mala",0.122,0.133,0.111,0.111,0.147,0.105,0.1,0.168,0.115,0.083,0.083,0.134,0.128
"Fernando Moreira","No sabe",0.197,0.198,0.196,0.215,0.172,0.179,0.252,0.229,0.166,0.21,0.213,0.191,0.017
"Mauricio D’alessandro","Muy buena",0.131,0.11,0.15,0.127,0.121,0.11,0.174,0.151,0.165,0.059,0.092,0.194,0.076
"Mauricio D’alessandro","Buena",0.125,0.142,0.111,0.127,0.115,0.148,0.118,0.114,0.135,0.124,0.065,0.223,0.132
"Mauricio D’alessandro","Ni buena ni mala",0.285,0.254,0.311,0.236,0.265,0.321,0.314,0.223,0.363,0.231,0.238,0.305,0.58
"Mauricio D’alessandro","Mala",0.128,0.136,0.121,0.085,0.155,0.111,0.127,0.126,0.119,0.142,0.184,0.09,0
"Mauricio D’alessandro","Muy mala",0.18,0.224,0.141,0.284,0.203,0.161,0.087,0.197,0.111,0.265,0.25,0.089,0.052
"Mauricio D’alessandro","No sabe",0.151,0.134,0.166,0.141,0.141,0.149,0.18,0.189,0.107,0.179,0.171,0.099,0.16
"Santiago López Medrano","Muy buena",0.11,0.108,0.113,0.117,0.107,0.109,0.114,0.149,0.102,0.082,0.079,0.144,0.125
"Santiago López Medrano","Buena",0.11,0.098,0.12,0.117,0.073,0.125,0.155,0.099,0.146,0.068,0.075,0.18,0.116
"Santiago López Medrano","Ni buena ni mala",0.322,0.348,0.298,0.243,0.381,0.313,0.277,0.295,0.359,0.295,0.314,0.308,0.519
"Santiago López Medrano","Mala",0.089,0.096,0.083,0.1,0.106,0.068,0.073,0.082,0.084,0.103,0.085,0.1,0
"Santiago López Medrano","Muy mala",0.087,0.087,0.088,0.147,0.082,0.102,0.041,0.068,0.065,0.142,0.121,0.044,0.017
"Santiago López Medrano","No sabe",0.282,0.263,0.298,0.276,0.251,0.283,0.34,0.307,0.244,0.31,0.326,0.224,0.223
"Leonardo Grosso","Muy buena",0.11,0.114,0.107,0.243,0.133,0.055,0.039,0.098,0.088,0.155,0.173,0.048,0
"Leonardo Grosso","Buena",0.092,0.094,0.09,0.156,0.056,0.125,0.077,0.088,0.097,0.087,0.114,0.078,0.036
"Leonardo Grosso","Ni buena ni mala",0.337,0.344,0.331,0.268,0.318,0.379,0.371,0.283,0.418,0.272,0.307,0.346,0.524
"Leonardo Grosso","Mala",0.114,0.141,0.091,0.126,0.129,0.101,0.095,0.137,0.095,0.12,0.102,0.143,0.059
"Leonardo Grosso","Muy mala",0.103,0.121,0.086,0.082,0.15,0.081,0.055,0.148,0.056,0.125,0.108,0.103,0.015
"Leonardo Grosso","No sabe",0.244,0.186,0.295,0.125,0.214,0.259,0.363,0.246,0.246,0.241,0.196,0.282,0.366
"Andrés Petrillo","Muy buena",0.076,0.073,0.078,0.189,0.066,0.055,0.042,0.066,0.101,0.048,0.056,0.1,0
"Andrés Petrillo","Buena",0.107,0.099,0.113,0.145,0.087,0.122,0.101,0.099,0.108,0.113,0.078,0.171,0
"Andrés Petrillo","Ni buena ni mala",0.292,0.299,0.286,0.148,0.278,0.318,0.383,0.282,0.331,0.245,0.272,0.307,0.503
"Andrés Petrillo","Mala",0.116,0.117,0.116,0.091,0.157,0.102,0.077,0.122,0.1,0.135,0.128,0.117,0.099
"Andrés Petrillo","Muy mala",0.145,0.186,0.109,0.245,0.167,0.125,0.06,0.151,0.123,0.171,0.184,0.079,0.132
"Andrés Petrillo","No sabe",0.264,0.226,0.298,0.182,0.245,0.278,0.337,0.28,0.237,0.288,0.282,0.226,0.266
"Juan Esleiman","Muy buena",0.09,0.092,0.089,0.156,0.106,0.05,0.063,0.125,0.089,0.057,0.107,0.067,0.076
"Juan Esleiman","Buena",0.087,0.09,0.084,0.17,0.074,0.043,0.104,0.087,0.097,0.073,0.084,0.1,0.147
"Juan Esleiman","Ni buena ni mala",0.354,0.36,0.349,0.311,0.317,0.425,0.371,0.291,0.416,0.328,0.34,0.354,0.413
"Juan Esleiman","Mala",0.118,0.117,0.119,0.094,0.141,0.103,0.109,0.123,0.099,0.14,0.087,0.165,0.132
"Juan Esleiman","Muy mala",0.102,0.123,0.083,0.099,0.14,0.076,0.061,0.124,0.065,0.132,0.108,0.092,0.015
"Juan Esleiman","No sabe",0.249,0.218,0.276,0.17,0.222,0.303,0.292,0.25,0.234,0.27,0.274,0.222,0.217
