"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.123,0.059,0.197,0,0.113,0.176,0.179,0,0.052
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.176,0.152,0.146,0.225,0.112,0.152,0.16,0.825,0.089
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.068,0.012,0.094,0.061,0.012,0,0,0,0.052
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.28,0.517,0.314,0.525,0.417,0.571,0.195,0,0.338
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.103,0.118,0.083,0.021,0.068,0.081,0,0,0.011
"P06","En el frente de todos, a Leonardo Grosso",0.047,0.079,0.077,0,0.077,0,0.134,0.175,0.122
"P06","Al candidato de Javier Milei",0.111,0.047,0.014,0.129,0.145,0,0,0,0.164
"P06","Al Candidato de la izquierda",0.005,0,0,0.013,0.008,0.02,0.112,0,0.052
"P06","No sabe",0.087,0.016,0.075,0.026,0.048,0,0.22,0,0.12
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.184,0.074,0.175,0.068,0.25,0.161,0.179,0,0.06
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.15,0.198,0.086,0.182,0.012,0.244,0,0.15,0.082
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.084,0.129,0.093,0.054,0.049,0,0.099,0,0.042
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.212,0.29,0.304,0.471,0.331,0.431,0.134,0.614,0.359
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.101,0.086,0.077,0,0.068,0.052,0,0.236,0.033
"P08","En el Frente de Todos, a Leonardo Grosso",0.074,0.131,0.138,0.062,0.053,0.073,0.201,0,0.122
"P08","Al candidato de Javier Milei",0.11,0.063,0.035,0.129,0.156,0.011,0.033,0,0.159
"P08","Al Candidato del Frente de Izquierda",0.006,0,0.021,0.013,0.008,0,0.112,0,0.007
"P08","No sabe",0.079,0.029,0.071,0.021,0.073,0.028,0.242,0,0.136
"P10","A Santiago López Medrano por Juntos por el Cambio",0.338,0.119,0.289,0.324,0.186,0.123,0.26,0.15,0.213
"P10","A Gabriel Katopodis por el Frente de Todos",0.35,0.583,0.409,0.329,0.565,0.604,0.248,0.439,0.466
"P10","Al candidato de los liberales libertarios",0.15,0.229,0.054,0.166,0.156,0.03,0.138,0,0.127
"P10","Al candidato del Frente de Izquierda",0.039,0,0.052,0.013,0.039,0.123,0.112,0.175,0.015
"P10","No sabe",0.123,0.069,0.196,0.168,0.054,0.12,0.242,0.236,0.179
"P12","A Santiago López Medrano por Juntos por el Cambio",0.335,0.289,0.343,0.324,0.301,0.215,0.224,0.15,0.167
"P12","A Fernando Moreira por el Frente de Todos",0.298,0.373,0.495,0.264,0.35,0.61,0.389,0.614,0.484
"P12","Al candidato de los liberales libertarios",0.135,0.125,0.084,0.155,0.145,0.049,0,0,0.114
"P12","Al candidato del Frente de Izquierda",0.014,0.117,0.007,0.026,0.035,0.02,0.112,0,0.008
"P12","No sabe",0.218,0.096,0.071,0.231,0.169,0.106,0.275,0.236,0.227
"P14","A Santiago López Medrano por Juntos por el Cambio",0.336,0.17,0.356,0.286,0.341,0.176,0.207,0.149,0.156
"P14","A Juan Esleiman por el Frente de Todos",0.278,0.477,0.43,0.256,0.216,0.435,0.316,0.175,0.363
"P14","Al candidato de los liberales libertarios",0.136,0.141,0.114,0.025,0.145,0.049,0.112,0,0.131
"P14","Al candidato del Frente de Izquierda",0.024,0.117,0.014,0.142,0.063,0.074,0,0,0.046
"P14","No sabe",0.226,0.095,0.086,0.291,0.235,0.266,0.365,0.676,0.304
"P16","A Andrés Petrillo por Juntos por el Cambio",0.318,0.162,0.296,0.315,0.194,0.217,0.207,0.15,0.151
"P16","A Gabriel Katopodis por el Frente de Todos",0.366,0.665,0.47,0.326,0.575,0.615,0.497,0.175,0.546
"P16","Al candidato de los liberales libertarios",0.129,0.126,0.163,0.129,0.156,0.052,0,0.236,0.131
"P16","Al candidato del Frente de Izquierda",0.012,0,0.021,0.013,0.019,0.034,0,0,0.008
"P16","No sabe",0.175,0.047,0.05,0.217,0.056,0.082,0.296,0.439,0.164
"P17","A Andrés Petrillo por Juntos por el Cambio",0.346,0.212,0.27,0.269,0.123,0.259,0.319,0,0.175
