"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P25","Puede que lo vote",0.094,0.28,0.186,0.135,0.117
"P25","Nunca lo votaría",0.504,0.364,0.536,0.521,0.453
"P25","No sabe",0.291,0.245,0.122,0.203,0.3
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.207,0.138,0.298,0.145,0.162
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.217,0.313,0.253,0.306,0.15
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.127,0.133,0.196,0.146,0.162
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.267,0.229,0.169,0.264,0.312
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.105,0.099,0,0.068,0.067
"P26","Solo como gobernador a José Luis Espert",0.009,0,0,0.033,0.033
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0.006,0.044,0.014,0.022,0.005
"P26","No sabe",0.062,0.044,0.07,0.016,0.109
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.142,0.14,0.159,0.176,0.065
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.153,0.156,0.199,0.105,0.121
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.128,0.178,0.135,0.179,0.094
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.073,0.105,0.115,0.129,0.133
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.34,0.241,0.238,0.231,0.359
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.073,0.099,0,0.11,0.075
"P27","Solo como gobernador a José Luis Espert",0.028,0,0.012,0.019,0.053
