"var","categoria","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri","En juntos por el Cambio,a Mauricio D’alessandro","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa","En el frente de todos, a Leonardo Grosso","Al candidato de Javier Milei","Al Candidato de la izquierda","No sabe"
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.589,0.165,0.07,0.102,0.126,0.013,0.073,0.091,0.047
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.088,0.476,0.049,0.025,0.124,0.012,0.009,0,0.053
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.045,0.054,0.553,0.019,0.018,0.129,0.02,0.011,0.019
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.215,0.055,0.08,0.637,0.145,0.073,0.017,0.129,0.03
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.008,0.11,0.064,0.068,0.478,0.041,0,0.01,0.014
"P08","En el Frente de Todos, a Leonardo Grosso",0.016,0.026,0.126,0.055,0.034,0.667,0,0.023,0.034
"P08","Al candidato de Javier Milei",0.019,0.035,0.049,0.035,0.014,0.022,0.819,0.017,0.019
"P08","Al Candidato del Frente de Izquierda",0,0.008,0,0.001,0.002,0,0.007,0.66,0.004
"P08","No sabe",0.02,0.071,0.009,0.058,0.059,0.043,0.055,0.059,0.78
"P10","A Santiago López Medrano por Juntos por el Cambio",0.608,0.473,0.393,0.095,0.242,0.058,0.087,0.007,0.183
"P10","A Gabriel Katopodis por el Frente de Todos",0.107,0.194,0.141,0.692,0.44,0.571,0.031,0.294,0.158
"P10","Al candidato de los liberales libertarios",0.044,0.135,0.083,0.037,0.058,0.101,0.582,0.055,0.05
"P10","Al candidato del Frente de Izquierda",0.094,0.025,0.153,0.077,0.042,0.048,0.031,0.597,0.008
"P10","No sabe",0.147,0.173,0.23,0.099,0.218,0.222,0.269,0.047,0.601
"P12","A Santiago López Medrano por Juntos por el Cambio",0.633,0.494,0.373,0.132,0.215,0.116,0.082,0.057,0.117
"P12","A Fernando Moreira por el Frente de Todos",0.125,0.197,0.094,0.594,0.398,0.605,0.064,0.158,0.161
"P12","Al candidato de los liberales libertarios",0.067,0.111,0.176,0.023,0.057,0.12,0.599,0.072,0.059
"P12","Al candidato del Frente de Izquierda",0.029,0.007,0.11,0.051,0.018,0.035,0.008,0.649,0.044
"P12","No sabe",0.146,0.191,0.247,0.2,0.312,0.124,0.247,0.064,0.619
"P14","A Santiago López Medrano por Juntos por el Cambio",0.69,0.508,0.492,0.149,0.173,0.131,0.102,0,0.186
"P14","A Juan Esleiman por el Frente de Todos",0.088,0.174,0.077,0.443,0.487,0.534,0.029,0.116,0.099
"P14","Al candidato de los liberales libertarios",0.045,0.076,0.226,0.029,0.077,0.068,0.639,0.132,0.08
"P14","Al candidato del Frente de Izquierda",0.018,0.007,0.045,0.073,0.018,0.07,0.058,0.649,0.008
"P14","No sabe",0.159,0.235,0.16,0.306,0.245,0.197,0.172,0.103,0.627
"P16","A Andrés Petrillo por Juntos por el Cambio",0.552,0.484,0.535,0.077,0.217,0.221,0.081,0,0.164
"P16","A Gabriel Katopodis por el Frente de Todos",0.133,0.25,0.037,0.756,0.419,0.591,0.088,0.314,0.107
"P16","Al candidato de los liberales libertarios",0.078,0.08,0.15,0.032,0.067,0,0.651,0.056,0.071
"P16","Al candidato del Frente de Izquierda",0.04,0.007,0.095,0.021,0.006,0.044,0.008,0.501,0.021
"P16","No sabe",0.197,0.179,0.183,0.114,0.291,0.144,0.172,0.129,0.637
"P17","A Andrés Petrillo por Juntos por el Cambio",0.672,0.588,0.546,0.044,0.089,0.118,0.126,0.124,0.15
"P17","A Fernando Moreira por el Frente de Todos",0.098,0.165,0.079,0.715,0.558,0.665,0.068,0.208,0.128
"P17","Al candidato de los liberales libertarios",0.084,0.087,0.116,0.023,0.083,0.017,0.635,0.043,0.091
"P17","Al candidato del Frente de Izquierda",0.021,0.002,0.067,0.02,0.025,0.062,0.035,0.512,0.033
"P17","No sabe",0.125,0.158,0.192,0.198,0.245,0.138,0.136,0.113,0.598
"P18","A Andrés Petrillo por Juntos por el Cambio",0.614,0.635,0.618,0.055,0.177,0.113,0.179,0,0.15
"P18","A Juan Esleiman por el Frente de Todos",0.108,0.111,0.065,0.585,0.459,0.594,0.055,0.18,0.137
"P18","Al candidato de los liberales libertarios",0.09,0.083,0.117,0.03,0.098,0,0.635,0.129,0.13
"P18","Al candidato del Frente de Izquierda",0.021,0.012,0.074,0.034,0.018,0.058,0.011,0.497,0.045
"P18","No sabe",0.167,0.159,0.126,0.296,0.248,0.235,0.12,0.194,0.538
"P19","Lo votaría",0.351,0.169,0.322,0.107,0.15,0.188,0.081,0,0.035
"P19","Puede que lo vote",0.211,0.214,0.215,0.102,0.16,0.071,0.044,0.144,0.173
"P19","Nunca lo votaría",0.197,0.297,0.269,0.47,0.265,0.637,0.482,0.351,0.407
"P19","No sabe",0.241,0.32,0.194,0.321,0.425,0.104,0.393,0.505,0.385
"P20","Lo votaría",0.09,0.104,0.039,0.402,0.282,0.368,0.026,0.238,0.071
"P20","Puede que lo vote",0.116,0.161,0.118,0.222,0.159,0.209,0.068,0.055,0.074
"P20","Nunca lo votaría",0.55,0.459,0.709,0.188,0.265,0.268,0.659,0.373,0.398
"P20","No sabe",0.244,0.276,0.134,0.188,0.294,0.155,0.247,0.334,0.457
"P21","Lo votaría",0.216,0.234,0.351,0.129,0.144,0.183,0.058,0.146,0.093
"P21","Puede que lo vote",0.217,0.292,0.137,0.103,0.105,0.067,0.1,0,0.151
"P21","Nunca lo votaría",0.332,0.217,0.405,0.5,0.291,0.623,0.461,0.355,0.337
"P21","No sabe",0.235,0.257,0.107,0.268,0.46,0.127,0.381,0.499,0.419
"P22","Lo votaría",0.061,0.157,0.071,0.66,0.468,0.476,0.049,0.331,0.14
"P22","Puede que lo vote",0.088,0.14,0.171,0.122,0.237,0.336,0.076,0.244,0.155
"P22","Nunca lo votaría",0.678,0.565,0.69,0.125,0.197,0.173,0.698,0.309,0.4
"P22","No sabe",0.173,0.138,0.068,0.093,0.098,0.015,0.177,0.116,0.305
"P23","Lo votaría",0.177,0.195,0.579,0.141,0.068,0.079,0.122,0,0.061
"P23","Puede que lo vote",0.299,0.289,0.173,0.123,0.203,0.099,0.128,0.354,0.177
"P23","Nunca lo votaría",0.278,0.222,0.209,0.528,0.298,0.751,0.523,0.529,0.37
"P23","No sabe",0.246,0.294,0.039,0.208,0.431,0.071,0.227,0.117,0.392
"P24","Lo votaría",0.027,0.036,0.138,0.138,0.239,0.196,0.013,0.193,0.005
"P24","Puede que lo vote",0.099,0.182,0.214,0.248,0.285,0.25,0.105,0.176,0.123
"P24","Nunca lo votaría",0.611,0.503,0.476,0.341,0.099,0.342,0.57,0.311,0.395
"P24","No sabe",0.263,0.279,0.172,0.273,0.377,0.212,0.312,0.32,0.477
"P25","Lo votaría",0.008,0.049,0.027,0.123,0.099,0.729,0.055,0,0.027
"P25","Puede que lo vote",0.05,0.112,0.055,0.218,0.206,0.188,0.05,0.24,0.101
"P25","Nunca lo votaría",0.611,0.552,0.666,0.389,0.262,0.042,0.515,0.222,0.48
"P25","No sabe",0.331,0.287,0.252,0.27,0.433,0.041,0.38,0.538,0.392
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.331,0.331,0.17,0.118,0.094,0.121,0.055,0.031,0.26
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.398,0.302,0.427,0.097,0.082,0.165,0.217,0,0.184
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.13,0.12,0.119,0.261,0.269,0.051,0.034,0.164,0.039
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.072,0.088,0.13,0.417,0.455,0.586,0.035,0.287,0.13
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.003,0.08,0.138,0.02,0.015,0,0.552,0,0.028
"P26","Solo como gobernador a José Luis Espert",0,0.008,0.006,0.01,0,0,0.107,0,0
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0.007,0,0,0.018,0,0.02,0,0.173,0.027
"P26","No sabe",0.059,0.071,0.01,0.059,0.085,0.057,0,0.345,0.332
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.381,0.224,0.185,0.052,0.053,0.064,0.036,0.031,0.178
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.21,0.229,0.384,0.103,0.078,0.028,0.085,0,0.11
