"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.812,0.203,0.078,0.517,0.393
"P07","Al candidato de Juntos por el Cambio",0.072,0.633,0.21,0.018,0.15
"P07","Al candidato de los liberales - libertarios",0.023,0.064,0.633,0,0.067
"P07","Al candidato de la Izquierda",0.011,0.03,0.015,0.259,0.002
"P07","A otro candidato",0.028,0.036,0.056,0.17,0.15
"P07","No sabe",0.054,0.034,0.008,0.036,0.238
"P08","A Julio Zamora por el Frente de Todos",0.601,0.154,0.239,0.284,0.415
"P08","A Malena Galmarini por el Frente de Todos",0.286,0.034,0,0.046,0.013
"P08","A Segundo Cernadas por Cambiemos",0.074,0.571,0.042,0.089,0.083
"P08","A Nicolás Massot por Cambiemos",0.015,0.161,0.114,0.162,0.074
"P08","Al candidato de los liberales libertarios",0.009,0.028,0.576,0,0.045
"P08","A Paula Akerfeld por el Frente de Izquierda",0.005,0.029,0,0.402,0.026
"P08","No sabe",0.01,0.023,0.029,0.017,0.344
"P10","A Julio Zamora por el Frente de Todos",0.727,0.187,0.158,0.266,0.418
"P10","A Segundo Cernadas por Cambiemos",0.126,0.686,0.062,0.018,0.089
"P10","Al candidato de los liberales libertarios",0.044,0.074,0.693,0.023,0.032
"P10","A Paula Akerfeld por el Frente de Izquierda",0.028,0.04,0.012,0.543,0.004
"P10","No sabe",0.075,0.013,0.075,0.15,0.457
"P14","Muy buena",0.318,0.1,0.002,0.023,0.008
"P14","Buena",0.351,0.067,0.047,0.014,0.047
"P14","Ni buena ni mala",0.187,0.16,0.268,0.334,0.307
"P14","Mala",0.038,0.232,0.14,0.313,0.242
"P14","Muy mala",0.047,0.379,0.47,0.316,0.201
"P14","No sabe",0.059,0.062,0.073,0,0.195
"P15","Muy buena",0.373,0.11,0.023,0.124,0.227
"P15","Buena",0.271,0.164,0.175,0.131,0.179
"P15","Ni buena ni mala",0.203,0.247,0.273,0.462,0.287
"P15","Mala",0.074,0.236,0.209,0.084,0.14
"P15","Muy mala",0.06,0.207,0.289,0.144,0.073
"P15","No sabe",0.019,0.036,0.031,0.055,0.094
"P16","Muy buena",0.11,0.382,0.034,0,0.039
"P16","Buena",0.137,0.316,0.143,0.025,0.057
"P16","Ni buena ni mala",0.29,0.139,0.512,0.179,0.345
"P16","Mala",0.193,0.068,0.083,0.236,0.154
"P16","Muy mala",0.207,0.051,0.101,0.39,0.15
"P16","No sabe",0.063,0.044,0.127,0.17,0.255
"P17","Muy buena",0.107,0.04,0.029,0.204,0
"P17","Buena",0.068,0.05,0.048,0.011,0.005
"P17","Ni buena ni mala",0.37,0.346,0.401,0.192,0.237
"P17","Mala",0.09,0.078,0.134,0.181,0.039
"P17","Muy mala",0.07,0.069,0.13,0.177,0.085
"P17","No sabe",0.295,0.417,0.258,0.235,0.634
"P18","Muy buena",0.098,0.158,0.134,0.193,0.009
"P18","Buena",0.066,0.123,0.083,0.056,0.046
"P18","Ni buena ni mala",0.356,0.357,0.362,0.114,0.291
"P18","Mala",0.135,0.078,0.153,0.213,0.074
"P18","Muy mala",0.123,0.048,0.087,0.349,0.131
"P18","No sabe",0.222,0.236,0.181,0.075,0.449
"P19","Muy buena",0.365,0.076,0.009,0.188,0.279
"P19","Buena",0.358,0.135,0.13,0.159,0.178
"P19","Ni buena ni mala",0.141,0.351,0.288,0.1,0.293
"P19","Mala",0.068,0.205,0.202,0.396,0.066
"P19","Muy mala",0.059,0.198,0.345,0.157,0.073
"P19","No sabe",0.009,0.035,0.026,0,0.111
"P20","Que continúe el intendente Julio Zamora",0.333,0.071,0.058,0.235,0.282
"P20","Que continúe Julio Zamora pero con mejoras",0.442,0.134,0.107,0.348,0.315
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.092,0.216,0.217,0.019,0.079
"P20","Que cambie el intendente Julio Zamora",0.133,0.579,0.618,0.398,0.324
"P21","La seguridad",0.31,0.272,0.321,0.332,0.201
"P21","El tránsito",0.069,0.015,0.031,0.057,0.051
"P21","El arreglo de las calles",0.153,0.125,0.078,0.011,0.153
"P21","El estado de las escuelas y la educación",0.028,0.081,0.01,0.042,0.091
"P21","El sistema de salud",0.078,0.066,0.059,0.136,0.133
"P21","El deporte y la cultura",0.089,0.105,0.146,0.206,0.143
"P21","La obra pública",0.076,0.04,0.001,0.063,0.073
"P21","La luminaria",0.062,0.089,0.117,0.087,0.054
"P21","No sabe",0.135,0.207,0.237,0.066,0.101
"P22","La seguridad",0.139,0.194,0.117,0.038,0.157
"P22","El tránsito",0.13,0.137,0.078,0.1,0.148
"P22","El arreglo de las calles",0.177,0.135,0.245,0.106,0.069
"P22","El estado de las escuelas y la educación",0.171,0.141,0.133,0.328,0.187
"P22","El sistema de salud",0.168,0.172,0.162,0.243,0.191
"P22","El deporte y la cultura",0.034,0.024,0.024,0.035,0
"P22","La obra pública",0.025,0.037,0.09,0.06,0.044
"P22","La luminaria",0.03,0.019,0.01,0.028,0.002
"P22","No sabe",0.126,0.141,0.141,0.062,0.202
