"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Que continúe el intendente Julio Zamora",0.188,0.204,0.174,0.16,0.206,0.165,0.207,0.195,0.228,0.125,0.199,0.197,0.176,0.283,0.118,0.158
"Que continúe Julio Zamora pero con mejoras",0.262,0.242,0.28,0.219,0.306,0.235,0.234,0.235,0.299,0.237,0.245,0.313,0.257,0.411,0.162,0.458
"Que cambie Julio Zamora pero que se mantengan los avances",0.151,0.143,0.158,0.155,0.127,0.162,0.194,0.14,0.144,0.171,0.133,0.162,0.162,0.081,0.198,0.104
"Que cambie el intendente Julio Zamora",0.399,0.411,0.388,0.466,0.361,0.438,0.365,0.43,0.329,0.467,0.423,0.328,0.405,0.225,0.522,0.28
