"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Juan Laborde Rodríguez","Muy buena",0.06,0.07,0.05,0.11,0.048,0.038,0.064,0.083,0.066,0.027,0.06,0.061,0.06,0.039,0.077,0.131
"Juan Laborde Rodríguez","Buena",0.049,0.049,0.049,0.007,0.067,0.056,0.04,0.06,0.055,0.025,0.055,0.021,0.052,0.048,0.045,0.071
"Juan Laborde Rodríguez","Ni buena ni mala",0.343,0.34,0.345,0.382,0.35,0.333,0.287,0.294,0.336,0.405,0.368,0.413,0.298,0.342,0.364,0.295
"Juan Laborde Rodríguez","Mala",0.088,0.103,0.074,0.12,0.094,0.071,0.059,0.101,0.086,0.079,0.075,0.064,0.108,0.091,0.077,0.055
"Juan Laborde Rodríguez","Muy mala",0.084,0.093,0.075,0.099,0.091,0.077,0.054,0.1,0.081,0.071,0.075,0.087,0.09,0.074,0.063,0.166
"Juan Laborde Rodríguez","No sabe",0.376,0.345,0.407,0.282,0.35,0.425,0.496,0.362,0.376,0.393,0.367,0.354,0.392,0.406,0.374,0.282
"Nicolás Massot","Muy buena",0.117,0.134,0.101,0.202,0.098,0.071,0.13,0.166,0.078,0.125,0.125,0.136,0.104,0.1,0.151,0.198
"Nicolás Massot","Buena",0.087,0.1,0.074,0.027,0.074,0.131,0.135,0.086,0.095,0.075,0.105,0.037,0.088,0.069,0.117,0.052
"Nicolás Massot","Ni buena ni mala",0.341,0.364,0.319,0.3,0.379,0.35,0.273,0.305,0.348,0.37,0.369,0.4,0.297,0.309,0.397,0.341
"Nicolás Massot","Mala",0.111,0.115,0.108,0.139,0.116,0.093,0.091,0.111,0.094,0.139,0.11,0.113,0.112,0.163,0.065,0.046
"Nicolás Massot","Muy mala",0.098,0.105,0.091,0.079,0.118,0.111,0.046,0.07,0.106,0.115,0.063,0.099,0.128,0.122,0.06,0.087
"Nicolás Massot","No sabe",0.246,0.182,0.307,0.253,0.215,0.244,0.325,0.262,0.279,0.176,0.228,0.215,0.271,0.237,0.21,0.276
"Segundo Cernadas","Muy buena",0.187,0.16,0.213,0.193,0.149,0.248,0.189,0.202,0.174,0.19,0.156,0.094,0.244,0.064,0.313,0.177
"Segundo Cernadas","Buena",0.19,0.183,0.197,0.147,0.188,0.184,0.258,0.158,0.231,0.162,0.223,0.106,0.191,0.08,0.287,0.098
"Segundo Cernadas","Ni buena ni mala",0.269,0.286,0.253,0.287,0.286,0.241,0.246,0.214,0.291,0.296,0.272,0.369,0.234,0.313,0.208,0.293
"Segundo Cernadas","Mala",0.128,0.13,0.126,0.076,0.172,0.127,0.073,0.123,0.136,0.121,0.153,0.087,0.12,0.211,0.05,0.204
"Segundo Cernadas","Muy mala",0.132,0.142,0.123,0.122,0.133,0.147,0.119,0.178,0.086,0.154,0.137,0.127,0.13,0.223,0.06,0.138
"Segundo Cernadas","No sabe",0.094,0.099,0.088,0.175,0.072,0.053,0.115,0.125,0.082,0.077,0.059,0.217,0.081,0.109,0.082,0.09
"Julio Zamora","Muy buena",0.198,0.183,0.213,0.097,0.244,0.186,0.225,0.227,0.222,0.132,0.177,0.215,0.211,0.316,0.109,0.166
"Julio Zamora","Buena",0.201,0.2,0.202,0.234,0.172,0.202,0.237,0.16,0.21,0.232,0.244,0.151,0.182,0.248,0.19,0.159
"Julio Zamora","Ni buena ni mala",0.248,0.272,0.226,0.236,0.267,0.225,0.246,0.253,0.251,0.239,0.211,0.245,0.281,0.197,0.273,0.314
"Julio Zamora","Mala",0.163,0.146,0.178,0.208,0.15,0.152,0.154,0.174,0.142,0.181,0.142,0.149,0.184,0.094,0.201,0.245
"Julio Zamora","Muy mala",0.152,0.165,0.139,0.17,0.132,0.191,0.123,0.148,0.129,0.191,0.204,0.161,0.105,0.114,0.192,0.061
"Julio Zamora","No sabe",0.038,0.034,0.042,0.055,0.035,0.044,0.015,0.038,0.046,0.025,0.022,0.079,0.037,0.031,0.035,0.055
"Malena Galmarini","Muy buena",0.142,0.129,0.155,0.149,0.138,0.119,0.182,0.156,0.144,0.125,0.141,0.102,0.158,0.203,0.107,0.133
"Malena Galmarini","Buena",0.153,0.158,0.148,0.091,0.187,0.143,0.151,0.126,0.198,0.114,0.19,0.12,0.134,0.234,0.097,0.155
"Malena Galmarini","Ni buena ni mala",0.21,0.215,0.206,0.2,0.247,0.184,0.164,0.269,0.194,0.171,0.201,0.322,0.177,0.254,0.185,0.193
"Malena Galmarini","Mala",0.158,0.152,0.164,0.171,0.134,0.175,0.184,0.131,0.145,0.209,0.162,0.112,0.173,0.115,0.18,0.19
"Malena Galmarini","Muy mala",0.258,0.284,0.233,0.237,0.218,0.342,0.262,0.248,0.207,0.343,0.265,0.275,0.245,0.112,0.378,0.211
"Malena Galmarini","No sabe",0.079,0.062,0.094,0.152,0.076,0.037,0.057,0.07,0.112,0.038,0.041,0.069,0.113,0.082,0.053,0.118
"Javier Milei","Muy buena",0.164,0.197,0.134,0.276,0.155,0.14,0.1,0.212,0.106,0.197,0.167,0.133,0.173,0.087,0.216,0.059
"Javier Milei","Buena",0.128,0.14,0.117,0.057,0.138,0.147,0.15,0.094,0.153,0.127,0.118,0.144,0.13,0.061,0.172,0.202
"Javier Milei","Ni buena ni mala",0.235,0.224,0.245,0.291,0.201,0.247,0.242,0.29,0.192,0.239,0.214,0.202,0.264,0.147,0.285,0.384
"Javier Milei","Mala",0.108,0.102,0.114,0.095,0.088,0.128,0.147,0.075,0.138,0.1,0.081,0.149,0.115,0.108,0.101,0.265
"Javier Milei","Muy mala",0.316,0.326,0.307,0.211,0.388,0.294,0.277,0.26,0.353,0.322,0.367,0.318,0.274,0.55,0.168,0.09
"Javier Milei","No sabe",0.049,0.011,0.083,0.07,0.03,0.044,0.084,0.069,0.058,0.015,0.053,0.054,0.044,0.047,0.058,0
"Horacio Rodriguez Larreta","Muy buena",0.134,0.123,0.144,0.061,0.127,0.149,0.211,0.171,0.133,0.099,0.119,0.146,0.142,0.039,0.228,0.119
"Horacio Rodriguez Larreta","Buena",0.218,0.221,0.216,0.193,0.22,0.233,0.22,0.248,0.198,0.217,0.221,0.235,0.21,0.111,0.324,0.258
"Horacio Rodriguez Larreta","Ni buena ni mala",0.196,0.187,0.204,0.289,0.174,0.165,0.198,0.141,0.197,0.249,0.193,0.234,0.184,0.146,0.215,0.438
"Horacio Rodriguez Larreta","Mala",0.132,0.159,0.107,0.156,0.124,0.124,0.137,0.135,0.113,0.154,0.114,0.148,0.14,0.187,0.057,0.048
"Horacio Rodriguez Larreta","Muy mala",0.302,0.301,0.303,0.261,0.354,0.295,0.223,0.285,0.337,0.271,0.346,0.22,0.298,0.49,0.173,0.127
"Horacio Rodriguez Larreta","No sabe",0.018,0.009,0.026,0.04,0.001,0.034,0.011,0.02,0.022,0.01,0.007,0.017,0.026,0.027,0.003,0.01
"Patricia Bullrich","Muy buena",0.217,0.228,0.206,0.217,0.164,0.253,0.302,0.233,0.141,0.306,0.189,0.253,0.225,0.071,0.395,0.025
"Patricia Bullrich","Buena",0.177,0.212,0.145,0.117,0.192,0.198,0.17,0.167,0.22,0.125,0.239,0.124,0.147,0.084,0.25,0.16
"Patricia Bullrich","Ni buena ni mala",0.138,0.113,0.161,0.213,0.126,0.087,0.165,0.172,0.122,0.127,0.102,0.215,0.139,0.086,0.11,0.379
"Patricia Bullrich","Mala",0.117,0.112,0.122,0.132,0.125,0.102,0.107,0.117,0.123,0.111,0.067,0.132,0.153,0.176,0.046,0.295
"Patricia Bullrich","Muy mala",0.325,0.328,0.323,0.251,0.378,0.335,0.25,0.293,0.347,0.328,0.37,0.261,0.313,0.543,0.183,0.141
"Patricia Bullrich","No sabe",0.026,0.007,0.043,0.07,0.015,0.025,0.006,0.018,0.047,0.003,0.033,0.015,0.023,0.04,0.016,0
"Mauricio Macri","Muy buena",0.14,0.133,0.146,0.157,0.1,0.151,0.211,0.147,0.123,0.158,0.13,0.119,0.156,0.045,0.251,0
"Mauricio Macri","Buena",0.175,0.225,0.131,0.229,0.13,0.183,0.22,0.18,0.176,0.168,0.171,0.205,0.168,0.072,0.301,0.032
"Mauricio Macri","Ni buena ni mala",0.175,0.196,0.155,0.206,0.154,0.178,0.19,0.213,0.17,0.143,0.226,0.121,0.153,0.108,0.195,0.13
"Mauricio Macri","Mala",0.154,0.124,0.181,0.154,0.197,0.119,0.094,0.113,0.173,0.169,0.127,0.237,0.146,0.141,0.092,0.555
