"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.822,0.109,0.143,0.221,0.234
"P07","Al candidato de Juntos por el Cambio",0.083,0.717,0.217,0.088,0.086
"P07","Al candidato de los liberales - libertarios",0.028,0.059,0.542,0.116,0.159
"P07","Al candidato de la Izquierda",0.001,0.018,0.002,0.416,0.025
"P07","A otro candidato",0.029,0.018,0.082,0.136,0.246
"P07","No sabe",0.037,0.079,0.014,0.023,0.25
"P08","A Julio Zamora por el Frente de Todos",0.747,0.07,0.176,0.105,0.029
"P08","A Malena Galmarini por el Frente de Todos",0.132,0.078,0.012,0.205,0.207
"P08","A Segundo Cernadas por Cambiemos",0.083,0.599,0.138,0.135,0.04
"P08","A Nicolás Massot por Cambiemos",0.01,0.19,0.094,0.1,0.114
"P08","Al candidato de los liberales libertarios",0.001,0.035,0.52,0,0.149
"P08","A Paula Akerfeld por el Frente de Izquierda",0.002,0,0.051,0.451,0.027
"P08","No sabe",0.025,0.028,0.009,0.004,0.434
"P12","A Malena Galmarini por el Frente de Todos",0.599,0.127,0.098,0.19,0.232
"P12","A Segundo Cernadas por Cambiemos",0.181,0.808,0.193,0.324,0.049
"P12","Al candidato de los liberales libertarios",0.057,0.027,0.674,0.036,0.102
"P12","A Paula Akerfeld por el Frente de Izquierda",0.025,0.002,0.006,0.438,0.054
"P12","No sabe",0.138,0.036,0.029,0.012,0.563
"P14","Muy buena",0.205,0.083,0.111,0.25,0.09
"P14","Buena",0.285,0.065,0.031,0.044,0.127
"P14","Ni buena ni mala",0.263,0.157,0.206,0.026,0.25
"P14","Mala",0.118,0.214,0.097,0.464,0.109
"P14","Muy mala",0.077,0.396,0.494,0.202,0.227
"P14","No sabe",0.052,0.085,0.061,0.014,0.197
"P15","Muy buena",0.397,0.073,0.11,0.052,0.029
"P15","Buena",0.356,0.111,0.103,0.098,0.08
"P15","Ni buena ni mala",0.173,0.283,0.255,0.237,0.414
"P15","Mala",0.039,0.293,0.172,0.124,0.213
"P15","Muy mala",0.025,0.19,0.325,0.489,0.145
"P15","No sabe",0.01,0.05,0.035,0,0.119
"P16","Muy buena",0.072,0.391,0.142,0.119,0.057
"P16","Buena",0.112,0.359,0.143,0.058,0.058
"P16","Ni buena ni mala",0.272,0.169,0.388,0.408,0.356
"P16","Mala",0.222,0.041,0.095,0.223,0.068
"P16","Muy mala",0.225,0.005,0.146,0.192,0.156
"P16","No sabe",0.097,0.035,0.086,0,0.305
"P17","Muy buena",0.074,0.044,0.068,0.05,0.052
"P17","Buena",0.038,0.063,0.071,0.057,0.012
"P17","Ni buena ni mala",0.363,0.367,0.269,0.262,0.328
"P17","Mala",0.078,0.079,0.155,0.208,0.02
"P17","Muy mala",0.075,0.032,0.169,0.241,0.096
"P17","No sabe",0.372,0.415,0.268,0.182,0.492
"P18","Muy buena",0.104,0.127,0.145,0.052,0.123
"P18","Buena",0.06,0.115,0.105,0.145,0.056
"P18","Ni buena ni mala",0.302,0.424,0.331,0.327,0.259
"P18","Mala",0.164,0.059,0.146,0.123,0.027
"P18","Muy mala",0.133,0.032,0.11,0.166,0.122
"P18","No sabe",0.237,0.243,0.163,0.187,0.413
"P19","Muy buena",0.412,0.065,0.041,0.094,0.029
"P19","Buena",0.378,0.144,0.06,0.08,0.091
"P19","Ni buena ni mala",0.134,0.372,0.278,0.189,0.353
"P19","Mala",0.03,0.208,0.269,0.141,0.224
"P19","Muy mala",0.032,0.172,0.337,0.48,0.178
"P19","No sabe",0.014,0.039,0.015,0.016,0.125
"P20","Que continúe el intendente Julio Zamora",0.416,0.059,0.052,0.013,0.015
"P20","Que continúe Julio Zamora pero con mejoras",0.445,0.127,0.067,0.282,0.263
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.073,0.195,0.192,0.225,0.208
"P20","Que cambie el intendente Julio Zamora",0.066,0.619,0.689,0.48,0.514
"P21","La seguridad",0.334,0.264,0.308,0.089,0.205
"P21","El tránsito",0.07,0.021,0.034,0.005,0.023
"P21","El arreglo de las calles",0.165,0.126,0.047,0.215,0.072
"P21","El estado de las escuelas y la educación",0.046,0.043,0.045,0.078,0.116
"P21","El sistema de salud",0.08,0.101,0.056,0.047,0.071
"P21","El deporte y la cultura",0.109,0.109,0.115,0.303,0.069
"P21","La obra pública",0.091,0.02,0.016,0.013,0.067
"P21","La luminaria",0.052,0.097,0.079,0.069,0.128
"P21","No sabe",0.053,0.219,0.3,0.181,0.249
"P22","La seguridad",0.182,0.14,0.117,0.203,0.132
"P22","El tránsito",0.141,0.135,0.049,0.262,0.1
"P22","El arreglo de las calles",0.141,0.156,0.271,0.119,0.057
"P22","El estado de las escuelas y la educación",0.151,0.165,0.142,0.136,0.229
"P22","El sistema de salud",0.185,0.16,0.136,0.104,0.257
"P22","El deporte y la cultura",0.028,0.019,0.023,0.029,0.027
"P22","La obra pública",0.018,0.066,0.041,0.066,0.05
"P22","La luminaria",0.025,0.023,0.01,0,0.007
"P22","No sabe",0.129,0.136,0.211,0.081,0.141
"P23","Agua corriente y cloacas",0.421,0.507,0.299,0.359,0.51
"P23","Energía eléctrica",0.146,0.121,0.207,0.118,0.1
"P23","Red de gas natural",0.094,0.082,0.076,0.082,0.01
"P23","Recolección de residuos",0.103,0.119,0.233,0.244,0.089
"P23","Ninguno",0.236,0.171,0.185,0.197,0.291
"P24","Los robos",0.331,0.213,0.271,0.248,0.18
"P24","El narcotráfico",0.215,0.347,0.255,0.225,0.27
"P24","La ausencia de patrulleros y personal policial",0.157,0.179,0.196,0.172,0.215
"P24","Otro",0.144,0.157,0.213,0.33,0.259
"P24","Ninguno",0.153,0.104,0.065,0.025,0.076
"P25","Frente de Todos y el peronismo",0.668,0.08,0.114,0.444,0.29
"P25","Cambiemos",0.102,0.617,0.213,0.085,0.141
"P25","Liberales Libertarios",0.086,0.144,0.602,0.018,0.246
"P25","Izquierda",0.019,0.027,0,0.382,0.022
"P25","No sabe",0.125,0.132,0.071,0.071,0.301
"P27","A Alberto Fernández",0.192,0.21,0.025,0.583,0.591
"P27","A Sergio Massa",0.229,0.331,0.181,0.169,0.139
"P27","A algún candidato del peronismo",0.195,0.439,0.183,0.029,0.158
"P27","A algún candidato del kirchnerismo",0.384,0.02,0.611,0.219,0.112
"P28","A Alberto Fernández",0.095,0.153,0.012,0.469,0.375
"P28","A Sergio Massa",0.157,0.147,0.079,0.136,0.095
"P28","A algún candidato del peronismo",0.165,0.575,0.192,0.029,0.378
"P28","A Cristina Fernández de Kirchner",0.583,0.125,0.717,0.366,0.152
"P29","A Horacio Rodriguez Larreta",0.429,0.333,0.214,0.451,0.309
"P29","A Mauricio Macri",0.208,0.292,0.625,0.294,0.202
"P29","A Patricia Bullrich",0.251,0.271,0.1,0.255,0.467
"P29","A Facundo Manes",0.031,0.087,0.013,0,0.022
"P29","A Gerardo Morales",0.081,0.017,0.048,0,0
"P30","Seguro lo votaria",0.079,0.241,0.371,0.783,0.203
"P30","Quizás lo votaría",0.396,0.4,0.296,0,0.178
"P30","Nunca lo votaría",0.525,0.359,0.333,0.217,0.619
