"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.465,0.43,0.425,0.366,0.418,0.43,0.186,0.576,0.39
"P07","Al candidato de Juntos por el Cambio",0.331,0.312,0.376,0.278,0.259,0.212,0.305,0.246,0.361
"P07","Al candidato de los liberales - libertarios",0.065,0.124,0.077,0.142,0.177,0.244,0.335,0.1,0.143
"P07","Al candidato de la Izquierda",0.079,0.047,0,0.029,0.008,0,0.042,0,0.02
"P07","A otro candidato",0.031,0.019,0.092,0.105,0.045,0.114,0.083,0.014,0.022
"P07","No sabe",0.029,0.068,0.03,0.08,0.093,0,0.049,0.064,0.064
"P08","A Julio Zamora por el Frente de Todos",0.396,0.386,0.29,0.329,0.39,0.309,0.135,0.463,0.36
"P08","A Malena Galmarini por el Frente de Todos",0.061,0.135,0.117,0.137,0.088,0.256,0.101,0.189,0.081
"P08","A Segundo Cernadas por Cambiemos",0.322,0.265,0.297,0.264,0.248,0.388,0.215,0.21,0.216
"P08","A Nicolás Massot por Cambiemos",0.079,0.086,0.139,0.082,0.056,0.012,0.176,0.05,0.148
"P08","Al candidato de los liberales libertarios",0.059,0.065,0.119,0.081,0.133,0.012,0.229,0.074,0.07
"P08","A Paula Akerfeld por el Frente de Izquierda",0.045,0.036,0.022,0.02,0.018,0,0.049,0,0.005
"P08","No sabe",0.038,0.027,0.016,0.087,0.067,0.023,0.095,0.014,0.12
"P10","A Julio Zamora por el Frente de Todos",0.453,0.428,0.352,0.359,0.408,0.443,0.161,0.495,0.349
"P10","A Segundo Cernadas por Cambiemos",0.289,0.34,0.324,0.324,0.292,0.243,0.502,0.391,0.306
"P10","Al candidato de los liberales libertarios",0.107,0.055,0.249,0.124,0.11,0.136,0.137,0.074,0.21
"P10","A Paula Akerfeld por el Frente de Izquierda",0.056,0.089,0.033,0.036,0.026,0.052,0.068,0,0.024
"P10","No sabe",0.095,0.088,0.042,0.157,0.164,0.126,0.132,0.04,0.111
"P12","A Malena Galmarini por el Frente de Todos",0.291,0.334,0.374,0.341,0.313,0.453,0.196,0.506,0.289
"P12","A Segundo Cernadas por Cambiemos",0.456,0.394,0.32,0.318,0.36,0.362,0.315,0.356,0.362
"P12","Al candidato de los liberales libertarios",0.105,0.085,0.221,0.113,0.129,0.136,0.297,0.074,0.138
"P12","A Paula Akerfeld por el Frente de Izquierda",0.008,0.027,0.023,0.069,0.047,0.049,0.049,0.05,0.015
"P12","No sabe",0.14,0.16,0.062,0.159,0.151,0,0.143,0.014,0.196
"P14","Muy buena",0.127,0.143,0.153,0.162,0.099,0.105,0.009,0.255,0.181
"P14","Buena",0.147,0.137,0.171,0.189,0.195,0.202,0.179,0.263,0.059
"P14","Ni buena ni mala",0.266,0.192,0.187,0.161,0.197,0.18,0.178,0.051,0.294
"P14","Mala",0.201,0.196,0.129,0.141,0.134,0.059,0.195,0.225,0.114
"P14","Muy mala",0.221,0.287,0.334,0.282,0.292,0.337,0.412,0.158,0.198
"P14","No sabe",0.038,0.045,0.026,0.065,0.083,0.117,0.027,0.048,0.154
"P15","Muy buena",0.199,0.251,0.201,0.226,0.157,0.194,0.049,0.072,0.273
"P15","Buena",0.205,0.229,0.226,0.18,0.215,0.291,0.069,0.4,0.088
"P15","Ni buena ni mala",0.261,0.197,0.219,0.206,0.286,0.349,0.302,0.259,0.29
"P15","Mala",0.173,0.175,0.144,0.26,0.106,0.015,0.15,0.156,0.141
"P15","Muy mala",0.153,0.119,0.207,0.109,0.18,0.151,0.43,0.014,0.09
"P15","No sabe",0.009,0.029,0.003,0.019,0.056,0,0,0.099,0.118
"P16","Muy buena",0.248,0.17,0.204,0.157,0.173,0.151,0.221,0.145,0.159
"P16","Buena",0.139,0.22,0.215,0.267,0.13,0.206,0.14,0.317,0.172
"P16","Ni buena ni mala",0.251,0.293,0.245,0.228,0.261,0.136,0.315,0.279,0.293
"P16","Mala",0.115,0.185,0.072,0.088,0.201,0.218,0.072,0.123,0.102
"P16","Muy mala",0.148,0.047,0.157,0.159,0.155,0.11,0.201,0.093,0.116
"P16","No sabe",0.099,0.085,0.107,0.101,0.08,0.179,0.051,0.043,0.158
"P17","Muy buena",0.048,0.049,0.149,0.01,0.06,0.127,0,0.124,0.027
"P17","Buena",0.038,0.103,0.03,0.063,0.029,0.104,0.016,0.033,0.051
