"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.411,0.37,0.519,0.495,0.477,0.479,0.436
"P04","Realizo changas o trabajos de vez en cuando",0.209,0.138,0.139,0.201,0.243,0.221,0.202
"P04","No tengo trabajo",0.181,0.167,0.159,0.094,0.207,0.164,0.189
"P04","Soy jubilado o pensionado",0.199,0.325,0.183,0.21,0.073,0.136,0.173
"P05","1",0.369,0.384,0.119,0.201,0.393,0.267,0.248
"P05","2",0.071,0.079,0.052,0.066,0.108,0.047,0.08
"P05","3",0.041,0.092,0.02,0.027,0.088,0.021,0.049
"P05","4",0.109,0.117,0.051,0.044,0.06,0.069,0.049
"P05","5",0.233,0.202,0.117,0.178,0.185,0.114,0.265
"P05","6",0.041,0.035,0.075,0.077,0.033,0.007,0.061
"P05","7",0.042,0.02,0.176,0.101,0.018,0.128,0.058
"P05","8",0.01,0.023,0.114,0.072,0.021,0.091,0.036
"P05","9",0.084,0.048,0.276,0.234,0.094,0.256,0.154
"P06","1",0.244,0.16,0.444,0.406,0.098,0.384,0.352
"P06","2",0.057,0.028,0.083,0.085,0.05,0.092,0.019
"P06","3",0.018,0.043,0.074,0.066,0.039,0.045,0.041
"P06","4",0.043,0.038,0.071,0.065,0.033,0.061,0.037
"P06","5",0.211,0.192,0.135,0.164,0.203,0.216,0.294
"P06","6",0.077,0.051,0.019,0.026,0.058,0.007,0.038
"P06","7",0.06,0.097,0.038,0.047,0.064,0.009,0.035
"P06","8",0.052,0.088,0.019,0.028,0.087,0.014,0.027
"P06","9",0.238,0.303,0.117,0.113,0.368,0.172,0.157
"P07","1",0.333,0.219,0.676,0.504,0.205,0.543,0.336
"P07","2",0.044,0.025,0.027,0.055,0.022,0.044,0.016
"P07","3",0.031,0.043,0.06,0.032,0.036,0.044,0.02
"P07","4",0.04,0.021,0.037,0.014,0.009,0.006,0.028
"P07","5",0.119,0.142,0.06,0.075,0.15,0.126,0.126
"P07","6",0.021,0.024,0.012,0.041,0.039,0.014,0.029
"P07","7",0.033,0.045,0.007,0.018,0.046,0,0.034
"P07","8",0.033,0.052,0.017,0.008,0.062,0.009,0.022
"P07","9",0.346,0.429,0.104,0.253,0.431,0.214,0.389
"P09","Del Frente de Todos y el peronismo",0.117,0.029,0.863,0.815,0.063,0.303,0.336
"P09","De Juntos por el cambio",0.654,0.778,0.042,0.036,0.087,0.045,0.138
"P09","De los Liberales libertarios",0.082,0.098,0.023,0.019,0.742,0.054,0.046
"P09","De la Izquierda",0.014,0.017,0.029,0.019,0.019,0.477,0.02
"P09","No sabe",0.133,0.078,0.043,0.111,0.089,0.121,0.46
"P10","A Alberto Fernández",0.283,0.294,0.061,0.109,0.037,0.039,0.348
"P10","A Sergio Massa",0.325,0.24,0.145,0.253,0.607,0.159,0.244
"P10","A algún candidato del peronismo",0.232,0.429,0.12,0.256,0.28,0.269,0.099
"P10","A algún candidato del kirchnerismo",0.16,0.037,0.674,0.382,0.076,0.533,0.309
"P11","A Alberto Fernández",0.143,0.457,0.036,0.093,0.033,0.034,0.226
"P11","A Sergio Massa",0.326,0.135,0.069,0.145,0.566,0,0.195
"P11","A algún candidato del peronismo",0.242,0.388,0.065,0.166,0.127,0.235,0.127
"P11","A Cristina Fernández de Kirchner",0.289,0.02,0.83,0.596,0.274,0.731,0.452
"P12","A Horacio Rodriguez Larreta",0.741,0.093,0.164,0.297,0.162,0.336,0.331
"P12","A Patricia Bullrich",0.131,0.874,0.05,0.015,0.72,0,0.285
"P12","A Facundo Manes",0.068,0.015,0.647,0.411,0.118,0.429,0.177
"P12","A Gerardo Morales",0.06,0.018,0.139,0.277,0,0.235,0.207
"P13","Lo votaría",0.121,0.019,0.204,0.354,0.059,0.181,0.114
"P13","Puede que lo vote",0.096,0.111,0.441,0.361,0.075,0.145,0.254
"P13","Nunca lo votaría",0.712,0.833,0.199,0.159,0.794,0.48,0.361
"P13","No sabe",0.071,0.037,0.156,0.126,0.072,0.194,0.271
"P14","Lo votaría",0.064,0.006,0.165,0.297,0.027,0.039,0.123
"P14","Puede que lo vote",0.051,0.024,0.391,0.301,0.049,0.29,0.141
"P14","Nunca lo votaría",0.853,0.945,0.317,0.3,0.872,0.536,0.496
"P14","No sabe",0.032,0.025,0.127,0.102,0.052,0.135,0.24
"P15","Lo votaría",0.568,0.168,0.019,0.059,0.026,0.027,0.059
"P15","Puede que lo vote",0.275,0.466,0.075,0.093,0.214,0.121,0.131
"P15","Nunca lo votaría",0.13,0.307,0.883,0.808,0.695,0.831,0.621
"P15","No sabe",0.027,0.059,0.023,0.04,0.065,0.021,0.189
"P16","Lo votaría",0.237,0.093,0.022,0.064,0.045,0.079,0.061
"P16","Puede que lo vote",0.275,0.32,0.098,0.15,0.204,0.128,0.2
"P16","Nunca lo votaría",0.311,0.495,0.776,0.663,0.657,0.67,0.492
"P16","No sabe",0.177,0.092,0.104,0.123,0.094,0.123,0.247
"P17","La votaría",0.282,0.748,0.007,0.045,0.183,0.041,0.073
"P17","Puede que la vote",0.307,0.149,0.021,0.018,0.319,0.164,0.063
"P17","Nunca la votaría",0.361,0.082,0.941,0.91,0.433,0.739,0.624
"P17","No sabe",0.05,0.021,0.031,0.027,0.065,0.056,0.24
"P18","Lo votaría",0.155,0.158,0.013,0.031,0.721,0.044,0.024
"P18","Puede que lo vote",0.262,0.333,0.037,0.049,0.157,0.113,0.129
"P18","Nunca lo votaría",0.524,0.441,0.938,0.886,0.104,0.822,0.64
"P18","No sabe",0.059,0.068,0.012,0.034,0.018,0.021,0.207
"P19","La votaría",0.263,0.212,0.027,0.042,0.133,0.058,0.077
"P19","Puede que la vote",0.271,0.389,0.03,0.035,0.203,0.138,0.111
"P19","Nunca la votaría",0.401,0.32,0.907,0.892,0.599,0.779,0.616
"P19","No sabe",0.065,0.079,0.036,0.031,0.065,0.025,0.196
"P20","Lo votaría",0.084,0.03,0.511,0.196,0.025,0.1,0.045
"P20","Puede que lo vote",0.057,0.069,0.299,0.342,0.049,0.286,0.175
"P20","Nunca lo votaría",0.72,0.846,0.161,0.387,0.829,0.552,0.459
"P20","No sabe",0.139,0.055,0.029,0.075,0.097,0.062,0.321
"P21","Lo votaría",0.061,0.008,0.22,0.482,0.037,0.022,0.065
"P21","Puede que lo vote",0.068,0.019,0.473,0.366,0.068,0.333,0.173
"P21","Nunca lo votaría",0.794,0.949,0.236,0.1,0.857,0.557,0.518
"P21","No sabe",0.077,0.024,0.071,0.052,0.038,0.088,0.244
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.585,0.019,0.009,0.001,0.005,0,0.024
"P22","Patricia Bullrich por Juntos por el Cambio",0.124,0.854,0.004,0.005,0.073,0.018,0.039
"P22","Facundo Manes por Juntos por el Cambio",0.117,0.056,0.016,0.014,0.029,0.103,0.084
"P22","Alberto Fernández por el Frente de Todos",0.035,0.008,0.07,0.132,0.016,0.068,0.158
"P22","Sergio Massa por el Frente de Todos",0.032,0.008,0.117,0.258,0.037,0.037,0.171
