"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P30","Alberto Fernández por el Frente de Todos",0.684,0.031,0.107
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.504,0.038
"P30","Javier Milei por los liberales libertarios",0.039,0.322,0.444
"P30","Al candidato del Frente de Izquierda",0.072,0.014,0.072
"P30","No sabe",0.185,0.129,0.339
"P31","Sergio Massa por el Frente de Todos",0.734,0.027,0.126
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.548,0.038
"P31","Javier Milei por los liberales libertarios",0.035,0.316,0.45
"P31","Al candidato del Frente de Izquierda",0.067,0.019,0.063
"P31","No sabe",0.154,0.09,0.323
"P32","Wado de Pedro por el Frente de Todos",0.869,0.008,0.046
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.577,0.035
"P32","Javier Milei por los liberales libertarios",0.035,0.323,0.438
"P32","Al candidato del Frente de Izquierda",0.024,0.013,0.067
"P32","No sabe",0.06,0.079,0.414
"P33","Daniel Scioli por el Frente de Todos",0.789,0.021,0.131
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.585,0.031
"P33","Javier Milei por los liberales libertarios",0.029,0.319,0.437
"P33","Al candidato del Frente de Izquierda",0.052,0.013,0.069
"P33","No sabe",0.111,0.062,0.332
"P34","Sergio Massa por el Frente de Todos",0.762,0.039,0.125
"P34","Patricia Bullrich por Juntos por el Cambio",0.029,0.685,0.196
"P34","Javier Milei por los liberales libertarios",0.017,0.202,0.377
"P34","Al candidato del Frente de Izquierda",0.058,0.015,0.062
"P34","No sabe",0.134,0.059,0.24
"P35","Alberto Fernández por el Frente de Todos",0.73,0.021,0.12
"P35","Patricia Bullrich por Juntos por el Cambio",0.023,0.709,0.188
"P35","Javier Milei por los liberales libertarios",0.029,0.201,0.371
"P35","Al candidato del Frente de Izquierda",0.083,0.016,0.074
"P35","No sabe",0.135,0.053,0.247
"P36","Wado de Pedro por el Frente de Todos",0.85,0.004,0.028
"P36","Patricia Bullrich por Juntos por el Cambio",0.026,0.718,0.201
"P36","Javier Milei por los liberales libertarios",0.022,0.197,0.372
"P36","Al candidato del Frente de Izquierda",0.028,0.024,0.077
"P36","No sabe",0.074,0.057,0.322
"P37","Daniel Scioli por el Frente de Todos",0.797,0.028,0.121
"P37","Patricia Bullrich por Juntos por el Cambio",0.024,0.711,0.204
"P37","Javier Milei por los liberales libertarios",0.022,0.2,0.363
"P37","Al candidato del Frente de Izquierda",0.046,0.014,0.061
"P37","No sabe",0.111,0.047,0.251
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.131,0.472,0.029
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.581,0.109,0.145
"P38","Javier Milei presidente y su candidato a vice",0.04,0.307,0.43
"P38","A los candidatos de la izquierda",0.078,0.017,0.07
"P38","No sabe",0.17,0.095,0.326
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.032,0.638,0.161
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.671,0.059,0.119
"P39","Javier Milei presidente y su candidato a vice",0.017,0.22,0.373
"P39","A los candidatos de la izquierda",0.081,0.015,0.063
"P39","No sabe",0.199,0.068,0.284
"P40","Sergio Massa por el Frente de Todos",0.851,0.06,0.182
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.842,0.062
"P40","No sabe",0.13,0.098,0.756
"P41","Alberto Fernández por el Frente de Todos",0.789,0.037,0.152
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.904,0.054
"P41","No sabe",0.183,0.059,0.794
"P42","Sergio Massa por el Frente de Todos",0.853,0.038,0.19
"P42","Patricia Bullrich por Juntos por el Cambio",0.032,0.883,0.335
"P42","No sabe",0.115,0.079,0.475
"P43","Alberto Fernández por el Frente de Todos",0.834,0.036,0.142
"P43","Patricia Bullrich por Juntos por el Cambio",0.032,0.898,0.332
"P43","No sabe",0.134,0.066,0.526
"P45","Daniel Scioli por el Frente de Todos",0.876,0.025,0.137
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.924,0.044
"P45","No sabe",0.108,0.051,0.819
"P46","Wado de Pedro por el Frente de Todos",0.921,0.025,0.048
"P46","Patricia Bullrich por Juntos por el Cambio",0.032,0.892,0.332
"P46","No sabe",0.047,0.083,0.62
"P47","Daniel Scioli por el Frente de Todos",0.866,0.037,0.152
"P47","Patricia Bullrich por Juntos por el Cambio",0.03,0.902,0.363
"P47","No sabe",0.104,0.061,0.485
