"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P04","Tengo trabajo estable",0.384,0.38,0.464,0.507,0.483,0.527,0.454
"P04","Realizo changas o trabajos de vez en cuando",0.228,0.135,0.185,0.138,0.241,0.16,0.201
"P04","No tengo trabajo",0.171,0.157,0.155,0.141,0.215,0.168,0.172
"P04","Soy jubilado o pensionado",0.217,0.328,0.196,0.214,0.061,0.145,0.173
"P05","1",0.326,0.4,0.223,0.15,0.372,0.207,0.272
"P05","2",0.077,0.074,0.066,0.059,0.117,0.049,0.056
"P05","3",0.077,0.081,0.033,0.025,0.089,0.024,0.034
"P05","4",0.129,0.111,0.065,0.03,0.065,0.034,0.065
"P05","5",0.235,0.209,0.193,0.103,0.184,0.155,0.242
"P05","6",0.032,0.038,0.07,0.078,0.033,0.017,0.069
"P05","7",0.047,0.022,0.073,0.188,0.017,0.096,0.065
"P05","8",0.004,0.025,0.048,0.107,0.023,0.131,0.048
"P05","9",0.073,0.04,0.229,0.26,0.1,0.287,0.149
"P06","1",0.203,0.162,0.339,0.462,0.104,0.404,0.356
"P06","2",0.049,0.025,0.061,0.092,0.051,0.103,0.026
"P06","3",0.048,0.034,0.037,0.096,0.043,0.05,0.035
"P06","4",0.039,0.04,0.086,0.043,0.034,0.044,0.063
"P06","5",0.214,0.203,0.225,0.121,0.187,0.236,0.257
"P06","6",0.063,0.06,0.026,0.016,0.059,0.008,0.033
"P06","7",0.067,0.104,0.016,0.049,0.066,0.009,0.056
"P06","8",0.065,0.09,0.024,0.023,0.09,0.02,0.027
"P06","9",0.252,0.282,0.186,0.098,0.366,0.126,0.147
"P07","1",0.271,0.222,0.475,0.666,0.198,0.635,0.397
"P07","2",0.056,0.022,0.043,0.035,0.024,0.053,0.009
"P07","3",0.032,0.049,0.023,0.058,0.032,0.043,0.024
"P07","4",0.038,0.019,0.053,0.016,0.008,0.007,0.027
"P07","5",0.111,0.139,0.093,0.051,0.157,0.12,0.13
"P07","6",0.022,0.031,0.021,0.027,0.038,0.015,0.022
"P07","7",0.034,0.05,0.011,0.007,0.041,0,0.053
"P07","8",0.05,0.044,0.01,0.024,0.062,0.009,0.023
"P07","9",0.386,0.424,0.271,0.116,0.44,0.118,0.315
"P09","Del Frente de Todos y el peronismo",0.053,0.036,0.778,0.909,0.033,0.305,0.334
"P09","De Juntos por el cambio",0.748,0.771,0.07,0.031,0.074,0.023,0.121
"P09","De los Liberales libertarios",0.084,0.103,0.006,0.01,0.773,0.038,0.054
"P09","De la Izquierda",0.013,0.009,0.013,0.021,0.019,0.521,0.041
"P09","No sabe",0.102,0.081,0.133,0.029,0.101,0.113,0.45
"P10","A Alberto Fernández",0.41,0.092,0.097,0.09,0,0.07,0.285
"P10","A Sergio Massa",0.084,0.227,0.39,0.13,0.754,0.014,0.14
"P10","A algún candidato del peronismo",0.506,0.389,0.227,0.118,0.184,0.307,0.25
"P10","A algún candidato del kirchnerismo",0,0.292,0.286,0.662,0.062,0.609,0.325
"P11","A Alberto Fernández",0.313,0.116,0.088,0.056,0,0.053,0.214
"P11","A Sergio Massa",0.159,0.227,0.257,0.053,0.646,0.022,0.099
"P11","A algún candidato del peronismo",0.528,0.328,0.15,0.072,0.184,0.244,0.132
"P11","A Cristina Fernández de Kirchner",0,0.329,0.505,0.819,0.17,0.681,0.555
"P12","A Horacio Rodriguez Larreta",0.622,0.074,0.198,0.091,0.215,0,0.211
"P12","A Patricia Bullrich",0.287,0.892,0.149,0.017,0.75,0.227,0.451
"P12","A Facundo Manes",0.028,0.028,0.428,0.449,0.035,0.317,0.189
"P12","A Gerardo Morales",0.063,0.006,0.225,0.443,0,0.456,0.149
