"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bulrich por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.434,0.367,0.342,0.528,0.491,0.532,0.441
"P04","Realizo changas o trabajos de vez en cuando",0.201,0.144,0.23,0.18,0.216,0.196,0.202
"P04","No tengo trabajo",0.143,0.152,0.255,0.122,0.216,0.142,0.18
"P04","Soy jubilado o pensionado",0.222,0.337,0.173,0.17,0.077,0.13,0.177
"P05","1",0.357,0.396,0.263,0.187,0.377,0.139,0.254
"P05","2",0.082,0.064,0.058,0.074,0.099,0.069,0.066
"P05","3",0.048,0.085,0.023,0.03,0.081,0.063,0.044
"P05","4",0.088,0.113,0.047,0.048,0.053,0.038,0.065
"P05","5",0.234,0.204,0.155,0.159,0.185,0.109,0.243
"P05","6",0.042,0.034,0.03,0.081,0.041,0.02,0.052
"P05","7",0.041,0.023,0.09,0.142,0.021,0.13,0.06
"P05","8",0.009,0.024,0.065,0.081,0.028,0.123,0.053
"P05","9",0.099,0.057,0.269,0.198,0.115,0.309,0.163
"P06","1",0.227,0.171,0.438,0.388,0.117,0.388,0.335
"P06","2",0.063,0.024,0.078,0.09,0.061,0.066,0.05
"P06","3",0.025,0.035,0.029,0.076,0.038,0.082,0.035
"P06","4",0.03,0.035,0.066,0.068,0.028,0.046,0.048
"P06","5",0.22,0.196,0.12,0.195,0.174,0.157,0.263
"P06","6",0.077,0.057,0.011,0.02,0.06,0.014,0.024
"P06","7",0.067,0.1,0.037,0.035,0.072,0.029,0.063
"P06","8",0.056,0.08,0.009,0.028,0.079,0.029,0.031
"P06","9",0.235,0.302,0.212,0.1,0.371,0.189,0.151
"P07","1",0.289,0.24,0.466,0.564,0.233,0.581,0.404
"P07","2",0.046,0.023,0.021,0.036,0.023,0.031,0.03
"P07","3",0.034,0.043,0.034,0.037,0.032,0.061,0.019
"P07","4",0.031,0.028,0.019,0.034,0.007,0.016,0.013
"P07","5",0.122,0.138,0.048,0.092,0.135,0.072,0.139
"P07","6",0.021,0.027,0.026,0.023,0.039,0.009,0.011
"P07","7",0.031,0.048,0.008,0.015,0.033,0.005,0.05
"P07","8",0.031,0.044,0.037,0.013,0.064,0.015,0.018
"P07","9",0.395,0.409,0.341,0.186,0.434,0.21,0.316
"P09","Del Frente de Todos y el peronismo",0.091,0.061,0.68,0.8,0.075,0.44,0.353
"P09","De Juntos por el cambio",0.718,0.731,0.099,0.043,0.119,0.1,0.106
"P09","De los Liberales libertarios",0.064,0.118,0.032,0.031,0.697,0.065,0.107
"P09","De la Izquierda",0.014,0.012,0.016,0.017,0.02,0.329,0.028
"P09","No sabe",0.113,0.078,0.173,0.109,0.089,0.066,0.406
"P10","A Alberto Fernández",0.319,0.152,0.378,0.036,0.032,0,0.136
"P10","A Sergio Massa",0.4,0.354,0.153,0.272,0.451,0.045,0.049
"P10","A algún candidato del peronismo",0.281,0.269,0.09,0.186,0.173,0.239,0.226
"P10","A algún candidato del kirchnerismo",0,0.225,0.379,0.506,0.344,0.716,0.589
"P11","A Alberto Fernández",0.291,0.2,0.351,0.007,0.009,0,0.038
"P11","A Sergio Massa",0.255,0.317,0.081,0.167,0.344,0.006,0.009
"P11","A algún candidato del peronismo",0.317,0.204,0.071,0.122,0.127,0.159,0.138
"P11","A Cristina Fernández de Kirchner",0.137,0.279,0.497,0.704,0.52,0.835,0.815
"P12","A Horacio Rodriguez Larreta",0.7,0.093,0.382,0.343,0.236,0.628,0.434
