"var","categoria","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P25","Javier Milei por los liberales libertario",0.039,0.267,0.054
"P25","Al candidato del Frente de Izquierda",0.016,0.183,0.05
"P25","No sabe",0.043,0.012,0.106
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.108,0.111
"P26","Patricia Bulrich por Juntos por el Cambio",0.143,0.374,0.341
"P26","Alberto Fernández por el Frente de Todos",0.167,0.001,0.05
"P26","Sergio Massa por el Frente de Todos",0.452,0.032,0.134
"P26","Javier Milei por los liberales libertarios",0.021,0.42,0.064
"P26","Al candidato del Frente de Izquierda",0.075,0.002,0.086
"P26","No sabe",0.091,0.063,0.214
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.103,0.131
"P27","Patricia Bullrich por Juntos por el Cambio",0.151,0.377,0.337
"P27","Wado de Pedro por el Frente de Todos",0.386,0.014,0.112
"P27","Sergio Massa por el Frente de Todos",0.312,0.019,0.122
"P27","Javier Milei por los liberales libertarios",0.014,0.464,0.048
"P27","Al candidato del Frente de Izquierda",0.043,0.006,0.058
"P27","No sabe",0.053,0.017,0.192
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.107,0.114
"P28","Patricia Bullrich por Juntos por el Cambio",0.146,0.366,0.342
"P28","Wado de Pedro por el Frente de Todos",0.394,0.015,0.12
"P28","Daniel Scioli por el Frente de Todos",0.292,0.014,0.132
"P28","Javier Milei por los liberales libertarios",0.017,0.477,0.051
"P28","Al candidato del Frente de Izquierda",0.041,0.008,0.062
"P28","No sabe",0.062,0.013,0.179
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.065,0.143,0.16
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.125,0.337,0.275
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.271,0.017,0.117
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.416,0.011,0.138
"P29","Javier Milei presidente y su candidato a vice",0.013,0.462,0.052
"P29","A los candidatos de la izquierda",0.042,0.003,0.054
"P29","No sabe",0.068,0.027,0.204
"P30","Alberto Fernández por el Frente de Todos",0.644,0.013,0.104
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.119,0.258,0.296
"P30","Javier Milei por los liberales libertarios",0.045,0.642,0.052
"P30","Al candidato del Frente de Izquierda",0.059,0.007,0.091
"P30","No sabe",0.133,0.08,0.457
"P31","Sergio Massa por el Frente de Todos",0.633,0.023,0.169
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.122,0.264,0.337
"P31","Javier Milei por los liberales libertarios",0.048,0.644,0.041
"P31","Al candidato del Frente de Izquierda",0.051,0.009,0.089
"P31","No sabe",0.146,0.06,0.364
"P32","Wado de Pedro por el Frente de Todos",0.655,0.021,0.195
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.14,0.267,0.35
"P32","Javier Milei por los liberales libertarios",0.04,0.648,0.04
"P32","Al candidato del Frente de Izquierda",0.038,0.008,0.057
"P32","No sabe",0.127,0.056,0.358
"P33","Daniel Scioli por el Frente de Todos",0.668,0.024,0.194
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.14,0.285,0.352
"P33","Javier Milei por los liberales libertarios",0.034,0.642,0.04
"P33","Al candidato del Frente de Izquierda",0.043,0.008,0.076
"P33","No sabe",0.115,0.041,0.338
"P34","Sergio Massa por el Frente de Todos",0.653,0.033,0.174
"P34","Patricia Bullrich por Juntos por el Cambio",0.183,0.445,0.411
"P34","Javier Milei por los liberales libertarios",0.013,0.497,0.028
"P34","Al candidato del Frente de Izquierda",0.048,0.003,0.092
"P34","No sabe",0.103,0.022,0.295
"P35","Alberto Fernández por el Frente de Todos",0.684,0.008,0.104
"P35","Patricia Bullrich por Juntos por el Cambio",0.173,0.468,0.408
"P35","Javier Milei por los liberales libertarios",0.009,0.497,0.034
"P35","Al candidato del Frente de Izquierda",0.056,0.003,0.117
"P35","No sabe",0.078,0.024,0.337
"P36","Wado de Pedro por el Frente de Todos",0.669,0.004,0.173
"P36","Patricia Bullrich por Juntos por el Cambio",0.184,0.469,0.422
"P36","Javier Milei por los liberales libertarios",0.009,0.487,0.028
"P36","Al candidato del Frente de Izquierda",0.038,0.009,0.087
"P36","No sabe",0.1,0.031,0.29
"P37","Daniel Scioli por el Frente de Todos",0.698,0.015,0.19
"P37","Patricia Bullrich por Juntos por el Cambio",0.18,0.465,0.42
"P37","Javier Milei por los liberales libertarios",0.014,0.488,0.028
"P37","Al candidato del Frente de Izquierda",0.042,0.002,0.081
"P37","No sabe",0.066,0.03,0.281
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.173,0.244,0.321
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.568,0.057,0.195
"P38","Javier Milei presidente y su candidato a vice",0.037,0.617,0.048
"P38","A los candidatos de la izquierda",0.067,0.011,0.08
"P38","No sabe",0.155,0.071,0.356
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.169,0.427,0.366
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.604,0.035,0.163
"P39","Javier Milei presidente y su candidato a vice",0.007,0.506,0.035
"P39","A los candidatos de la izquierda",0.064,0.005,0.097
"P39","No sabe",0.156,0.027,0.339
"P40","Sergio Massa por el Frente de Todos",0.748,0.065,0.205
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.152,0.568,0.377
"P40","No sabe",0.1,0.367,0.418
"P41","Alberto Fernández por el Frente de Todos",0.744,0.047,0.116
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.163,0.604,0.391
"P41","No sabe",0.093,0.349,0.493
"P42","Sergio Massa por el Frente de Todos",0.752,0.049,0.21
"P42","Patricia Bullrich por Juntos por el Cambio",0.18,0.769,0.418
"P42","No sabe",0.068,0.182,0.372
"P43","Alberto Fernández por el Frente de Todos",0.77,0.036,0.123
"P43","Patricia Bullrich por Juntos por el Cambio",0.181,0.784,0.419
"P43","No sabe",0.049,0.18,0.458
"P44","Wado de Pedro por el Frente de Todos",0.711,0.039,0.194
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.177,0.616,0.403
"P44","No sabe",0.112,0.345,0.403
"P45","Daniel Scioli por el Frente de Todos",0.71,0.053,0.213
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.172,0.603,0.392
"P45","No sabe",0.118,0.344,0.395
"P46","Wado de Pedro por el Frente de Todos",0.685,0.049,0.218
"P46","Patricia Bullrich por Juntos por el Cambio",0.188,0.76,0.425
"P46","No sabe",0.127,0.191,0.357
"P47","Daniel Scioli por el Frente de Todos",0.743,0.053,0.205
"P47","Patricia Bullrich por Juntos por el Cambio",0.183,0.785,0.43
"P47","No sabe",0.074,0.162,0.365
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.246,0.26,0.394
"P48","Javier Milei por los liberales libertarios",0.113,0.677,0.054
"P48","No sabe",0.641,0.063,0.552
"P49","Patricia Bullrich por Juntos por el Cambio",0.232,0.418,0.408
"P49","Javier Milei por los liberales libertarios",0.035,0.553,0.027
"P49","No sabe",0.733,0.029,0.565
"P51","Sergio Massa por el Frente de Todos",0.789,0.029,0.193
"P51","Javier Milei por los liberales libertarios",0.102,0.945,0.072
"P51","No sabe",0.109,0.026,0.735
"P52","Muy buena",0.138,0.017,0.047
"P52","Buena",0.297,0.1,0.045
"P52","Ni buena ni mala",0.332,0.044,0.191
"P52","Mala",0.118,0.076,0.152
"P52","Muy mala",0.111,0.757,0.55
"P52","No sabe",0.004,0.006,0.015
"P53","Muy buena",0.531,0.015,0.214
"P53","Buena",0.117,0.022,0.059
"P53","Ni buena ni mala",0.109,0.032,0.073
"P53","Mala",0.064,0.063,0.078
"P53","Muy mala",0.178,0.867,0.568
"P53","No sabe",0.001,0.001,0.008
"P54","Muy buena",0.116,0.227,0.252
"P54","Buena",0.059,0.227,0.123
"P54","Ni buena ni mala",0.035,0.195,0.121
"P54","Mala",0.106,0.117,0.124
"P54","Muy mala",0.683,0.23,0.367
"P54","No sabe",0.001,0.004,0.013
"P55","Muy buena",0.051,0.136,0.162
"P55","Buena",0.082,0.241,0.202
"P55","Ni buena ni mala",0.095,0.28,0.2
"P55","Mala",0.218,0.15,0.107
"P55","Muy mala",0.554,0.187,0.308
"P55","No sabe",0,0.006,0.021
"P56","Muy buena",0.133,0.019,0.065
"P56","Buena",0.309,0.047,0.113
"P56","Ni buena ni mala",0.305,0.132,0.16
"P56","Mala",0.112,0.139,0.143
"P56","Muy mala",0.134,0.656,0.505
"P56","No sabe",0.007,0.007,0.014
"P57","Muy buena",0.128,0.372,0.287
"P57","Buena",0.068,0.234,0.114
"P57","Ni buena ni mala",0.101,0.146,0.119
"P57","Mala",0.091,0.099,0.11
"P57","Muy mala",0.607,0.144,0.353
"P57","No sabe",0.005,0.005,0.017
"P58","Muy buena",0.034,0.41,0.056
"P58","Buena",0.035,0.266,0.045
"P58","Ni buena ni mala",0.113,0.225,0.256
"P58","Mala",0.122,0.058,0.203
"P58","Muy mala",0.676,0.036,0.4
"P58","No sabe",0.02,0.005,0.04
"P59","Muy buena",0.273,0.059,0.092
"P59","Buena",0.244,0.053,0.098
"P59","Ni buena ni mala",0.143,0.148,0.179
"P59","Mala",0.077,0.146,0.158
"P59","Muy mala",0.215,0.534,0.427
"P59","No sabe",0.048,0.06,0.046
"P60","Muy buena",0.189,0.03,0.092
"P60","Buena",0.348,0.023,0.119
"P60","Ni buena ni mala",0.247,0.091,0.176
"P60","Mala",0.08,0.162,0.14
"P60","Muy mala",0.124,0.686,0.459
"P60","No sabe",0.012,0.008,0.014
"P61","Muy buena",0.063,0.161,0.168
"P61","Buena",0.122,0.224,0.168
"P61","Ni buena ni mala",0.071,0.257,0.176
"P61","Mala",0.122,0.127,0.121
"P61","Muy mala",0.617,0.231,0.344
"P61","No sabe",0.005,0,0.023
"P62","Muy buena",0.049,0.094,0.095
"P62","Buena",0.136,0.204,0.149
"P62","Ni buena ni mala",0.355,0.349,0.331
"P62","Mala",0.207,0.156,0.142
"P62","Muy mala",0.221,0.162,0.223
"P62","No sabe",0.032,0.035,0.06
"P63","Siempre",0.335,0.319,0.305
"P63","Casi siempre",0.405,0.398,0.395
"P63","Casi nunca",0.183,0.175,0.214
"P63","Nunca, pero esta es una excepción",0.077,0.108,0.086
"P64","Si",0.622,0.636,0.585
"P64","No",0.378,0.364,0.415
