"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.27,0.25,0.29,0.209,0.207,0.345,0.346,0.255,0.286,0.262,0.275,0.258,0.085,0.503,0.22
"Patricia Bullrich","Buena",0.146,0.17,0.121,0.114,0.147,0.158,0.153,0.119,0.163,0.15,0.142,0.155,0.057,0.222,0.225
"Patricia Bullrich","Ni buena ni mala",0.124,0.105,0.144,0.133,0.166,0.068,0.105,0.14,0.118,0.116,0.13,0.112,0.13,0.073,0.207
"Patricia Bullrich","Mala",0.1,0.118,0.081,0.143,0.115,0.075,0.067,0.11,0.103,0.084,0.095,0.11,0.103,0.068,0.127
"Patricia Bullrich","Muy mala",0.352,0.347,0.357,0.39,0.358,0.348,0.317,0.365,0.325,0.378,0.35,0.356,0.615,0.128,0.221
"Patricia Bullrich","No sabe",0.008,0.01,0.007,0.011,0.007,0.006,0.012,0.011,0.005,0.01,0.008,0.009,0.01,0.006,0
"Mauricio Macri","Muy buena",0.199,0.188,0.21,0.2,0.145,0.231,0.267,0.197,0.208,0.188,0.192,0.213,0.091,0.377,0.03
"Mauricio Macri","Buena",0.143,0.151,0.135,0.126,0.123,0.153,0.186,0.147,0.139,0.145,0.141,0.149,0.038,0.261,0.104
"Mauricio Macri","Ni buena ni mala",0.123,0.124,0.122,0.069,0.135,0.136,0.121,0.103,0.125,0.14,0.121,0.126,0.072,0.145,0.277
"Mauricio Macri","Mala",0.116,0.124,0.107,0.152,0.118,0.101,0.103,0.124,0.12,0.101,0.12,0.107,0.139,0.053,0.151
"Mauricio Macri","Muy mala",0.414,0.407,0.421,0.453,0.473,0.374,0.314,0.422,0.404,0.42,0.42,0.402,0.658,0.162,0.438
"Mauricio Macri","No sabe",0.005,0.006,0.005,0,0.006,0.005,0.009,0.007,0.004,0.006,0.006,0.003,0.002,0.002,0
"Javier Milei","Muy buena",0.187,0.249,0.122,0.25,0.225,0.152,0.104,0.185,0.198,0.172,0.172,0.217,0.077,0.222,0.205
"Javier Milei","Buena",0.128,0.131,0.125,0.123,0.122,0.121,0.154,0.111,0.153,0.11,0.123,0.139,0.05,0.193,0.132
"Javier Milei","Ni buena ni mala",0.198,0.194,0.203,0.171,0.17,0.231,0.233,0.218,0.198,0.178,0.195,0.205,0.096,0.308,0.209
"Javier Milei","Mala",0.121,0.093,0.149,0.112,0.122,0.115,0.134,0.129,0.102,0.14,0.133,0.096,0.129,0.123,0.228
"Javier Milei","Muy mala",0.346,0.323,0.37,0.344,0.337,0.364,0.342,0.32,0.331,0.395,0.352,0.333,0.629,0.137,0.21
"Javier Milei","No sabe",0.02,0.01,0.031,0,0.024,0.017,0.033,0.037,0.018,0.005,0.025,0.01,0.019,0.017,0.016
"Maria Eugenia Vidal","Muy buena",0.132,0.119,0.145,0.072,0.097,0.16,0.214,0.144,0.125,0.128,0.128,0.14,0.034,0.253,0.036
"Maria Eugenia Vidal","Buena",0.175,0.175,0.175,0.155,0.153,0.179,0.232,0.174,0.167,0.19,0.175,0.176,0.09,0.278,0.193
"Maria Eugenia Vidal","Ni buena ni mala",0.174,0.173,0.176,0.18,0.181,0.182,0.144,0.15,0.192,0.173,0.175,0.172,0.109,0.199,0.274
"Maria Eugenia Vidal","Mala",0.124,0.148,0.099,0.154,0.114,0.126,0.115,0.134,0.12,0.118,0.123,0.125,0.135,0.096,0.181
"Maria Eugenia Vidal","Muy mala",0.387,0.379,0.395,0.439,0.439,0.348,0.291,0.393,0.381,0.389,0.389,0.383,0.623,0.173,0.3
"Maria Eugenia Vidal","No sabe",0.008,0.006,0.01,0,0.016,0.005,0.004,0.005,0.015,0.002,0.01,0.004,0.009,0.001,0.016
"CFK","Muy buena",0.237,0.201,0.274,0.185,0.231,0.284,0.225,0.239,0.205,0.282,0.244,0.223,0.524,0.045,0.068
"CFK","Buena",0.063,0.059,0.067,0.031,0.078,0.057,0.066,0.062,0.071,0.053,0.067,0.056,0.124,0.015,0.079
"CFK","Ni buena ni mala",0.068,0.06,0.078,0.075,0.095,0.042,0.045,0.072,0.078,0.051,0.07,0.065,0.122,0.021,0.099
"CFK","Mala",0.068,0.076,0.059,0.131,0.054,0.064,0.053,0.099,0.059,0.047,0.072,0.059,0.063,0.045,0.073
"CFK","Muy mala",0.561,0.601,0.52,0.578,0.537,0.551,0.61,0.524,0.585,0.564,0.545,0.593,0.167,0.873,0.681
"CFK","No sabe",0.003,0.003,0.002,0,0.005,0.002,0.001,0.004,0.002,0.003,0.002,0.004,0,0.001,0
"Horacio Rodriguez Larreta","Muy buena",0.117,0.118,0.115,0.078,0.073,0.146,0.197,0.159,0.095,0.104,0.121,0.107,0.021,0.228,0.078
"Horacio Rodriguez Larreta","Buena",0.179,0.174,0.185,0.122,0.151,0.197,0.259,0.161,0.188,0.185,0.166,0.205,0.067,0.312,0.196
"Horacio Rodriguez Larreta","Ni buena ni mala",0.198,0.185,0.211,0.142,0.218,0.203,0.193,0.185,0.216,0.185,0.197,0.2,0.162,0.222,0.379
"Horacio Rodriguez Larreta","Mala",0.159,0.182,0.136,0.179,0.181,0.144,0.119,0.166,0.139,0.181,0.162,0.154,0.197,0.101,0.084
"Horacio Rodriguez Larreta","Muy mala",0.339,0.333,0.344,0.479,0.366,0.302,0.222,0.316,0.354,0.341,0.345,0.326,0.544,0.136,0.263
"Horacio Rodriguez Larreta","No sabe",0.008,0.008,0.009,0,0.011,0.008,0.01,0.013,0.008,0.004,0.009,0.008,0.009,0.001,0
"Wado de Pedro","Muy buena",0.136,0.143,0.13,0.109,0.148,0.138,0.132,0.111,0.124,0.182,0.129,0.153,0.262,0.054,0.104
"Wado de Pedro","Buena",0.127,0.131,0.122,0.119,0.119,0.114,0.166,0.152,0.109,0.125,0.125,0.13,0.242,0.046,0.081
"Wado de Pedro","Ni buena ni mala",0.156,0.141,0.171,0.135,0.161,0.183,0.123,0.166,0.158,0.141,0.151,0.165,0.173,0.144,0.107
"Wado de Pedro","Mala",0.127,0.102,0.153,0.124,0.126,0.116,0.148,0.123,0.132,0.125,0.133,0.116,0.074,0.141,0.297
"Wado de Pedro","Muy mala",0.402,0.431,0.371,0.438,0.382,0.423,0.384,0.381,0.413,0.406,0.411,0.381,0.199,0.579,0.325
"Wado de Pedro","No sabe",0.052,0.052,0.053,0.075,0.064,0.026,0.047,0.067,0.064,0.021,0.051,0.055,0.05,0.036,0.086
"Daniel Scioli","Muy buena",0.098,0.108,0.088,0.098,0.092,0.113,0.092,0.115,0.098,0.081,0.099,0.098,0.19,0.038,0.103
"Daniel Scioli","Buena",0.155,0.138,0.173,0.079,0.177,0.165,0.155,0.177,0.134,0.161,0.165,0.133,0.34,0.033,0.079
"Daniel Scioli","Ni buena ni mala",0.165,0.152,0.179,0.235,0.161,0.151,0.14,0.141,0.184,0.165,0.166,0.164,0.233,0.082,0.251
