"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.393,0.531,0.499
"P04","Realizo changas o trabajos de vez en cuando",0.138,0.195,0.17
"P04","No tengo trabajo",0.177,0.191,0.134
"P04","Soy jubilado o pensionado",0.292,0.083,0.197
"P05","1",0.367,0.357,0.232
"P05","2",0.07,0.11,0.056
"P05","3",0.089,0.089,0.046
"P05","4",0.116,0.098,0.036
"P05","5",0.218,0.171,0.168
"P05","6",0.041,0.043,0.053
"P05","7",0.032,0.026,0.121
"P05","8",0.021,0.027,0.098
"P05","9",0.046,0.079,0.19
"P06","1",0.164,0.109,0.415
"P06","2",0.027,0.043,0.08
"P06","3",0.036,0.051,0.074
"P06","4",0.041,0.054,0.063
"P06","5",0.218,0.155,0.165
"P06","6",0.067,0.068,0.021
"P06","7",0.097,0.076,0.043
"P06","8",0.091,0.116,0.024
"P06","9",0.259,0.328,0.115
"P07","1",0.24,0.202,0.558
"P07","2",0.035,0.037,0.027
"P07","3",0.053,0.046,0.039
"P07","4",0.034,0.007,0.027
"P07","5",0.132,0.126,0.087
"P07","6",0.027,0.049,0.018
"P07","7",0.045,0.053,0.016
"P07","8",0.049,0.074,0.015
"P07","9",0.385,0.406,0.213
"P09","Del Frente de Todos y el peronismo",0.057,0.113,0.689
"P09","De Juntos por el cambio",0.741,0.183,0.077
"P09","De los Liberales libertarios",0.111,0.605,0.034
"P09","De la Izquierda",0.008,0.013,0.045
"P09","No sabe",0.083,0.086,0.155
"P10","A Alberto Fernández",0.249,0.064,0.082
"P10","A Sergio Massa",0.312,0.408,0.209
"P10","A algún candidato del peronismo",0.223,0.425,0.159
"P10","A algún candidato del kirchnerismo",0.216,0.103,0.55
"P11","A Alberto Fernández",0.071,0.048,0.056
"P11","A Sergio Massa",0.246,0.509,0.099
"P11","A algún candidato del peronismo",0.209,0.206,0.106
"P11","A Cristina Fernández de Kirchner",0.474,0.237,0.739
"P12","A Horacio Rodriguez Larreta",0.206,0.344,0.365
"P12","A Patricia Bullrich",0.729,0.625,0.183
"P12","A Facundo Manes",0.031,0.012,0.169
"P12","A Gerardo Morales",0.034,0.019,0.283
"P13","Lo votaría",0.032,0.078,0.22
"P13","Puede que lo vote",0.108,0.122,0.369
"P13","Nunca lo votaría",0.82,0.753,0.244
"P13","No sabe",0.04,0.047,0.167
"P14","Lo votaría",0.023,0.028,0.164
"P14","Puede que lo vote",0.043,0.065,0.307
"P14","Nunca lo votaría",0.915,0.877,0.377
"P14","No sabe",0.019,0.03,0.152
"P15","Lo votaría",0.237,0.051,0.04
"P15","Puede que lo vote",0.416,0.256,0.105
"P15","Nunca lo votaría",0.316,0.645,0.806
"P15","No sabe",0.031,0.048,0.049
"P16","Lo votaría",0.127,0.054,0.029
"P16","Puede que lo vote",0.319,0.211,0.15
"P16","Nunca lo votaría",0.472,0.64,0.669
"P16","No sabe",0.082,0.095,0.152
"P17","La votaría",0.639,0.243,0.035
"P17","Puede que la vote",0.2,0.333,0.029
"P17","Nunca la votaría",0.138,0.374,0.869
"P17","No sabe",0.023,0.05,0.067
"P18","Lo votaría",0.121,0.648,0.032
"P18","Puede que lo vote",0.326,0.217,0.043
"P18","Nunca lo votaría",0.487,0.116,0.873
"P18","No sabe",0.066,0.019,0.052
"P19","La votaría",0.218,0.151,0.015
"P19","Puede que la vote",0.375,0.231,0.055
"P19","Nunca la votaría",0.34,0.578,0.87
"P19","No sabe",0.067,0.04,0.06
"P20","Lo votaría",0.045,0.038,0.274
"P20","Puede que lo vote",0.064,0.086,0.292
"P20","Nunca lo votaría",0.83,0.826,0.333
"P20","No sabe",0.061,0.05,0.101
"P21","Lo votaría",0.024,0.06,0.234
"P21","Puede que lo vote",0.031,0.055,0.397
"P21","Nunca lo votaría",0.919,0.863,0.265
"P21","No sabe",0.026,0.022,0.104
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.11,0.051,0.033
"P22","Patricia Bullrich por Juntos por el Cambio",0.688,0.128,0.034
"P22","Facundo Manes por Juntos por el Cambio",0.076,0.014,0.047
"P22","Alberto Fernández por el Frente de Todos",0.014,0.009,0.075
"P22","Sergio Massa por el Frente de Todos",0.03,0.032,0.159
"P22","Wado de Pedro por el Frente de Todos",0.024,0.018,0.309
"P22","Daniel Scioli por el Frente de Todos",0.009,0.026,0.172
"P22","Javier Milei por los liberales libertarios",0.019,0.689,0.016
"P22","Al candidato del Frente de Izquierda",0.004,0.004,0.032
"P22","No sabe",0.026,0.029,0.123
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.102,0.041,0.041
"P23","Patricia Bullrich por Juntos por el Cambio",0.643,0.117,0.032
"P23","María Eugenia Vidal por Juntos por el Cambio",0.088,0.038,0.009
"P23","Facundo Manes por Juntos por el Cambio",0.068,0.013,0.044
"P23","Sergio Massa por el Frente de Todos",0.031,0.036,0.208
"P23","Wado de Pedro por el Frente de Todos",0.024,0.024,0.314
"P23","Daniel Scioli por el Frente de Todos",0.006,0.022,0.181
"P23","Javier Milei por los liberales libertarios",0.017,0.693,0.024
"P23","Al candidato del Frente de Izquierda",0,0.01,0.04
"P23","No sabe",0.021,0.006,0.107
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.102,0.041,0.034
"P24","Patricia Bullrich por Juntos por el Cambio",0.656,0.123,0.031
"P24","María Eugenia Vidal por Juntos por el Cambio",0.086,0.033,0.011
"P24","Facundo Manes por Juntos por el Cambio",0.063,0.015,0.047
"P24","Sergio Massa por el Frente de Todos",0.026,0.036,0.218
"P24","Wado de Pedro por el Frente de Todos",0.019,0.025,0.359
"P24","Alberto Fernández por el Frente de Todos",0.011,0.017,0.113
"P24","Javier Milei por los liberales libertarios",0.019,0.689,0.028
"P24","Al candidato del Frente de Izquierda",0,0.005,0.037
"P24","No sabe",0.018,0.016,0.122
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.124,0.041,0.04
"P25","Patricia Bullrich por Juntos por el Cambio",0.571,0.099,0.009
"P25","Facundo Manes por Juntos por el Cambio",0.165,0.047,0.045
"P25","Sergio Massa por el Frente de Todos",0.036,0.029,0.173
"P25","Wado de Pedro por el Frente de Todos",0.029,0.036,0.315
"P25","Daniel Scioli por el Frente de Todos",0.009,0.028,0.226
"P25","Javier Milei por los liberales libertario",0.038,0.409,0.053
"P25","Al candidato del Frente de Izquierda",0.005,0.3,0.045
"P25","No sabe",0.023,0.011,0.094
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.179,0.052,0.036
"P26","Patricia Bulrich por Juntos por el Cambio",0.685,0.115,0.051
"P26","Alberto Fernández por el Frente de Todos",0.017,0.012,0.156
"P26","Sergio Massa por el Frente de Todos",0.037,0.075,0.392
"P26","Javier Milei por los liberales libertarios",0.032,0.666,0.051
"P26","Al candidato del Frente de Izquierda",0.021,0.006,0.098
"P26","No sabe",0.029,0.074,0.216
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.17,0.048,0.049
"P27","Patricia Bullrich por Juntos por el Cambio",0.712,0.12,0.032
"P27","Wado de Pedro por el Frente de Todos",0.024,0.025,0.358
"P27","Sergio Massa por el Frente de Todos",0.033,0.054,0.289
"P27","Javier Milei por los liberales libertarios",0.031,0.73,0.039
"P27","Al candidato del Frente de Izquierda",0.011,0.016,0.06
"P27","No sabe",0.019,0.007,0.173
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.173,0.054,0.039
"P28","Patricia Bullrich por Juntos por el Cambio",0.701,0.111,0.036
"P28","Wado de Pedro por el Frente de Todos",0.031,0.036,0.357
"P28","Daniel Scioli por el Frente de Todos",0.012,0.037,0.303
"P28","Javier Milei por los liberales libertarios",0.04,0.737,0.043
"P28","Al candidato del Frente de Izquierda",0.01,0.015,0.065
"P28","No sabe",0.033,0.01,0.157
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.233,0.083,0.052
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.63,0.081,0.02
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.036,0.053,0.254
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.016,0.027,0.396
"P29","Javier Milei presidente y su candidato a vice",0.034,0.726,0.04
"P29","A los candidatos de la izquierda",0.009,0.006,0.061
"P29","No sabe",0.042,0.024,0.177
"P30","Alberto Fernández por el Frente de Todos",0.061,0.049,0.504
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.519,0.069,0.061
"P30","Javier Milei por los liberales libertarios",0.19,0.853,0.027
"P30","Al candidato del Frente de Izquierda",0.02,0.006,0.097
"P30","No sabe",0.21,0.023,0.311
"P31","Sergio Massa por el Frente de Todos",0.049,0.07,0.554
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.57,0.066,0.055
"P31","Javier Milei por los liberales libertarios",0.204,0.832,0.023
"P31","Al candidato del Frente de Izquierda",0.019,0.012,0.088
"P31","No sabe",0.158,0.02,0.28
"P32","Wado de Pedro por el Frente de Todos",0.036,0.052,0.606
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.6,0.063,0.057
"P32","Javier Milei por los liberales libertarios",0.192,0.843,0.024
"P32","Al candidato del Frente de Izquierda",0.012,0.016,0.057
"P32","No sabe",0.16,0.026,0.256
"P33","Daniel Scioli por el Frente de Todos",0.044,0.069,0.603
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.623,0.07,0.05
"P33","Javier Milei por los liberales libertarios",0.184,0.83,0.028
"P33","Al candidato del Frente de Izquierda",0.012,0.015,0.076
"P33","No sabe",0.137,0.016,0.243
"P34","Sergio Massa por el Frente de Todos",0.05,0.089,0.572
"P34","Patricia Bullrich por Juntos por el Cambio",0.867,0.115,0.04
"P34","Javier Milei por los liberales libertarios",0.042,0.777,0.02
"P34","Al candidato del Frente de Izquierda",0.008,0.006,0.093
"P34","No sabe",0.033,0.013,0.275
"P35","Alberto Fernández por el Frente de Todos",0.047,0.047,0.543
"P35","Patricia Bullrich por Juntos por el Cambio",0.886,0.129,0.028
"P35","Javier Milei por los liberales libertarios",0.026,0.795,0.024
"P35","Al candidato del Frente de Izquierda",0.008,0.007,0.119
"P35","No sabe",0.033,0.022,0.286
"P36","Wado de Pedro por el Frente de Todos",0.037,0.035,0.588
"P36","Patricia Bullrich por Juntos por el Cambio",0.894,0.137,0.036
"P36","Javier Milei por los liberales libertarios",0.033,0.768,0.021
"P36","Al candidato del Frente de Izquierda",0.012,0.017,0.079
"P36","No sabe",0.024,0.043,0.276
"P37","Daniel Scioli por el Frente de Todos",0.04,0.058,0.618
"P37","Patricia Bullrich por Juntos por el Cambio",0.892,0.129,0.034
"P37","Javier Milei por los liberales libertarios",0.034,0.779,0.019
"P37","Al candidato del Frente de Izquierda",0.009,0.005,0.08
"P37","No sabe",0.025,0.029,0.249
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.529,0.053,0.11
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.13,0.098,0.466
"P38","Javier Milei presidente y su candidato a vice",0.172,0.806,0.037
"P38","A los candidatos de la izquierda",0.014,0.014,0.097
"P38","No sabe",0.155,0.029,0.29
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.824,0.102,0.026
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.072,0.077,0.512
"P39","Javier Milei presidente y su candidato a vice",0.039,0.787,0.025
"P39","A los candidatos de la izquierda",0.009,0.01,0.108
"P39","No sabe",0.056,0.024,0.329
"P40","Sergio Massa por el Frente de Todos",0.079,0.129,0.646
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.759,0.367,0.058
"P40","No sabe",0.162,0.504,0.296
"P41","Alberto Fernández por el Frente de Todos",0.073,0.104,0.573
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.781,0.416,0.071
"P41","No sabe",0.146,0.48,0.356
"P42","Sergio Massa por el Frente de Todos",0.056,0.116,0.665
"P42","Patricia Bullrich por Juntos por el Cambio",0.901,0.598,0.045
"P42","No sabe",0.043,0.286,0.29
"P43","Alberto Fernández por el Frente de Todos",0.049,0.102,0.615
"P43","Patricia Bullrich por Juntos por el Cambio",0.912,0.625,0.037
"P43","No sabe",0.039,0.273,0.348
"P44","Wado de Pedro por el Frente de Todos",0.062,0.081,0.625
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.79,0.447,0.07
"P44","No sabe",0.148,0.472,0.305
"P45","Daniel Scioli por el Frente de Todos",0.053,0.105,0.644
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.794,0.42,0.057
"P45","No sabe",0.153,0.475,0.299
"P46","Wado de Pedro por el Frente de Todos",0.044,0.105,0.629
"P46","Patricia Bullrich por Juntos por el Cambio",0.913,0.598,0.038
"P46","No sabe",0.043,0.297,0.333
"P47","Daniel Scioli por el Frente de Todos",0.052,0.109,0.662
