"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.416,0.42,0.411,0.323,0.354,0.503,0.499,0.374,0.449,0.412,0.417,0.413,0.142,0.725,0.445
"Patricia Bullrich","Neutra",0.124,0.105,0.144,0.133,0.166,0.068,0.105,0.14,0.118,0.116,0.13,0.112,0.13,0.073,0.207
"Patricia Bullrich","Negativa",0.452,0.465,0.438,0.533,0.473,0.423,0.384,0.475,0.428,0.462,0.445,0.466,0.718,0.196,0.348
"Patricia Bullrich","No sabe",0.008,0.01,0.007,0.011,0.007,0.006,0.012,0.011,0.005,0.01,0.008,0.009,0.01,0.006,0
"Javier Milei","Positiva",0.315,0.38,0.247,0.373,0.347,0.273,0.258,0.296,0.351,0.282,0.295,0.356,0.127,0.415,0.337
"Javier Milei","Neutra",0.198,0.194,0.203,0.171,0.17,0.231,0.233,0.218,0.198,0.178,0.195,0.205,0.096,0.308,0.209
"Javier Milei","Negativa",0.467,0.416,0.519,0.456,0.459,0.479,0.476,0.449,0.433,0.535,0.485,0.429,0.758,0.26,0.438
"Javier Milei","No sabe",0.02,0.01,0.031,0,0.024,0.017,0.033,0.037,0.018,0.005,0.025,0.01,0.019,0.017,0.016
"Facundo Manes","Positiva",0.246,0.285,0.206,0.247,0.208,0.231,0.346,0.236,0.249,0.254,0.226,0.288,0.153,0.314,0.397
"Facundo Manes","Neutra",0.345,0.31,0.382,0.22,0.333,0.422,0.367,0.349,0.343,0.345,0.352,0.333,0.336,0.364,0.235
"Facundo Manes","Negativa",0.367,0.365,0.369,0.501,0.403,0.321,0.247,0.355,0.357,0.392,0.379,0.341,0.457,0.304,0.269
"Facundo Manes","No sabe",0.042,0.04,0.043,0.032,0.056,0.026,0.04,0.06,0.051,0.009,0.043,0.038,0.054,0.018,0.099
"Mauricio Macri","Positiva",0.342,0.339,0.345,0.326,0.268,0.384,0.453,0.344,0.347,0.333,0.333,0.362,0.129,0.638,0.134
"Mauricio Macri","Neutra",0.123,0.124,0.122,0.069,0.135,0.136,0.121,0.103,0.125,0.14,0.121,0.126,0.072,0.145,0.277
"Mauricio Macri","Negativa",0.53,0.531,0.528,0.605,0.591,0.475,0.417,0.546,0.524,0.521,0.54,0.509,0.797,0.215,0.589
"Mauricio Macri","No sabe",0.005,0.006,0.005,0,0.006,0.005,0.009,0.007,0.004,0.006,0.006,0.003,0.002,0.002,0
"Maria Eugenia Vidal","Positiva",0.307,0.294,0.32,0.227,0.25,0.339,0.446,0.318,0.292,0.318,0.303,0.316,0.124,0.531,0.229
"Maria Eugenia Vidal","Neutra",0.174,0.173,0.176,0.18,0.181,0.182,0.144,0.15,0.192,0.173,0.175,0.172,0.109,0.199,0.274
"Maria Eugenia Vidal","Negativa",0.511,0.527,0.494,0.593,0.553,0.474,0.406,0.527,0.501,0.507,0.512,0.508,0.758,0.269,0.481
"Maria Eugenia Vidal","No sabe",0.008,0.006,0.01,0,0.016,0.005,0.004,0.005,0.015,0.002,0.01,0.004,0.009,0.001,0.016
"Horacio Rodriguez Larreta","Positiva",0.296,0.292,0.3,0.2,0.224,0.343,0.456,0.32,0.283,0.289,0.287,0.312,0.088,0.54,0.274
"Horacio Rodriguez Larreta","Neutra",0.198,0.185,0.211,0.142,0.218,0.203,0.193,0.185,0.216,0.185,0.197,0.2,0.162,0.222,0.379
"Horacio Rodriguez Larreta","Negativa",0.498,0.515,0.48,0.658,0.547,0.446,0.341,0.482,0.493,0.522,0.507,0.48,0.741,0.237,0.347
"Horacio Rodriguez Larreta","No sabe",0.008,0.008,0.009,0,0.011,0.008,0.01,0.013,0.008,0.004,0.009,0.008,0.009,0.001,0
"Wado de Pedro","Positiva",0.263,0.274,0.252,0.228,0.267,0.252,0.298,0.263,0.233,0.307,0.254,0.283,0.504,0.1,0.185
"Wado de Pedro","Neutra",0.156,0.141,0.171,0.135,0.161,0.183,0.123,0.166,0.158,0.141,0.151,0.165,0.173,0.144,0.107
"Wado de Pedro","Negativa",0.529,0.533,0.524,0.562,0.508,0.539,0.532,0.504,0.545,0.531,0.544,0.497,0.273,0.72,0.622
"Wado de Pedro","No sabe",0.052,0.052,0.053,0.075,0.064,0.026,0.047,0.067,0.064,0.021,0.051,0.055,0.05,0.036,0.086
"CFK","Positiva",0.3,0.26,0.341,0.216,0.309,0.341,0.291,0.301,0.276,0.335,0.311,0.279,0.648,0.06,0.147
"CFK","Neutra",0.068,0.06,0.078,0.075,0.095,0.042,0.045,0.072,0.078,0.051,0.07,0.065,0.122,0.021,0.099
"CFK","Negativa",0.629,0.677,0.579,0.709,0.591,0.615,0.663,0.623,0.644,0.611,0.617,0.652,0.23,0.918,0.754
"CFK","No sabe",0.003,0.003,0.002,0,0.005,0.002,0.001,0.004,0.002,0.003,0.002,0.004,0,0.001,0
"Daniel Scioli","Positiva",0.253,0.246,0.261,0.177,0.269,0.278,0.247,0.292,0.232,0.242,0.264,0.231,0.53,0.071,0.182
"Daniel Scioli","Neutra",0.165,0.152,0.179,0.235,0.161,0.151,0.14,0.141,0.184,0.165,0.166,0.164,0.233,0.082,0.251
"Daniel Scioli","Negativa",0.571,0.589,0.551,0.588,0.554,0.564,0.598,0.548,0.575,0.587,0.558,0.596,0.225,0.842,0.567
"Daniel Scioli","No sabe",0.011,0.013,0.009,0,0.016,0.007,0.015,0.019,0.009,0.006,0.012,0.009,0.012,0.005,0
"Sergio Massa","Positiva",0.218,0.202,0.235,0.154,0.207,0.248,0.25,0.239,0.215,0.2,0.213,0.227,0.405,0.094,0.32
"Sergio Massa","Neutra",0.195,0.169,0.221,0.21,0.205,0.189,0.169,0.192,0.214,0.168,0.209,0.164,0.291,0.097,0.223
"Sergio Massa","Negativa",0.578,0.625,0.53,0.636,0.568,0.561,0.577,0.548,0.565,0.63,0.566,0.604,0.303,0.806,0.457
"Sergio Massa","No sabe",0.009,0.004,0.014,0,0.02,0.002,0.004,0.021,0.006,0.002,0.012,0.005,0.001,0.003,0
"Alberto Fernandez","Positiva",0.21,0.199,0.222,0.168,0.224,0.218,0.203,0.249,0.209,0.17,0.206,0.219,0.367,0.102,0.111
"Alberto Fernandez","Neutra",0.178,0.16,0.198,0.185,0.172,0.161,0.211,0.182,0.172,0.184,0.181,0.172,0.298,0.061,0.23
"Alberto Fernandez","Negativa",0.604,0.634,0.572,0.647,0.594,0.615,0.572,0.562,0.609,0.64,0.607,0.598,0.331,0.832,0.648
"Alberto Fernandez","No sabe",0.008,0.007,0.008,0,0.01,0.006,0.014,0.007,0.01,0.006,0.006,0.011,0.004,0.005,0.011
