"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.532,0.415,0.466
"P04","Realizo changas o trabajos de vez en cuando",0.137,0.147,0.231
"P04","No tengo trabajo",0.132,0.188,0.163
"P04","Soy jubilado o pensionado",0.199,0.25,0.14
"P05","1",0.206,0.352,0.347
"P05","2",0.05,0.081,0.084
"P05","3",0.029,0.095,0.071
"P05","4",0.033,0.119,0.076
"P05","5",0.164,0.218,0.182
"P05","6",0.079,0.035,0.025
"P05","7",0.143,0.03,0.044
"P05","8",0.104,0.021,0.037
"P05","9",0.192,0.049,0.134
"P06","1",0.406,0.15,0.252
"P06","2",0.094,0.027,0.042
"P06","3",0.066,0.041,0.064
"P06","4",0.074,0.046,0.043
"P06","5",0.171,0.202,0.162
"P06","6",0.022,0.072,0.036
"P06","7",0.038,0.095,0.065
"P06","8",0.023,0.111,0.055
"P06","9",0.106,0.256,0.281
"P07","1",0.593,0.223,0.301
"P07","2",0.041,0.034,0.021
"P07","3",0.04,0.049,0.045
"P07","4",0.028,0.028,0.011
"P07","5",0.082,0.137,0.109
"P07","6",0.03,0.036,0.018
"P07","7",0.006,0.06,0.037
"P07","8",0.013,0.054,0.045
"P07","9",0.167,0.379,0.413
"P09","Del Frente de Todos y el peronismo",0.835,0.034,0.203
"P09","De Juntos por el cambio",0.052,0.675,0.174
"P09","De los Liberales libertarios",0.025,0.21,0.336
"P09","De la Izquierda",0.019,0.008,0.053
"P09","No sabe",0.069,0.073,0.234
"P10","A Alberto Fernández",0.08,0.319,0.121
"P10","A Sergio Massa",0.239,0.09,0.229
"P10","A algún candidato del peronismo",0.162,0.577,0.206
"P10","A algún candidato del kirchnerismo",0.519,0.014,0.444
"P11","A Alberto Fernández",0.055,0.182,0.059
"P11","A Sergio Massa",0.136,0.329,0.157
"P11","A algún candidato del peronismo",0.114,0.396,0.117
"P11","A Cristina Fernández de Kirchner",0.695,0.093,0.667
"P12","A Horacio Rodriguez Larreta",0.032,0.274,0.209
"P12","A Patricia Bullrich",0.371,0.662,0.72
"P12","A Facundo Manes",0.26,0.029,0.013
"P12","A Gerardo Morales",0.337,0.035,0.058
"P13","Lo votaría",0.263,0.04,0.079
"P13","Puede que lo vote",0.458,0.094,0.154
"P13","Nunca lo votaría",0.136,0.84,0.625
"P13","No sabe",0.143,0.026,0.142
"P14","Lo votaría",0.231,0.009,0.034
"P14","Puede que lo vote",0.369,0.031,0.101
"P14","Nunca lo votaría",0.274,0.952,0.737
"P14","No sabe",0.126,0.008,0.128
"P15","Lo votaría",0.026,0.263,0.012
"P15","Puede que lo vote",0.082,0.476,0.106
"P15","Nunca lo votaría",0.864,0.229,0.795
"P15","No sabe",0.028,0.032,0.087
"P16","Lo votaría",0.029,0.13,0.024
"P16","Puede que lo vote",0.125,0.342,0.158
"P16","Nunca lo votaría",0.725,0.425,0.681
"P16","No sabe",0.121,0.103,0.137
"P17","La votaría",0.036,0.568,0.179
"P17","Puede que la vote",0.028,0.24,0.198
