"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.48,0.396,0.482,0.5,0.496
"P04","Realizo changas o trabajos de vez en cuando",0.177,0.14,0.225,0.239,0.174
"P04","No tengo trabajo",0.149,0.169,0.209,0.165,0.144
"P04","Soy jubilado o pensionado",0.194,0.295,0.084,0.096,0.186
"P05","1",0.186,0.383,0.356,0.245,0.234
"P05","2",0.071,0.083,0.102,0.017,0.055
"P05","3",0.019,0.096,0.077,0.028,0.052
"P05","4",0.039,0.12,0.087,0.025,0.063
"P05","5",0.154,0.201,0.189,0.106,0.244
"P05","6",0.073,0.036,0.039,0.018,0.064
"P05","7",0.148,0.028,0.021,0.117,0.08
"P05","8",0.082,0.017,0.023,0.119,0.048
"P05","9",0.228,0.036,0.106,0.325,0.16
"P06","1",0.421,0.16,0.113,0.379,0.372
"P06","2",0.081,0.032,0.042,0.14,0.04
"P06","3",0.065,0.039,0.045,0.067,0.063
"P06","4",0.073,0.038,0.037,0.031,0.068
"P06","5",0.158,0.195,0.192,0.151,0.245
"P06","6",0.019,0.057,0.056,0.018,0.034
"P06","7",0.036,0.095,0.07,0.029,0.048
"P06","8",0.013,0.091,0.092,0.023,0.038
"P06","9",0.134,0.293,0.353,0.162,0.092
"P07","1",0.591,0.227,0.214,0.576,0.41
"P07","2",0.037,0.026,0.017,0.036,0.03
"P07","3",0.041,0.046,0.039,0.048,0.031
"P07","4",0.024,0.032,0.015,0.013,0.025
"P07","5",0.066,0.142,0.134,0.055,0.128
"P07","6",0.021,0.027,0.044,0.01,0.024
"P07","7",0.005,0.042,0.062,0.005,0.034
"P07","8",0.013,0.047,0.069,0.021,0.022
"P07","9",0.202,0.411,0.406,0.236,0.296
"P09","Del Frente de Todos y el peronismo",0.864,0.027,0.06,0.516,0.398
"P09","De Juntos por el cambio",0.044,0.789,0.104,0.092,0.135
"P09","De los Liberales libertarios",0.005,0.108,0.741,0.01,0.047
"P09","De la Izquierda",0.016,0.002,0.01,0.279,0.02
"P09","No sabe",0.071,0.074,0.085,0.103,0.4
"P10","A Alberto Fernández",0.139,0.328,0.165,0.032,0.028
"P10","A Sergio Massa",0.234,0.027,0.307,0.11,0.229
"P10","A algún candidato del peronismo",0.129,0.633,0.43,0.262,0.241
"P10","A algún candidato del kirchnerismo",0.498,0.012,0.098,0.596,0.502
"P11","A Alberto Fernández",0.117,0.285,0.018,0.012,0
"P11","A Sergio Massa",0.126,0.076,0.495,0.024,0.17
"P11","A algún candidato del peronismo",0.098,0.608,0.177,0.129,0.101
"P11","A Cristina Fernández de Kirchner",0.659,0.031,0.31,0.835,0.729
"P12","A Horacio Rodriguez Larreta",0.379,0.239,0.332,0.603,0.414
"P12","A Patricia Bullrich",0.04,0.705,0.519,0.148,0.263
"P12","A Facundo Manes",0.335,0.026,0.13,0.208,0.071
"P12","A Gerardo Morales",0.246,0.03,0.019,0.041,0.252
"P13","Lo votaría",0.325,0.031,0.035,0.135,0.13
"P13","Puede que lo vote",0.424,0.106,0.1,0.236,0.231
"P13","Nunca lo votaría",0.096,0.836,0.805,0.465,0.456
"P13","No sabe",0.155,0.027,0.06,0.164,0.183
"P14","Lo votaría",0.299,0.011,0.01,0.038,0.039
"P14","Puede que lo vote",0.423,0.018,0.033,0.213,0.097
"P14","Nunca lo votaría",0.138,0.96,0.906,0.664,0.679
"P14","No sabe",0.14,0.011,0.051,0.085,0.185
"P15","Lo votaría",0.053,0.253,0.061,0.094,0.036
"P15","Puede que lo vote",0.095,0.412,0.218,0.108,0.161
"P15","Nunca lo votaría",0.802,0.295,0.667,0.777,0.68
"P15","No sabe",0.05,0.04,0.054,0.021,0.123
"P16","Lo votaría",0.032,0.123,0.059,0.106,0.051
"P16","Puede que lo vote",0.126,0.306,0.211,0.161,0.209
"P16","Nunca lo votaría",0.684,0.468,0.638,0.635,0.578
"P16","No sabe",0.158,0.103,0.092,0.098,0.162
"P17","La votaría",0.025,0.7,0.172,0.042,0.037
"P17","Puede que la vote",0.029,0.189,0.341,0.076,0.07
"P17","Nunca la votaría",0.894,0.093,0.433,0.799,0.765
"P17","No sabe",0.052,0.018,0.054,0.083,0.128
"P18","Lo votaría",0.012,0.183,0.7,0.034,0.024
"P18","Puede que lo vote",0.057,0.327,0.207,0.074,0.098
"P18","Nunca lo votaría",0.9,0.427,0.078,0.865,0.759
"P18","No sabe",0.031,0.063,0.015,0.027,0.119
"P19","La votaría",0.049,0.241,0.126,0.051,0.038
"P19","Puede que la vote",0.041,0.367,0.235,0.105,0.104
"P19","Nunca la votaría",0.869,0.324,0.588,0.827,0.747
"P19","No sabe",0.041,0.068,0.051,0.017,0.111
"P20","Lo votaría",0.324,0.035,0.038,0.242,0.152
"P20","Puede que lo vote",0.324,0.062,0.079,0.29,0.178
"P20","Nunca lo votaría",0.257,0.843,0.811,0.355,0.504
"P20","No sabe",0.095,0.06,0.072,0.113,0.166
"P21","Lo votaría",0.316,0.012,0.044,0.061,0.131
"P21","Puede que lo vote",0.453,0.02,0.057,0.367,0.23
"P21","Nunca lo votaría",0.152,0.944,0.878,0.419,0.484
"P21","No sabe",0.079,0.024,0.021,0.153,0.155
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.14,0.027,0.079,0.074
"P22","Patricia Bullrich por Juntos por el Cambio",0.005,0.732,0.057,0,0.042
"P22","Facundo Manes por Juntos por el Cambio",0.021,0.06,0.048,0.07,0.09
"P22","Alberto Fernández por el Frente de Todos",0.171,0.005,0.002,0.057,0.024
"P22","Sergio Massa por el Frente de Todos",0.218,0.008,0.01,0.067,0.134
"P22","Wado de Pedro por el Frente de Todos",0.332,0.005,0.028,0.278,0.17
"P22","Daniel Scioli por el Frente de Todos",0.19,0.004,0.012,0.086,0.122
"P22","Javier Milei por los liberales libertarios",0,0.029,0.787,0.032,0.037
"P22","Al candidato del Frente de Izquierda",0.007,0.003,0,0.268,0.003
"P22","No sabe",0.05,0.014,0.029,0.063,0.304
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.122,0.039,0.081,0.088
"P23","Patricia Bullrich por Juntos por el Cambio",0.005,0.664,0.044,0,0.049
"P23","María Eugenia Vidal por Juntos por el Cambio",0.013,0.107,0.032,0.061,0.043
"P23","Facundo Manes por Juntos por el Cambio",0.02,0.052,0.02,0.069,0.075
