"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.432,0.488,0.482
"P04","Realizo changas o trabajos de vez en cuando",0.124,0.197,0.171
"P04","No tengo trabajo",0.14,0.208,0.139
"P04","Soy jubilado o pensionado",0.304,0.107,0.208
"P05","1",0.349,0.377,0.228
"P05","2",0.053,0.114,0.057
"P05","3",0.065,0.093,0.056
"P05","4",0.102,0.101,0.041
"P05","5",0.217,0.164,0.18
"P05","6",0.057,0.031,0.05
"P05","7",0.06,0.023,0.107
"P05","8",0.03,0.028,0.092
"P05","9",0.067,0.069,0.189
"P06","1",0.202,0.124,0.404
"P06","2",0.033,0.03,0.088
"P06","3",0.043,0.041,0.078
"P06","4",0.049,0.041,0.066
"P06","5",0.243,0.167,0.145
"P06","6",0.065,0.066,0.02
"P06","7",0.086,0.079,0.05
"P06","8",0.073,0.116,0.026
"P06","9",0.206,0.336,0.123
"P07","1",0.308,0.211,0.528
"P07","2",0.04,0.028,0.032
"P07","3",0.046,0.049,0.041
"P07","4",0.037,0.014,0.022
"P07","5",0.133,0.15,0.068
"P07","6",0.027,0.036,0.028
"P07","7",0.039,0.054,0.017
"P07","8",0.046,0.062,0.019
"P07","9",0.324,0.396,0.245
"P09","Del Frente de Todos y el peronismo",0.224,0.071,0.628
"P09","De Juntos por el cambio",0.64,0.335,0.109
"P09","De los Liberales libertarios",0.042,0.521,0.042
"P09","De la Izquierda",0.012,0.007,0.047
"P09","No sabe",0.082,0.066,0.174
"P10","A Alberto Fernández",0.087,0.129,0.086
"P10","A Sergio Massa",0.323,0.419,0.186
"P10","A algún candidato del peronismo",0.139,0.421,0.181
"P10","A algún candidato del kirchnerismo",0.451,0.031,0.547
"P11","A Alberto Fernández",0.066,0.009,0.058
"P11","A Sergio Massa",0.24,0.411,0.088
"P11","A algún candidato del peronismo",0.134,0.409,0.085
"P11","A Cristina Fernández de Kirchner",0.56,0.171,0.769
"P12","A Horacio Rodriguez Larreta",0.315,0.153,0.164
"P12","A Patricia Bullrich",0.617,0.793,0.514
"P12","A Facundo Manes",0.04,0.013,0.115
"P12","A Gerardo Morales",0.028,0.041,0.207
"P13","Lo votaría",0.088,0.042,0.205
"P13","Puede que lo vote",0.178,0.115,0.337
"P13","Nunca lo votaría",0.69,0.797,0.285
"P13","No sabe",0.044,0.046,0.173
"P14","Lo votaría",0.053,0.023,0.152
"P14","Puede que lo vote",0.131,0.04,0.268
"P14","Nunca lo votaría",0.783,0.905,0.429
"P14","No sabe",0.033,0.032,0.151
"P15","Lo votaría",0.304,0.044,0.021
"P15","Puede que lo vote",0.408,0.291,0.094
"P15","Nunca lo votaría",0.244,0.631,0.833
"P15","No sabe",0.044,0.034,0.052
"P16","Lo votaría",0.131,0.07,0.021
"P16","Puede que lo vote",0.333,0.224,0.146
"P16","Nunca lo votaría",0.439,0.627,0.68
"P16","No sabe",0.097,0.079,0.153
"P17","La votaría",0.488,0.393,0.076
"P17","Puede que la vote",0.178,0.299,0.033
"P17","Nunca la votaría",0.31,0.272,0.818
"P17","No sabe",0.024,0.036,0.073
"P18","Lo votaría",0.055,0.557,0.036
"P18","Puede que lo vote",0.231,0.287,0.061
"P18","Nunca lo votaría",0.646,0.131,0.848
"P18","No sabe",0.068,0.025,0.055
"P19","La votaría",0.212,0.153,0.018
"P19","Puede que la vote",0.312,0.284,0.07
"P19","Nunca la votaría",0.428,0.514,0.839
"P19","No sabe",0.048,0.049,0.073
"P20","Lo votaría",0.094,0.032,0.259
"P20","Puede que lo vote",0.118,0.075,0.271
"P20","Nunca lo votaría",0.718,0.841,0.372
"P20","No sabe",0.07,0.052,0.098
"P21","Lo votaría",0.088,0.036,0.212
"P21","Puede que lo vote",0.112,0.032,0.373
"P21","Nunca lo votaría",0.756,0.911,0.317
"P21","No sabe",0.044,0.021,0.098
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.179,0.023,0.012
"P22","Patricia Bullrich por Juntos por el Cambio",0.47,0.356,0.094
"P22","Facundo Manes por Juntos por el Cambio",0.076,0.034,0.039
"P22","Alberto Fernández por el Frente de Todos",0.028,0.005,0.074
"P22","Sergio Massa por el Frente de Todos",0.068,0.015,0.148
"P22","Wado de Pedro por el Frente de Todos",0.081,0.025,0.281
"P22","Daniel Scioli por el Frente de Todos",0.04,0.01,0.172
"P22","Javier Milei por los liberales libertarios",0.006,0.504,0.03
"P22","Al candidato del Frente de Izquierda",0.017,0,0.029
"P22","No sabe",0.035,0.028,0.121
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.175,0.013,0.016
"P23","Patricia Bullrich por Juntos por el Cambio",0.421,0.335,0.098
"P23","María Eugenia Vidal por Juntos por el Cambio",0.089,0.044,0.009
"P23","Facundo Manes por Juntos por el Cambio",0.065,0.033,0.042
"P23","Sergio Massa por el Frente de Todos",0.079,0.015,0.195
"P23","Wado de Pedro por el Frente de Todos",0.081,0.019,0.293
"P23","Daniel Scioli por el Frente de Todos",0.044,0.014,0.173
"P23","Javier Milei por los liberales libertarios",0.006,0.511,0.035
"P23","Al candidato del Frente de Izquierda",0.017,0.004,0.033
"P23","No sabe",0.023,0.012,0.106
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.158,0.017,0.019
"P24","Patricia Bullrich por Juntos por el Cambio",0.418,0.359,0.096
"P24","María Eugenia Vidal por Juntos por el Cambio",0.095,0.036,0.008
"P24","Facundo Manes por Juntos por el Cambio",0.067,0.024,0.046
"P24","Sergio Massa por el Frente de Todos",0.077,0.019,0.2
"P24","Wado de Pedro por el Frente de Todos",0.09,0.019,0.332
"P24","Alberto Fernández por el Frente de Todos",0.036,0.011,0.104
"P24","Javier Milei por los liberales libertarios",0.023,0.502,0.033
"P24","Al candidato del Frente de Izquierda",0.012,0,0.034
"P24","No sabe",0.024,0.013,0.128
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.173,0.032,0.021
"P25","Patricia Bullrich por Juntos por el Cambio",0.384,0.284,0.068
"P25","Facundo Manes por Juntos por el Cambio",0.124,0.1,0.049
"P25","Sergio Massa por el Frente de Todos",0.077,0.023,0.158
"P25","Wado de Pedro por el Frente de Todos",0.099,0.02,0.286
"P25","Daniel Scioli por el Frente de Todos",0.04,0.025,0.223
"P25","Javier Milei por los liberales libertario",0.063,0.291,0.051
"P25","Al candidato del Frente de Izquierda",0.011,0.216,0.047
"P25","No sabe",0.029,0.009,0.097
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.242,0.046,0.011
"P26","Patricia Bulrich por Juntos por el Cambio",0.475,0.342,0.11
"P26","Alberto Fernández por el Frente de Todos",0.039,0.011,0.147
"P26","Sergio Massa por el Frente de Todos",0.147,0.036,0.361
"P26","Javier Milei por los liberales libertarios",0.024,0.495,0.061
"P26","Al candidato del Frente de Izquierda",0.035,0.004,0.097
"P26","No sabe",0.038,0.066,0.213
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.258,0.023,0.02
"P27","Patricia Bullrich por Juntos por el Cambio",0.481,0.362,0.096
"P27","Wado de Pedro por el Frente de Todos",0.082,0.018,0.339
"P27","Sergio Massa por el Frente de Todos",0.111,0.031,0.264
"P27","Javier Milei por los liberales libertarios",0.017,0.547,0.047
"P27","Al candidato del Frente de Izquierda",0.026,0.007,0.061
"P27","No sabe",0.025,0.012,0.173
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.254,0.029,0.015
"P28","Patricia Bullrich por Juntos por el Cambio",0.471,0.361,0.094
"P28","Wado de Pedro por el Frente de Todos",0.106,0.025,0.329
"P28","Daniel Scioli por el Frente de Todos",0.085,0.015,0.282
"P28","Javier Milei por los liberales libertarios",0.022,0.551,0.057
