"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.553,0.434,0.411
"P04","Realizo changas o trabajos de vez en cuando",0.125,0.142,0.277
"P04","No tengo trabajo",0.131,0.184,0.172
"P04","Soy jubilado o pensionado",0.191,0.24,0.14
"P05","1",0.187,0.377,0.346
"P05","2",0.058,0.088,0.058
"P05","3",0.024,0.1,0.073
"P05","4",0.037,0.107,0.07
"P05","5",0.171,0.197,0.188
"P05","6",0.073,0.034,0.034
"P05","7",0.148,0.026,0.05
"P05","8",0.11,0.022,0.036
"P05","9",0.192,0.049,0.145
"P06","1",0.412,0.152,0.278
"P06","2",0.095,0.025,0.052
"P06","3",0.067,0.044,0.07
"P06","4",0.077,0.037,0.051
"P06","5",0.175,0.179,0.189
"P06","6",0.019,0.07,0.041
"P06","7",0.045,0.094,0.045
"P06","8",0.025,0.108,0.034
"P06","9",0.085,0.291,0.24
"P07","1",0.594,0.225,0.335
"P07","2",0.043,0.028,0.03
"P07","3",0.044,0.056,0.024
"P07","4",0.028,0.026,0.009
"P07","5",0.075,0.133,0.116
"P07","6",0.026,0.035,0.022
"P07","7",0.011,0.053,0.025
"P07","8",0.016,0.053,0.046
"P07","9",0.163,0.391,0.393
"P09","Del Frente de Todos y el peronismo",0.848,0.031,0.257
"P09","De Juntos por el cambio",0.04,0.615,0.135
"P09","De los Liberales libertarios",0.019,0.284,0.234
"P09","De la Izquierda",0.02,0.007,0.072
"P09","No sabe",0.073,0.063,0.302
"P10","A Alberto Fernández",0.064,0.479,0.166
"P10","A Sergio Massa",0.231,0.085,0.263
"P10","A algún candidato del peronismo",0.185,0.392,0.143
"P10","A algún candidato del kirchnerismo",0.52,0.044,0.428
"P11","A Alberto Fernández",0.046,0.22,0.099
"P11","A Sergio Massa",0.138,0.171,0.17
"P11","A algún candidato del peronismo",0.115,0.389,0.106
"P11","A Cristina Fernández de Kirchner",0.701,0.22,0.625
"P12","A Horacio Rodriguez Larreta",0.095,0.212,0.568
"P12","A Patricia Bullrich",0.014,0.734,0.292
"P12","A Facundo Manes",0.421,0.024,0.022
"P12","A Gerardo Morales",0.47,0.03,0.118
"P13","Lo votaría",0.258,0.023,0.132
"P13","Puede que lo vote",0.452,0.1,0.156
"P13","Nunca lo votaría",0.118,0.849,0.578
"P13","No sabe",0.172,0.028,0.134
"P14","Lo votaría",0.218,0.006,0.069
"P14","Puede que lo vote",0.387,0.025,0.104
"P14","Nunca lo votaría",0.259,0.956,0.683
"P14","No sabe",0.136,0.013,0.144
"P15","Lo votaría",0.028,0.184,0.068
"P15","Puede que lo vote",0.102,0.391,0.119
"P15","Nunca lo votaría",0.846,0.398,0.696
"P15","No sabe",0.024,0.027,0.117
"P16","Lo votaría",0.028,0.101,0.055
"P16","Puede que lo vote",0.123,0.306,0.171
"P16","Nunca lo votaría",0.703,0.52,0.603
"P16","No sabe",0.146,0.073,0.171
"P17","La votaría",0.016,0.59,0.028
"P17","Puede que la vote",0.024,0.268,0.099
"P17","Nunca la votaría",0.925,0.125,0.722
"P17","No sabe",0.035,0.017,0.151
"P18","Lo votaría",0.027,0.306,0.236
"P18","Puede que lo vote",0.041,0.303,0.132
"P18","Nunca lo votaría",0.911,0.34,0.54
"P18","No sabe",0.021,0.051,0.092
"P19","La votaría",0.014,0.202,0.068
"P19","Puede que la vote",0.05,0.36,0.103
"P19","Nunca la votaría",0.903,0.378,0.739
"P19","No sabe",0.033,0.06,0.09
"P20","Lo votaría",0.355,0.03,0.063
"P20","Puede que lo vote",0.329,0.065,0.137
"P20","Nunca lo votaría",0.239,0.859,0.654
"P20","No sabe",0.077,0.046,0.146
"P21","Lo votaría",0.343,0.01,0.041
"P21","Puede que lo vote",0.463,0.023,0.142
"P21","Nunca lo votaría",0.111,0.953,0.697
"P21","No sabe",0.083,0.014,0.12
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.09,0.091
"P22","Patricia Bullrich por Juntos por el Cambio",0.005,0.578,0.03
"P22","Facundo Manes por Juntos por el Cambio",0.011,0.054,0.096
"P22","Alberto Fernández por el Frente de Todos",0.096,0.008,0.034
"P22","Sergio Massa por el Frente de Todos",0.198,0.004,0.087
"P22","Wado de Pedro por el Frente de Todos",0.372,0.008,0.106
"P22","Daniel Scioli por el Frente de Todos",0.217,0.004,0.051
"P22","Javier Milei por los liberales libertarios",0.02,0.229,0.274
"P22","Al candidato del Frente de Izquierda",0.015,0.003,0.048
"P22","No sabe",0.061,0.022,0.183
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.085,0.098
"P23","Patricia Bullrich por Juntos por el Cambio",0.009,0.535,0.031
"P23","María Eugenia Vidal por Juntos por el Cambio",0.006,0.074,0.024
"P23","Facundo Manes por Juntos por el Cambio",0.023,0.045,0.083
"P23","Sergio Massa por el Frente de Todos",0.243,0.005,0.121
"P23","Wado de Pedro por el Frente de Todos",0.379,0.008,0.11
"P23","Daniel Scioli por el Frente de Todos",0.244,0.003,0.028
"P23","Javier Milei por los liberales libertarios",0.026,0.231,0.276
"P23","Al candidato del Frente de Izquierda",0.028,0,0.053
"P23","No sabe",0.038,0.014,0.176
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.081,0.089
"P24","Patricia Bullrich por Juntos por el Cambio",0.007,0.549,0.031
"P24","María Eugenia Vidal por Juntos por el Cambio",0.003,0.077,0.018
"P24","Facundo Manes por Juntos por el Cambio",0.018,0.045,0.093
"P24","Sergio Massa por el Frente de Todos",0.26,0.003,0.115
"P24","Wado de Pedro por el Frente de Todos",0.429,0.006,0.122
"P24","Alberto Fernández por el Frente de Todos",0.15,0.001,0.044
"P24","Javier Milei por los liberales libertarios",0.023,0.226,0.29
"P24","Al candidato del Frente de Izquierda",0.025,0,0.044
"P24","No sabe",0.079,0.012,0.154
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.101,0.086
"P25","Patricia Bullrich por Juntos por el Cambio",0,0.466,0.012
"P25","Facundo Manes por Juntos por el Cambio",0.01,0.146,0.08
"P25","Sergio Massa por el Frente de Todos",0.215,0.008,0.09
"P25","Wado de Pedro por el Frente de Todos",0.381,0.015,0.109
"P25","Daniel Scioli por el Frente de Todos",0.28,0.003,0.084
"P25","Javier Milei por los liberales libertario",0.048,0.144,0.213
"P25","Al candidato del Frente de Izquierda",0.021,0.1,0.166
"P25","No sabe",0.036,0.017,0.16
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.138,0.088
"P26","Patricia Bulrich por Juntos por el Cambio",0.028,0.567,0.034
